seconds,batch_tweet_count,wait_time
3,19,37
40,15,34
75,19,29
104,15,66
171,17,33
205,18,29
234,15,31
266,14,46
313,13,38
351,18,54
406,36,143
549,16,36
586,17,39
626,20,51
677,19,45
723,17,55
779,18,35
814,16,58
873,29,80
954,14,46
1000,14,36
1037,12,33
1070,12,25
1096,12,29
1126,15,47
1173,16,35
1209,18,52
1262,17,56
1319,12,24
1343,26,40
1384,17,41
1426,13,19
1445,19,39
1485,17,47
1533,16,29
1562,11,38
1601,12,41
1642,16,28
1671,18,40
1712,34,94
1806,17,49
1856,19,57
1913,17,39
1953,16,57
2011,15,45
2056,13,28
2085,12,41
