seconds,batch_tweet_count,wait_time
2,16,181
184,17,159
344,20,153
497,17,120
618,16,87
706,15,105
811,13,130
942,12,80
1022,17,163
1186,14,151
1338,14,99
1438,16,82
1520,15,118
1639,15,140
1780,11,108
1888,14,111
2000,13,112
2112,16,167
2280,14,120
2401,17,116
2517,17,128
2646,15,128
2775,13,118
2893,13,136
3030,12,80
3111,15,133
3244,14,58
3303,14,142
3446,11,51
3497,15,83
3581,14,118
3700,14,99
3799,15,66
3866,17,135
4002,12,89
4091,16,108
4200,20,134
4335,19,208
4543,17,142
4686,13,118
4805,19,77
4882,14,106
4989,14,108
5098,16,133
5231,17,121
5353,16,102
5456,14,115
5571,14,112
5684,17,122
