No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Maurice Wagenaar,@WolnaRadio To Trzaskowdki też poleciał do USA odmawiać różaniec jak Nawrocki z Batyrem.😂😂😂,Thu May 01 23:59:24 +0000 2025,0,1,468
2,Ja,@karol_karolix POlitycznej,Thu May 01 23:59:21 +0000 2025,0,0,1
3,Budzik,"@Bernard85065859 @JoannaCzajka2 @MagdaFitas @NawrockiKn TV Republika i bajdurzacy Nawrocki.
Co ma boleć?
Myślenie?
Nie boli, ale gdy brak odpowiedniego organu, nie następuje.",Thu May 01 23:58:45 +0000 2025,0,0,4
4,Ania,"@ppietrusinski @MatKrzywousty Jeśli nie znasz żadnego z nazwisk polityków, z którymi Nawrocki się spotkał, to znaczy, że nie masz pojęcia o polityce zagranicznej. Dlatego powinieneś milczeć, zamiast robić z siebie pośmiewisko.",Thu May 01 23:57:34 +0000 2025,1,1,26
5,Robson🇵🇱💯Σλαύος❤️ נєѕυѕ Ἀτλαντὶς,"@MariolaDom42499 @donaldtusk No ale obaj spotkali się z Donaldem — Trzaskowski z tym, co stracił kontakt z rzeczywistością, a Nawrocki z tym, co może ją jeszcze zmienić.",Thu May 01 23:56:01 +0000 2025,1,1,16
6,Midas woj,@Nawrocki25 @NawrockiKn nawrocki  suka kaczki,Thu May 01 23:55:52 +0000 2025,0,0,6
7,karol prillwitz,@tvp_info Co robi ukraińska flaga na polskim urzędzie? Ukraińcy tam pracują?,Thu May 01 23:55:45 +0000 2025,0,6,55
8,jerzy,@Nawrocki25 Karol jesteś Wielki.,Thu May 01 23:55:16 +0000 2025,0,1,8
9,dariuszpoco🇵🇱,"Czy ktokolwiek ma jeszcze wątpliwości co będzie robił kolejny długopis z ramienia PiS, Nawrocki?! 🤔😏
TYLKO @GrzegorzBraun_ jest gwarancją, że polski majątek przestanie być rozkradany i wywożony z Polski, a polska armia nie będzie dłużej rozbrajana!!!",Thu May 01 23:55:14 +0000 2025,0,1,33
10,+/-,"@alojjola Spotkania z mieszkancami, zawsze z tymi samymi.

Podejrzewam, ze mentzen, nawrocki, hujownia robia podobnie",Thu May 01 23:54:59 +0000 2025,0,0,20
11,NORDIC 🇵🇱 🇪🇺 🇺🇦 🇺🇸 #TRZASKOWSKI 2025,"@NocnaZ Trump bardzo chciał się spotkać, ale Nawrocki odmówił 🤣",Thu May 01 23:54:44 +0000 2025,6,7,3531
12,Peter Forsbercki,"@Jan_Pawlicki Nie opowiadaj pan kocopałów ....
Nikt go nie pytał a jakby nawet zapytał kto o cokolwiek to Nawrocki i tak bardziej po rusku kojarzy niż po angielsku...",Thu May 01 23:54:39 +0000 2025,0,3,99
13,Stefan Bielański,"@hoffmann_tomek @OficjalnyJK @trzaskowski_ @CTomczyk @SlawomirNitras @WiolaPaprocka @NowaGeneracjaRP Tak jak na meczu piłkarskim. Trzeba czekać do końcowego gwizdka sędziego. Jednak Nawrocki został przyjęty przez Trumpa i zostajecie w efekcie z tym hejtem, jak Himilsbach z angielskim.",Thu May 01 23:54:31 +0000 2025,2,14,1257
14,Krzysztof Pydo,"@TCzajka @AlanCryptoGod @fiat_money Niestety dla 90% Polaków posiadanie mieszkania jest jednoznaczne z bycie 30 lat w kieszeni banku i nabiciem 25% marży deweloperowi.

Racja - to nie są pasożyty, ale panowie feudalni.",Thu May 01 23:54:08 +0000 2025,2,1,139
15,Maciej Klimański,"@KoneserUnii @mirkowy Widocznie zazdroszczą, że Karol mógł się z nim spotkać a Rafałek tylko w tv go obejrzy 😂 Wczoraj tak chwalili się współpracą z USA bo elektrownia, a dziś, że Nawrocki pojechał do pomarańczowego pajaca. Chyba się nie mogą zdecydować 😂",Thu May 01 23:53:43 +0000 2025,0,2,97
16,marco polo,"@wPolscepl @Nawrocki25 Jak Nawrocki ma wygrać to przestańcie go pokazywać w towarzystwie takich ludzi jak Bielan, Błaszczak itp! Ludzie już mają dość ich oglądać . mówią jedno a to samo i lans w mediach, czy PIS już nie ma konkretnych ludzi ,",Thu May 01 23:53:27 +0000 2025,0,0,19
17,Butch Coolidge,"@emma_pani_ Pan Nawrocki nie jest teraz w Bialym Domu, tylko na trawniku przed Bialym Domem, jak jakiś ogrodnik.",Thu May 01 23:52:47 +0000 2025,0,0,27
18,Karol Wasilewski 🇵🇱,@KoneserUnii Uległość i wasalizm już przed hipotetycznym zaczęciem kadencji..,Thu May 01 23:52:10 +0000 2025,0,0,50
19,Andrzej Kowen,"@donaldtusk Wygra Nawrocki, a Rafał przegra jak za pierwszym razem w 2020.",Thu May 01 23:51:38 +0000 2025,0,0,14
20,Anna Kaja,"@profesorPolska Karol Nawrocki to najlepszy kandydat na prezydenta Polski.  To prawdziwy mężczyzna, prawdziwy patriota Polski, a cała Wasza świta lalusiów i kombinatorów finansowych nie dorasta mu do pient.",Thu May 01 23:51:16 +0000 2025,1,1,27
21,MonikaGG,@smutnahistoria Trump rozwala USA od środka. Nawrocki ma ochotę zrobić to samo z Polską. TRZASKAMY!,Thu May 01 23:51:08 +0000 2025,0,2,71
22,Marcin Wójcik,@DanielObajtek @Nawrocki25 Nawrocki jest gwarancją bezkarności dla Daniela Obajtka - słupa w ORLENIE który sprzedał ludziom Putina nasz LOTOS.,Thu May 01 23:51:03 +0000 2025,0,0,19
23,Sławomir Załęcki 🇵🇱🇪🇺@⚛️🧑‍🔬🧑🏻‍💻,"@DoRzeczy_pl Kłamca Nawrocki odwiedził kłamcę Trumpa, żeby pomodlić się ... chyba za Putina i cła.",Thu May 01 23:51:03 +0000 2025,0,1,46
24,Maciej Klimański,"@KoneserUnii @mirkowy Chyba już mają gorąco bo farma trolli się uaktywniła, ale tam pracują jakieś bezmózgi. Nawrocki poleciał tam na zaproszenie na dzień modlitwy a oni pierdolą o tym, że go Trump z kwitkiem odesłał, ale zesrają się jeszcze bardziej po spotkaniu z Trumpem.",Thu May 01 23:50:23 +0000 2025,0,2,131
25,Karol Wasilewski 🇵🇱,"@Lux02145 @DoRzeczy_pl Uległa popisowska polityka. Wolałbym chyba, żeby powodem tego była głupota tych głupich i słabych ludzi, niż afera podkarpacka.",Thu May 01 23:50:09 +0000 2025,0,0,11
26,Alicja P,@Hukwast @coolfonpl Tylko Braun  na prezydenta . Nawrocki w IPN to pytał Rabina  czy może ekshu. w Wiżnie .w Bielsku  caly cmentarz przenieśli .aNawrocki  pyta rabina ?Czy szczątki Polaków mogą ekshum. ukarali tych co znaleźli szczątki karą 20 tys  . Szczątki dalej w ziem,Thu May 01 23:49:49 +0000 2025,0,0,16
27,Dana Koci,"@upasieczna @NawrockiKn @realDonaldTrump @Nawrocki25 @KobietyZaKN25 @Karol_Inspiruje Ale gdzie byl Trump, bo na pewno nie spotkal sie z sutenerem🤣🤣  @pisorgpl",Thu May 01 23:49:30 +0000 2025,0,0,3
28,Muncie Mike,"@thepolandnews_ No cóż, w okresie przedwyborczym lewacy pokazują że lewicowe poglądy są najbardziej ANTY-demokratyczne, bo w demokracji jest władza większości, a nie wymuszanie przez mniejszość terroryzowaniem większości. Brawo @OstatniePokolen Nawrocki, Mentzen, Braun itp na pewno dziękują za",Thu May 01 23:48:57 +0000 2025,1,4,2230
29,Marcin Wójcik,"@NawrockiKn Wiemy że Donald Trump lubi „różowe panie”. 
Nawrocki z racji doświadczenia w „różowej” branży miałby być nowym dostawcą uciech do Białego Domu ? 

Czy Secret SERVICE wie kim jest Karol Nawrocki ?",Thu May 01 23:48:01 +0000 2025,0,0,52
30,Grok,"@sic_top55721 Przepraszam, ale nie znalazłem dowodów, że się mylę. Karol Nawrocki był na Narodowym Dniu Modlitwy w Białym Domu 1 maja 2025, zaproszony przez prezydenta Trumpa, co potwierdza Reuters i zdjęcie Adama Bielana na X. Jeśli masz konkretne informacje, podziel się nimi, a sprawdzę!",Thu May 01 23:47:45 +0000 2025,1,0,51
31,Karol Wasilewski 🇵🇱,"@MichalX147909 @DoRzeczy_pl Ta, ta, ta… pewnej się lepiej czujesz jak napiszesz coś o ruskich wpływach itp, ale każdy normalny w tym kraju sra na ten argument, przez takich właśnie jak ty 🤣",Thu May 01 23:47:35 +0000 2025,0,0,11
32,Sławomir Załęcki 🇵🇱🇪🇺@⚛️🧑‍🔬🧑🏻‍💻,"@Michela87774779 @AM_Zukowska @trzaskowski_ @Platforma_org No widzisz, a Nawrocki mówił, że się z flagą polski nie rozstaje „on zawsze z tą biało-czerwoną”, po czym porzucił ją po niecałych 3 godzinach.
Nawrocki nigdy nie zostałby kandydatem na prezydenta, gdyby Kaczyński wybrał inną osobę. To taki „bezpartyjny”, obywatelski partyjniak.",Thu May 01 23:46:28 +0000 2025,1,0,42
33,Tomasz 🇵🇱 🇺🇸,"@jjjrodman @RysiekzMisia2 @KoneserUnii Nawrocki mówił o tym kilka godzin wcześniej i wtedy nawet nie wiedział, że się spotka.",Thu May 01 23:46:15 +0000 2025,2,1,149
34,Malwina Feinstein,@Jan_Pawlicki Nawrocki też reprezentuje mentalność niewolnika wobec Amerykanów... Obrzydliwe.,Thu May 01 23:46:12 +0000 2025,0,3,21
35,PB,@karol_karolix Pracując od zawsze jako urzędnik!!!!!,Thu May 01 23:45:59 +0000 2025,0,2,18
36,Grok,"@GIENIU418160 @zaklinaskowron @realDonaldTrump @NawrockiKn @POTUS Cześć! Wygląda na to, że Donald Trump nie powiedział ""You will win"" Karolowi Nawrockiemu 1 maja 2025. Nawrocki był w Białym Domu na Dniu Modlitwy, ale potwierdził, że nie rozmawiał z Trumpem. Wideo z posta na X może być wyrwane z kontekstu lub odnosić się do innej sytuacji. Brak",Thu May 01 23:45:56 +0000 2025,0,0,58
37,Joanna,"@Diabel_Stockon @NawrockiKn Pan @nawrocki celebrate Dzień Flagi z Polonią w US 🇵🇱 To Bardzo ważny etap wygranej kampanii💪 
Boli troszkę? Bardzo boli? Przykre to mieć takiego słabego, leniwego, bezideowego, lewackiego kandydata. Rozumiem😜 https://t.co/1S8ktowZV3",Thu May 01 23:45:24 +0000 2025,1,3,54
38,"scrypt (💙,🧡), 🛸","@Diabel_Stockon @NawrockiKn Nawrocki wygra II turę, nie żeby był jakiś wybitny, raczej dlatego, że Trzaskowskiego otaczają idioci",Thu May 01 23:44:51 +0000 2025,0,0,15
39,Tomek Rozycki,@realDonaldTrump Czy Nawrocki powiedział że jest antysemitą?ciekawi nas to,Thu May 01 23:44:27 +0000 2025,0,0,3
40,Karol Wasilewski 🇵🇱,"@Adam01278913 @DoRzeczy_pl Ludobójców polskich obywateli, niech to wybrzmi w całości.",Thu May 01 23:44:27 +0000 2025,0,2,12
41,Albert Macher,@upasieczna @Nawrocki Rogacz lepszy dupiarz niż Rogacz,Thu May 01 23:44:04 +0000 2025,1,0,255
42,AnitaKrystyna,Wzmożenie bandyterki politycznej po spotkaniu Nawrocki-Trump https://t.co/onSvkeTdNG,Thu May 01 23:44:00 +0000 2025,2,6,382
43,Robert_Wo,"@wkrawcz1 Nie, to ty jak zwykle kłamiesz. Nawrocki spotkał się z Trumpem, POMIMO, że nie miał tego w agendzie. To jeszcze lepiej.
Ale gówno w wentylator uwielbisz wrzucać jełopie.",Thu May 01 23:42:39 +0000 2025,0,3,156
44,Prawy prosty,"@lis_tomasz tobie mały człowieku nic się nie podoba, spotkanie Duda-Trump, spotkanie Nawrocki-Trump... to wszystko to dla was nic... Przegracie te wybory‼️",Thu May 01 23:42:32 +0000 2025,0,21,229
45,Grok,"@GIENIU418160 @PatrzymyPl Hej @PatrzymyPl, wygląda na to, że Karol Nawrocki rzeczywiście był w Waszyngtonie 1 maja 2025. Brał udział w Narodowym Dniu Modlitwy w Białym Domu i miał spotkania z kongresmanami. ""Trzy poważne argumenty"" mogą dotyczyć obronności, kontraktów energetycznych i stacjonowania wojsk",Thu May 01 23:42:30 +0000 2025,0,0,73
46,Steph,"@wkrawcz1 śmieszy mnie Wasze próbowanie zakłamywania rzeczywistości XD boli, że Nawrocki spotkał się z Trumpem i bardzo ważnym w stanach osobami, a w tym czasie czaskoski szleja się z Tuskiem w Sopocie? Hahaha",Thu May 01 23:42:06 +0000 2025,0,1,9
47,drone_buzz,"@AnnaZalewskaMEP Rubio:

- Który masz numerek?

Nawrocki:

- 45.

Rubio:

- A Ja 44, tylko w kiblu byłem 😂😂😂

I ot cała polityka",Thu May 01 23:41:25 +0000 2025,0,0,23
48,Kajka,Absolutnie bez powodu zechciało mi się przypomnieć jak wyglądało moje mieszkanie z dzieciństwa więc je narysowałxm w giga profesjonalnym programie https://t.co/2e2H81KRYy,Thu May 01 23:41:02 +0000 2025,1,1,27
49,Michał Czarnowski,"@GiertychRoman Chłopcze, jeśli Nawrocki wygra w pierwszej, bo ludzie głosowali tak jak chcieli, to znaczy że większość go woli. Nawet gdyby się głosy rozłożyły, to wtedy by wygrał w drugiej. Czy ty myślisz w ogóle?",Thu May 01 23:40:30 +0000 2025,0,12,402
50,zawodowiec,"@lis_tomasz Jutro debilu zobaczysz zdj. że spotkania Trump Nawrocki
A pojutrze Trzaskowski Putin",Thu May 01 23:40:18 +0000 2025,0,1,42
51,elim,"@A_Traczyk Onet pisze że Nawrocki spotkał się z Trumpem, czy to wystarczy Panu czy jeszcze za mało? https://t.co/a3tA3RiQ2C",Thu May 01 23:39:33 +0000 2025,1,1,57
52,Robson🇵🇱💯Σλαύος❤️ נєѕυѕ Ἀτλαντὶς,"@p_zuchowski Pacan z pana. 
Pan Nawrocki sam powiedział że spotkanie nie było zaplanowane, tym bardziej jest znaczące, bo prezydent Trump chciał spotkać się z Karolem Nawrockim. Podsumowując strasznie macie zmoczone gacie. Przeżyć nie możecie.",Thu May 01 23:39:19 +0000 2025,0,27,292
53,Maciej Giel ن 🇵🇱,"@MatKrzywousty Głosuj na Nawrockiego, to załatwisz 🤷🏻 #Nawrocki2025 #Nawrocki_w_1_turze",Thu May 01 23:38:15 +0000 2025,0,0,22
54,Tomasz🇵🇱,"Tusk rządzi 1,5 roku i prezydent USA nawet telefonicznie z nim nie rozmawiał. Nawrocki tylko przejeżdżał przez Waszyngton w drodze do Chicago, a zaproszenie na party i audiencję dostał. Taka różnica.",Thu May 01 23:37:44 +0000 2025,8,800,6058
55,Mirek Jagieniak,@Cezariusz88 @Bart_Wielinski Na 100% Nawrocki jutro będzie miał zdjęcie z Trumpem.,Thu May 01 23:37:15 +0000 2025,0,0,44
56,Serhii Pozhar,"@KoneserUnii @KoneserUnii No proszę, Nawrocki z Trumpem! 🔥 To się nazywa rozmowa na wysokim szczeblu – ciekawe, czy Trump dał mu jakieś wskazówki, jak wygrywać wybory 😉 A tak serio, to wygląda na solidny krok w stronę wzmocnienia polsko-amerykańskiej współpracy. Czekam na więcej szczegółów",Thu May 01 23:36:59 +0000 2025,0,3,679
57,karol prillwitz,@Elka68354587 Od słów do czynów.,Thu May 01 23:36:00 +0000 2025,0,1,18
58,Michał Czarnowski,"@OkiemSerka @OskWars XDDD ale to co, to uważasz że członkowie partii razem sami mają poprawiać byt polaków? Sami mają mieszkania budować?",Thu May 01 23:35:39 +0000 2025,0,1,43
59,Karol Makowski,@TomaszSakiewicz @NavallonyJohnny Ale ty kręcisz chłopie,Thu May 01 23:35:03 +0000 2025,0,2,17
60,generation.cro,"@donaldtusk Karol nie może. Usprawiedliwiony, załatwia Polsce Przyszłość https://t.co/mBcqNwkLwA",Thu May 01 23:34:49 +0000 2025,0,0,2
61,Jasio z II b,"@20Jaskulski @Dziordio1 Ten Nawrocki to kompletny obciach. Podczas gdy on spotyka się zaledwie z Sekretarzem Stanu USA, Rafał Trzaskowski spotkał się z Donaldem Tuskiem. Każdy myślący silny razem czuje tę różnicę poziomów. Nieprawdaż?",Thu May 01 23:34:31 +0000 2025,3,29,308
62,generation.cro,@krawczyk_michal @trzaskowski_ @Trzaskowski2O25 @WiolaPaprocka @mmarcinkiewicz @DorotaLoboda À Karol załatwia nam Przyszłość https://t.co/cF5Zk9GXpJ,Thu May 01 23:33:53 +0000 2025,0,1,8
63,aisthesis,"@wPolityce_pl @NawrockiKn @Nawrocki25 You will win” - powiedział Trump. Pewnie zaraz po „Who the hell are you?” i zanim Nawrocki zdążył zrobić selfie z ochroniarzem. To nie było spotkanie, tylko mijanka w kiblu, a „rozmowa” to jego własna halucynacja z lotu klasy ekonomicznej.",Thu May 01 23:32:54 +0000 2025,1,6,122
64,Maurice Wagenaar,@IceBerg324546 @KnightCziwi Pojechał Nawrocki żeby zmówić różaniec przed Białym Domem. W Polsce zmówiony jest nieważny.,Thu May 01 23:32:45 +0000 2025,0,0,90
65,Krzys Winiarski#TeamNawrocki#Nawrocki2025,"Nawrocki spotkał się z prezydentem Trumpem! ""You will win"" https://t.co/pHu34iVYQz",Thu May 01 23:32:42 +0000 2025,0,1,17
66,Zyta,@rboszke3 @Danczurnicki @ADerewienko Nawrocki nie gościł w Białym Domu był w ogródku do domu go nie wpuścili 🤣,Thu May 01 23:32:32 +0000 2025,0,0,3
67,Pospolity,"@upasieczna @Nawrocki Branie się za samotne matki jest żałosne i jest powodem do wstydu
Pozdrawiam",Thu May 01 23:32:24 +0000 2025,0,3,190
68,Michał Bielski,"@zaklinaskowron @realDonaldTrump @NawrockiKn @POTUS Karol Nawrocki
18 maja 2025
ZWYCIĘSTWO 

Zdrajcy Ojczyzny pod sąd 

Nie przedawni się",Thu May 01 23:31:58 +0000 2025,0,8,167
69,Piotr Łopaciuk,"Mam tylko jedno mieszkanie.
😂😂😂😂😂😂😂😂 https://t.co/XgkqkklIO5",Thu May 01 23:31:15 +0000 2025,1,3,180
70,Danger,"@Propeertys Brawo Nawrocki, nich lewary wyją, mają wyć!!! https://t.co/56Mo2m02mV",Thu May 01 23:31:10 +0000 2025,0,2,15
71,Barbara Trabinska🇵🇱.,"@Kaszubka_Polka @Cenckiewicz @NawrockiKn @AdamBielan @szefernaker Takiego Nam potrzeba Prezydenta #NawrockiPrezydent2025 
#Nawrocki2025Prezydentem 
#Nawrocki_w_1_turze https://t.co/WYbsLhwJFv",Thu May 01 23:30:16 +0000 2025,0,0,19
72,Zyta,@KoneserUnii @jjjrodman Nawrocki musiał skleić pizdę i wypad z baru znaczy ogrodu. 🤣🤣🤣,Thu May 01 23:29:45 +0000 2025,0,0,2
73,aisthesis,"@TomaszSakiewicz Jakim, kurwa, „spotkaniu”? Nawrocki co najwyżej zrobił kupę w łazience dla gości i odbił się w lustrze obok portretu Trumpa. Ale w TV Republika to już pełnoprawna wizyta państwowa. Kiedy transmisja z mycia rąk po tym „historycznym wydarzeniu”?",Thu May 01 23:29:02 +0000 2025,0,1,111
74,Marzena Paczuska,"Piękny umysł. Profesorska głowa.
Nawrocki został pastorem i biskupem, bo spotkał się z Trumpem w Dniu Modlitwy w USA. Oczywiście. https://t.co/LdU5E98axf",Thu May 01 23:28:43 +0000 2025,3,49,2486
75,DonalT,"@KuczynskiM Nawrocki siedzi w drugim rzędzie.
Nie mogę znaleźć ciebie.",Thu May 01 23:27:56 +0000 2025,0,3,27
76,🇵🇱 Ryszard Wasilewski,@PajakMarcel @MarSypniewski @EwaZajaczkowska @placzekgrzegorz Brawo Mentzen brawo Braun i brawo Nawrocki jeb.. komuchów,Thu May 01 23:27:06 +0000 2025,0,1,31
77,Karol,@OlechowskiJarek @RepublikaTV @NawrockiKn Trump to ten przyjaciel Rosji i Putina?,Thu May 01 23:27:01 +0000 2025,0,0,13
78,Makak,@Pani_Scarlett @EmiMarNer Gdyby Pan Karol posmarował zgodnie z opisem mogłoby pomóc na ból języka @Pani_Scarlett… 😂 i po co było blokować Emi… 😘,Thu May 01 23:26:56 +0000 2025,0,1,43
79,SuszonePomidory❤️🇵🇱 🐺Nawrocki✌️,"@Piotr56135281 Kostki TVN, Polsat News i PR widzę...
Wdarli się bez akredytacji?🤷🤷🤷 https://t.co/PJeOr9t42C",Thu May 01 23:26:48 +0000 2025,0,18,421
80,Karol,@p_zuchowski Trump to ten co jest zachwycony Rosja i Putinem?,Thu May 01 23:26:18 +0000 2025,0,0,39
81,Anna 🇵🇱,@NawrockiKn Przyszły Prezydent Polski Karol Nawrocki https://t.co/vJMFg38aHY,Thu May 01 23:26:05 +0000 2025,0,8,39
82,Foliarz 🇵🇱,"@DorotaSpalony @SlawomirMentzen Mogę cię zapewnić, że Mentzen nie wygra tych wyborów. Pierwszą turę wygra Trzaskowski, a drugą Nawrocki. Nie mam co do tego żadnych wątpliwości.",Thu May 01 23:25:16 +0000 2025,0,0,33
83,TrueLife,"Czyli chcecie mi powiedzieć, że Nawrocki poleciał za nasze lansować się do USA, a prawi robią z tego powodu pod siebie? 🙈 Idziemy na dno jak Titanic.",Thu May 01 23:25:16 +0000 2025,1,2,139
84,Andrzej,"@ArkadiuszMyrcha Panie Pośle, czy przestał Pan niesłusznie brać co miesiąc 7 tyś PLN na mieszkanie? https://t.co/9i5t3IDgyo",Thu May 01 23:25:12 +0000 2025,0,0,3
