No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,🇵🇱 Ryszard Wasilewski,@RobertWinnicki @grisza81 Mylisz się . W Łomży rodziny nie zostawia ojca czy dziadka bez pomocy . W Warszawie oddza do DpS za 10 tysięcy . Znam takie sytuacje . W Łomży łatwiej wynająć osobę dj pomocy . W Warszawie i okolicach bez szans . Koleżanka już 5 miesięcy kombinuje . Były dwie Ukrainki ale,Tue May 06 23:59:43 +0000 2025,0,0,22
2,Karol 🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,"@chorosinska @se_pl @NawrockiKn Nie wstyd pani bronić taką amoralną kanalię? Za 12000 wyłudził komunalne mieszkanie od gminy Gdańsk. Na te mieszkania latami czekają w kolejce najbiedniejsi, najbardziej potrzebujący mieszkańcy. Do tego wykorzystał jako słupa starego, schorowanego człowieka. Za grosz moralności. https://t.co/qKr4aidGRp",Tue May 06 23:59:39 +0000 2025,0,2,16
3,ArkZ,"@AAnakritos @pawelecjedrzej @pomaska Co wg Ciebie jest  ,, bezprawne "" ?  Kawalerka została wykupem zabezpieczona dla jednego i drugiego. Oboje na tym skorzystali.  Dzięki płaconym opłatom przez Nawrockiego ten człowiek uniknął DPS przez kilkanaście lat, więc jak miasto straciło?",Tue May 06 23:59:32 +0000 2025,1,0,21
4,DssG,@SlawomirMentzen A już miałam na pana głosować. A pan się skompromitował razem z tymi durnymi lewakami. Nawrocki właśnie zyskał mój głos.,Tue May 06 23:59:04 +0000 2025,0,0,8
5,SkamyAmi,"@R_A_Ziemkiewicz @KONFEDERACJA_ Nawrocki: Kłamie
Ziemkiewicz: Wina Mentzena",Tue May 06 23:58:43 +0000 2025,0,6,146
6,macras 🇵🇱💪#POLexit,"@SlawomirMentzen W #POPiS panika, nie ma się czym przejmować Sławek. Każdy kto ma choć trochę rozumu doskonale wie czy wygra Nawrocki czy Trzaskowski będzie to samo co było będą nas ru..ać tak jak to robią od czasów Magdalenki.
Nie wolno się podkładać bo tak będzie pasowało w tym przypadku #PiS",Tue May 06 23:58:34 +0000 2025,0,0,12
7,Stanley Ring,@KarolPopieramy Tylko Nawrocki ❤️🥰🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱👍,Tue May 06 23:58:23 +0000 2025,0,0,7
8,KosmicznyNalesnik,@michal_ef @R_A_Ziemkiewicz Przy czym sam Nawrocki powiedział że nie mogli dać całej sumy naraz z obawy o życie i zdrowie Jerzego,Tue May 06 23:58:16 +0000 2025,0,1,72
9,Kakarot,"@gregor_konop Co zrobił Nawrocki? Chciałbym się w końcu dowiedzieć, bo póki co jest tylko masa pomówień i domniemywań. Co finalnie wyniknęło?",Tue May 06 23:57:40 +0000 2025,0,0,14
10,Hanna Dąbrowska,"@borys_mi @TDLipinski ,,Pomagał,, to jest czas przeszły.Nie mówił, że pomaga.Facet mieszkał,miał opłacone mieszkanie a pieniądze przepuścił.Jego wybór.Dostał https://t.co/F5DltkfIxZ operację biodra sobie teraz poczeka.Znowu szpitalom nie płacą za nad wykonania.Niby nie kradną,a piniędzy nie ma .",Tue May 06 23:57:24 +0000 2025,0,0,5
11,Tomo,@TDLipinski @korsacze Jest afera i dobrze o tym wiesz. Więc nie pieprz głupot. Kandydat na prezydenta kłamie wraz z żoną notatriusza przy spisywaniu aktu co do zapłaty za mieszkanie. Za to jest w KK  3 lata.,Tue May 06 23:57:21 +0000 2025,0,1,11
12,🇵🇱Mario Mrok#SilniRazem#Trzaskowski2025#S,@SamPereira_ @NawrockiKn @wPolscepl @Marek_Pyza @G_Schetyna NAWROCKI skłamał Naród.,Tue May 06 23:57:15 +0000 2025,1,1,64
13,Paweł .🇨🇦.🇵🇱.,"@KiwiTenPtak @Diabel_Stockon @NawrockiKn Ale nie ma i kręci‼️ 
Tutaj nie chodzi o to, że #KarolOszust ma mieszkanie. Tutaj chodzi o to, jak #KarolOszust to mieszkanie nabył. 
Nie nabył mieszkania legalnie, dlatego kręci ....",Tue May 06 23:57:15 +0000 2025,0,0,4
14,Mirek Jagieniak,"@Br2048Pucan Dostał mieszkanie? 😀
Przecież te mieszkanie dostał Nawrocki po podpisaniu aktu notarialnego, nie emeryt.",Tue May 06 23:56:58 +0000 2025,1,1,60
15,Grok,"@a_k_bartnik @SlawomirMentzen W cieniu sporów,  
Nawrocki kupił dom,  
Starzec w chłodzie żył.",Tue May 06 23:56:53 +0000 2025,0,0,29
16,Charlie Nowinka,"Narracja z @RepublikaTV już przyszła
#nawrocki #onet #PanJerzy #Dudek #DPS @DPSu https://t.co/KN7cVLr7Cx",Tue May 06 23:56:53 +0000 2025,0,2,70
17,Jan,"@kosa64 Mnie to ugruntowało w postanowieniu, żeby w drugiej turze jeżeli będzie to skład Trzaskowski-Nawrocki oddać głos nieważny. Zacząłem się wahać jakiś czas temu ku Nawrockiemu, bo się rozkręcał, ale ta akcja z mieszkaniem i podejście do Jerzego sprawia, że nie chcę kogoś takiego.",Tue May 06 23:56:51 +0000 2025,1,7,1199
