No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Nieznajomy-u-Bram,@karol_karolix Te unijne wartości to ojebanie gały Niemcom i Francuzów.,Fri Apr 25 23:59:09 +0000 2025,0,0,3
2,Karol,"@NaPrawo80827 Nie zesrajcie się, Nawrocki i tak przepierdoli te wybory i tutaj nie trzeba nawet oszukiwać bo jest tak slaby.",Fri Apr 25 23:59:07 +0000 2025,0,1,15
3,karol prillwitz,@R_A_Ziemkiewicz Chciałbym poznać skład pracowników tego muzeum.,Fri Apr 25 23:58:58 +0000 2025,0,1,46
4,CarlJohnson,@Akrobata71 @GKMGrudziadzSA Ale czy ktoś poza ludźmi z zielonej wierzył lub dalej wierzy że to skład do walki o pierwszą 4?,Fri Apr 25 23:58:20 +0000 2025,2,0,211
5,ANTYtusk Nasz Prezydent Karol Nawrocki,"@KubaRutnicki na czole se naklej srajkowskiego !!!
wyjdź do ludzi porozmawiaj, daj film.
a nie ukradkiem jak złodziej !!!

to ten sam trzaskowski ? https://t.co/9XhGlVuGkU",Fri Apr 25 23:58:14 +0000 2025,0,0,7
6,Mablo Porales 🇩🇪🇪🇺🇵🇱 ***** ***,@Waldema51723109 Przecież Nawrocki to ciągle pod Niemcy wszystko robi 🤦🏽‍♂️,Fri Apr 25 23:57:10 +0000 2025,0,0,4
7,ANTYtusk Nasz Prezydent Karol Nawrocki,@CDzwoni Magnaci podczas zaborów obrastali w tłuszcz.,Fri Apr 25 23:54:37 +0000 2025,0,0,4
8,Karol,@sjkaleta @DariuszMatecki A skąd jego rodzice mieli pieniądze? Chyba prokuratura powinna się tym zająć,Fri Apr 25 23:54:27 +0000 2025,0,0,1
9,Dominik Kędzierawski,@Karol_Potas Gorzej.,Fri Apr 25 23:54:08 +0000 2025,0,0,28
10,MarcinWu 🇵🇱🇬🇧,@karol_karolix Uj jej w upe i kamieni kupę,Fri Apr 25 23:53:41 +0000 2025,0,1,9
11,Karol Durdewicz,@kot_b0t @MichalAdamczyk3 Tam związek zawodowy na związku zawodowym plus wysokie ceny energii. A spróbować to ruszyć to nie jedna ekipa polityczna tego nie przetrwa. Ale tak na dłuższą metę nie da się konkurować z CHRL i upadek UE wydaje się zauważalny na horyzoncie.,Fri Apr 25 23:53:11 +0000 2025,3,2,520
12,Karol T. Będziński,"@krolbijedame Karę grzywny powinien uiścić przy kasie, przy której będzie płacił za bilet do Uzbekistanu. Dzień po wykonaniu tatuażu na czole ""dożywotni zakaz wstępu  do strefy Schengen"".",Fri Apr 25 23:51:17 +0000 2025,0,5,44
13,Karol Durdewicz,"@kot_b0t @1984plusnow Jeszcze pomaga, jeśli firmy samochodowe z CHRL będą się tak rozwijać to ich samochody staną się stale lepsze od tych z UE, jeśli dojdzie do budowy marek i świadomości konsumentów to mamy pozamiatane.",Fri Apr 25 23:51:15 +0000 2025,0,1,139
14,Karol Potaś,@dkedzierawski Faktycznie Carr 2.0?,Fri Apr 25 23:51:05 +0000 2025,1,0,77
15,Karol,Są ludzie tak głupi co mówią że 366000 wiz wydanych przez pis jest związanych z tym że ludzie pracują w Microsoft tylko że na świecie ludzi pracuje tam 228000. I Beata morde masz Ty. Kłamcie dalej. https://t.co/U3fGOKDEPE,Fri Apr 25 23:49:50 +0000 2025,2,5,394
16,Aleksandra Zawisza-Wiatrowska #Trzaskowski2025,".@Diabel_Stockon:
Tadeusz Batyr, piszący laurki dla…  samego siebie i Karol Nawrocki chwalący odwagę i kunszt pisarski Batyra, cyrk kurwa. Karol, to nie autopromocja, to żenada dekady! Myślałeś, że nikt nie skojarzy? Brawo Karolku, właśnie zgarnąłeś Oscara za „Cringe Roku”!",Fri Apr 25 23:49:29 +0000 2025,3,20,201
17,Karol,@zujpaszcza z rachunków,Fri Apr 25 23:48:25 +0000 2025,0,0,2
18,ANTYtusk Nasz Prezydent Karol Nawrocki,"-bitte 
-chociaż na nowe, bez błędów tablice Mendelejewa Siemoniaka. https://t.co/AxfXMbOee6",Fri Apr 25 23:48:19 +0000 2025,0,0,4
19,Jarott,"@mvjkii1 @dawid563 @Karol__Sliwa @dj__keynote Tu się zgodzę. Koleś ma umiejętności i atletykę na twarz ligi. Niestety rozumu mu brak. Tak poza boiskiem jak i na boisku.
Mógł skoczyć w lewo  na wsad, mógł pójść dwutaktem i skończyć layupem.

Ale postanowił wskoczyć na plecy kolesiowi stojącemu pod koszem tyłem do niego.",Fri Apr 25 23:46:38 +0000 2025,0,0,21
20,Davvid,@karol_karolix On jest gorszym... Tfffusk jest cwany a on głupi...,Fri Apr 25 23:46:08 +0000 2025,0,0,3
21,Karol T. Będziński,@domi_dlugosz A więc tak się robi majątek na wazelinie. A ja głupi myślałem że trzeba nią handlować lub ją produkować.,Fri Apr 25 23:46:03 +0000 2025,0,0,12
22,Pani Brovary.#NawROCKY2025,"@WojciechMucha @AndrzejDuda Panie Wojtku, a jak wszystkim naokoło mówiłam, ze tylko Pan Nawrocki może zostać Prezydentem, to sobie kpili ze mnie! Przecież ludzie go uwielbiają...",Fri Apr 25 23:44:27 +0000 2025,0,3,62
23,mvjkii,@Jarothz @dawid563 @Karol__Sliwa @dj__keynote Tak czy siak Morant jest idiotą. Dwa lata temu z połamaną dłonią też próbował latać co drugie posiadanie nad Daviesem i LeBronem,Fri Apr 25 23:42:50 +0000 2025,1,0,12
24,ANTYtusk Nasz Prezydent Karol Nawrocki,"@michaldworczyk To może być zagrywka, wpadnie Trzaskowski i załatwi.
Coś tam obiecają a po wyborach zapomną.",Fri Apr 25 23:41:48 +0000 2025,0,0,5
25,Jarott,"@mvjkii1 @dawid563 @Karol__Sliwa @dj__keynote Obracał się przodem do piłki. Gdyby się nie poślizgnął to mógłby wybić piłkę, skoczyć do góry, a Morant nie leciał by przez niego na twarz tylko się odbił, albo zejść z drogi widząc że Morant jest już za wysoko.

Ale się poślizgnął, więc nie miał wpływu na to co się działo potem.",Fri Apr 25 23:41:02 +0000 2025,1,0,35
26,pistoma,"@PersElection @trzaskowski_ @NawrockiKn @SlawomirMentzen @szymon_holownia @ZandbergRAZEM Jeśli Nawrocki przekroczy 30%, a nie daj Bóg wygra pierwszą turę, to te wszystkie sondazownie powinny pójść na śmietnik i stać się memem. One nie badają opini tylko ja próbują nieudolnie kreować.",Fri Apr 25 23:40:23 +0000 2025,0,2,133
27,ANTYtusk Nasz Prezydent Karol Nawrocki,"@antylewus @michaldworczyk Nie mamy pańskiego płaszcza i co pan nam zrobi? 
 Cham się uprze i mu daj. No skąd ja wezmę, jak nie mam! 
Tu pisze! Niech pan se przeczyta. 
""ZA GARDEROBĘ I RZECZY ZOSTAWIONE W SZATNI SZATNIARZ NIE ODPOWIADA""",Fri Apr 25 23:40:01 +0000 2025,0,1,8
28,ANTYtusk Nasz Prezydent Karol Nawrocki,"@MWosPL Obok siedzi lekko zdziwiony, troll brejza z farmy trolli tatusia z Ina. https://t.co/GlMaXjJnto",Fri Apr 25 23:35:57 +0000 2025,0,0,5
29,Ministerstwo Obelżywości,"@domi_dlugosz Ziomalko. Nawrocki normalnie pykał w 3 lidze na poważnym co bądź poziomie, a nie sobie biega z innymi komuchami i przestępcami w jakiś szklarniowych warunkach. Skończ być żałosna dominiczko, bo nawet nie potrafisz zrobić prostego researchu tak się sprzedałaś XD",Fri Apr 25 23:35:47 +0000 2025,0,0,6
30,Polish Patriot 🇵🇱,@karol_karolix Wałęsa  ( Bolek ) też obiecywał drugą Japonię w Polsce zwykle 🐖🐖💩🌈🇩🇪,Fri Apr 25 23:33:37 +0000 2025,0,0,8
31,Arnold Sowa,"@dali_ania no nie mnożyć. Ustalenia pomiędzy IPN naszym a ukraińskim były dużo wcześniej zaplanowane i udział miał p. Nawrocki oraz p Prezydent RP. Pamiętam, że Sikorski się mało odzywał i szkoda, że nikt go nie kopnął w kostkę. Ogólnie super jednak działania odłożyłbym do zakończenia wojny",Fri Apr 25 23:33:14 +0000 2025,0,8,126
32,Don Corlene,"@KoneserUnii Wyglada jaby wrocil z piekła i trafił na tramwaj pozniej na 100 lat brania dragów i do doktora.w Tajlandii na operacje zmiany płci 
..jak mowi Nawrocki Płuci",Fri Apr 25 23:32:57 +0000 2025,0,0,68
33,karol prillwitz,"@zahajst ""migdałowe oczy""",Fri Apr 25 23:30:49 +0000 2025,0,1,10
34,DumspiroSpero 🇵🇱,"@OlaM51220492 @karol_karolix Prawa szariatu, czy prawa murzynów? Ta kobieta do tego dąży. Nikt nie chce w Polsce obsesyjnych wyznawców islamu, prawie nikt nie popiera euro jako ""polskiej"" waluty.",Fri Apr 25 23:28:37 +0000 2025,0,1,8
35,Król Poznania,@pis_plis Jakim debilem trzeba być bez intelektu żeby głosować na Rafałka xd,Fri Apr 25 23:27:22 +0000 2025,0,0,8
36,Karol Polski,"@MaxTizer @SlawomirMentzen Nigdy nie rozdawał piwa. 
A ci wszyscy na pewno przyszli po czapki, tak sobie tłumacz. https://t.co/zOZnu4jf6R",Fri Apr 25 23:27:22 +0000 2025,0,0,5
37,ANTYtusk Nasz Prezydent Karol Nawrocki,@Aggi0409Aggi @PremierRP @donaldtusk Żona ostrzy mu piłę.,Fri Apr 25 23:23:32 +0000 2025,0,1,11
38,DumspiroSpero 🇵🇱,"@karol_karolix Ja 🖐️
Nie chcę euro, ani murzynków w kraju, o który walczyli moi przodkowie. Nie chcę też, by nasze wojska jej służyły. Czas na Polexit. Jak najszybciej!",Fri Apr 25 23:23:18 +0000 2025,0,0,23
39,Karol Durdewicz,"@DemografiaPl nieruchomości w BIG 3 w ciągu najbliższych 20-25 lat, chyba, że wydarzy się coś skrajnie katastroficznego, ale oczywiście wtedy cały kraj będzie miał o wiele większe kłopoty - oby nie natury egzystencjalnej. 12/12",Fri Apr 25 23:22:44 +0000 2025,0,3,42
40,Jerzy Pawelski,@olasempruch Nawrocki ma mordę jak ogolony orangutan. Z zasług dla płci pięknej warto przypomnieć jak zarabiał na umawianiu bezpruderyjnych studentek ze sponsorami.,Fri Apr 25 23:22:37 +0000 2025,0,0,3
41,Jack Malinowski,@karol_karolix BOG wygra jak zawsze masz z tym problem?,Fri Apr 25 23:21:58 +0000 2025,0,0,2
42,Karol Durdewicz,"@DemografiaPl skomplikowane oraz wielopłaszczyznowe i proste spojrzenie demograficzne jest jego zero-jedynkowym uproszczeniem. Nie twierdzę, iż uproszczenia są złe - wręcz przeciwnie, ale uważam, że o rynek nieruchomości w BIG 5 nie należy się bać w najbliższych 15-20 latach, a o rynek 11/↓",Fri Apr 25 23:21:39 +0000 2025,1,2,49
43,Rafał Kwiatkowski,@lece_samolotem Nawrocki to mem,Fri Apr 25 23:21:30 +0000 2025,0,6,427
44,Bohater Epizodyczny,"@karol_totheleft @hayastanboi Oni kurwa wszyscy są prawicowi, bo ""proste i niskie podatki"" i gejów w sumie nie lubią, a oni są za lewicą. Nie mają pojęcia co to jest prawica i lewica  i czym się te poglądy różnią i jakie są polityczne następstwa",Fri Apr 25 23:21:22 +0000 2025,0,14,336
45,Karol Durdewicz,"@DemografiaPl w korporacjach - stąd też możliwym jest, iż dokonają oni wyboru nowych bloków - jeszcze niepowstałych, ale droższych - aniżeli istniejących już budynków mieszkaniowych, dając tym samym popyt na budowę nowych mieszkań klasy premium.  Całe zagadnienie jest o wiele bardziej 10/↓",Fri Apr 25 23:21:08 +0000 2025,1,0,39
46,Karol Durdewicz,"@DemografiaPl krajach UE do reemigracji do swego macierzystego kraju
- duża część mieszkań z wielkiej płyty może nie spełniać wygórowanych oczekiwań rosnącego populacji zamożnych Polaków - szczególnie tyczy się to najmłodszej jej części wykonującej wolne zawody oraz pracującej 9/↓",Fri Apr 25 23:19:56 +0000 2025,1,0,43
47,BasiaZiutaXZ,"@Ewikone @karol_karolix ""Między dżumą a cholerą"", obydwie  są zarazą, polecam się dokształcić 🤡😆",Fri Apr 25 23:19:31 +0000 2025,0,0,10
48,Karol Gaduła,"Oczy kamerą. Dyktafon pamięcią.Wspomnienia wiatrem. Lecz pamięć i pamiętanie to inna bajka. Jak zwykle w drodze ale już jako pasażer. Więcej czasu na obserwację życia. Widzę Cię 😉
#prawica",Fri Apr 25 23:19:18 +0000 2025,0,0,16
49,Karol Durdewicz,"@DemografiaPl bloków zastępczych w miastach (być może na bazie partnerstwa publiczno-prywatnego?)
- w tak dynamicznym świecie nie sposób jest przewidzieć wydarzeń o znaczeniu globalnym jakie mogą zajść na kontynencie Europejskim, a które mogą zmusić część Polaków żyjących w innych 8/↓",Fri Apr 25 23:18:54 +0000 2025,1,0,45
50,Karol Durdewicz,"@DemografiaPl technicznych
- remont i przystosowywanie najbardziej wyeksploatowanych technicznie oraz najstarszych budynków (zarówno w miastach jaki i poza nimi) do wymogów dyrektywy budynkowej EPBD może okazać się zwyczajnie nieopłacalny powodując konieczność budowania tanich 7/↓",Fri Apr 25 23:18:09 +0000 2025,1,0,54
51,ANTYtusk Nasz Prezydent Karol Nawrocki,@barbaraanowacka Krwawe bestie !!! https://t.co/WmwjTbhq6R,Fri Apr 25 23:17:02 +0000 2025,0,0,19
52,TEHOL 🇵🇱🇪🇺🇨🇦🇬🇱,"@Nawrocki25 @NawrockiKn Pan nawet nie wie czy ma na imię Karol czy Tadeusz🤦 Strażnikiem to może Pan zostać przy bunkrze na Nowogrodzkiej.
#LiderZaufania",Fri Apr 25 23:16:11 +0000 2025,0,10,39
53,Karol Durdewicz,"@DemografiaPl powodować ubytku gospodarstw domowych, bowiem będzie on mógł być w całości zrekompensowany poprzez wyższy % wzrostu gospodarstw domowych tworzonych przez singli
- nie można odrzucić wariantu, w który część bloków z wielkiej płyty będzie jednak trzeba wyburzyć ze względów 6/↓",Fri Apr 25 23:15:48 +0000 2025,1,0,52
