No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Mariusz Staniszewski,"Emocje rozgrzewa jedno mieszkanie, a powinno na przykład to: https://t.co/867qut0Tep",Mon May 05 23:32:02 +0000 2025,248,6204,111849
2,Ewa,"Czy Nawrocki „wyłudził” mieszkanie metodą na „opiekunkę” od pana Jerzego, „bohatera”, którym miał się opiekować, a który nagle zniknął; nikt nie wie, co się z nim stało‼️
Źródło: Stan wyjątkowy https://t.co/ZTyGQ5qSQ3",Sat May 03 20:05:43 +0000 2025,107,2427,319580
3,Tomasz Janusz,"Onet pisze, że pan Jerzy jest w DPS od lutego 2024 roku, na co był przewód sądowy. Dziwne, że tego @NawrockiKn nie zauważył, prawda?

@EmiliaPob pisała,że Nawrocki kupował mu jedzenie. JAK NIBY? https://t.co/xlaDGX1rsa",Mon May 05 13:16:25 +0000 2025,42,646,13726
4,Osiem Gwiazd,"Onet ustalił, że to nie Karol Nawrocki płaci za DPS w którym od kwietnia 2024 znajduje się Pan Jerzy, którym Nawrocki miał się opiekować w zamian za mieszkanie. 

Płaci miasto Gdańsk.. czyli podatnicy - dokładnie 100 TYSIĘCY złotych rocznie. Nawrocki się nie dokłada. https://t.co/HX2eicbyIr",Mon May 05 11:11:57 +0000 2025,89,2771,61775
5,Jacek Fogiel,"Szok. Pan Jerzy w DPS od kwietnia 2024. Nawrocki twierdził, że był u niego w grudniu 2024 i go nie zastał. Nawrocki dostał mieszkanie od niepełnosprawnego w zamian za opiekę. https://t.co/P0ygSomczs",Mon May 05 10:47:32 +0000 2025,101,1607,52644
6,Bianka Mikołajewska,"Rzeczniczka K. Nawrockiego twierdziła,  że Jerzy Ż przekazał mu  mieszkanie w zamian za wkład finansowy i opiekę. 
Według niej, KN „jako jedyny” od lat opiekował się Jerzym Ż.

Według gdańskiego magistratu, JŻ był od 2007 roku pod opieką MOPS, a od 2018 miał profesjonalne

1/4 https://t.co/3hboQifWqv",Mon May 05 12:26:43 +0000 2025,56,2274,98841
7,Agnieszka Pomaska,"‼️Panem Jerzym od 2018 roku profesjonalnie zajmowała pomoc społeczna Miasta Gdańska. 
W 2011 roku Pan Jerzy kupił mieszkanie od miasta za ok.12 tys.zł. W 2012 roku Nawrocki podpisał umowę przedwstępną na zakup mieszkania od Pana Jerzego. https://t.co/GAxm1p3qn2",Mon May 05 11:03:09 +0000 2025,179,714,20728
8,Onet Wiadomości,"Pan Jerzy trafił do jednego z państwowych DPS-ów. Karol Nawrocki twierdzi, że nie mógł się nim opiekować, bo od grudnia nie jest w stanie go znaleźć. My go odnaleźliśmy w ciągu kilku godzin.

⚠️ Więcej na ten temat ➡️ https://t.co/nj2KCcrNmx https://t.co/cwRk2HEPCz",Mon May 05 05:26:12 +0000 2025,284,1106,139123
9,Paweł M. Kosowski 🇵🇱,"Zwyciężymy ✌️🇵🇱
#Nawrocki_w_1_turze 
#Nawrocki2025Prezydentem",Mon May 05 23:06:30 +0000 2025,0,0,10
10,Daniel Radaczynski,"PREZYDENTEM POLSKI 
BĘDZIE 
KAROL NAWROCKI 2025",Mon May 05 22:05:59 +0000 2025,0,0,10
