No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Marcin Czapliński,"Trudno nie zgodzić się z gościem, który na występowaniu przed milionami odbiorców zjadł zęby. Posłuchajcie Tomasza Kammela:
Karol Nawrocki najskuteczniej omijał pułapki i wyszedł na człowieka, który ze stoickim spokojem przepłynął przez te wszystkie rafy. https://t.co/2v8023yltO",Mon Apr 28 18:59:24 +0000 2025,139,2569,171596
2,Sebastian Kaleta,"Karol Nawrocki bardzo mocno o tym, że nie zgodzi się nigdy na wdrożenie w Polsce paktu migracyjnego‼️🔽
#Nawrocki2025 https://t.co/n8DPvIqVbj",Sun Apr 27 12:36:23 +0000 2025,28,426,3858
3,Jack Poso 🇺🇸,"Karol Nawrocki: 

""My Poland is a Poland without illegal migrants. It is a Poland where instead of integration centers, there are deportation centers for those who want to destroy our safety”
https://t.co/faCpXmfr1o",Mon Apr 28 12:07:00 +0000 2025,102,7086,458288
4,Aneta ObserwatorXY,"Karol Nawrocki wyjął wymiętą, polską biało-czerwoną flagę, dużo mówił o patriotyzmie, a po skończonym programie flagę zostawił.

PiS w pigułce. Dużo mówią o patriotyzmie, mnóstwo frazesów. A flaga Polski jest dla nich gadżetem i często zasłoną dymną do przykrywania brudów. https://t.co/UBsQcuQRKj",Tue Apr 29 07:04:01 +0000 2025,8,297,4441
5,Karolina Pawliczak,"Nawrocki to Duda bis i przedłużenie władzy Kaczyńskiego w Pałacu Prezydenckim. Potrzebna jest im kolejna partyjna marionetka, by chronić interesy, blokować rozliczenia i zapewniać bezkarność. 18 maja uwolnijmy Pałac Prezydencki od Kaczyńskiego i jego nominatów. #WygraCalaPolska https://t.co/0t6k3hoO4k",Tue Apr 29 05:50:59 +0000 2025,93,401,6804
6,Kinga🇵🇱,"‼️ Ja się nazywam Nawrocki, Karol Nawrocki 
✌️🇵🇱

""ZAMIAST CENTRÓW INTEGRACJI,  CENTRA DEPORTACJI"" 💪🇵🇱

#Nawrocki2025 
#debata https://t.co/BZk5aTV5UW",Mon Apr 28 19:15:39 +0000 2025,16,517,4575
7,Ryszard Cukierman,"Karol Nawrocki...110 % PiSu...Duda bis...i mały  Kaczyński w pigułce...czyli jestem ""bezpartyjny i obywatelski"" ...🤣🤣🤣🤣🤣🤣 https://t.co/dtgdOLZ4E9",Sun Apr 27 12:22:22 +0000 2025,9,221,1266
8,MartynaBP,"Karol, Karol , Karol!
@NawrockiKn prezydentem Polski!
Brawo Mielec👏👏👏👏
https://t.co/mWM65LuqFd",Tue Apr 29 14:50:48 +0000 2025,12,726,4417
9,Andrzej Mitura #Mocnytakżeosobno,"Czy ktoś ma jeszcze wątpliwości do czego jest im potrzebny Karol Nawrocki jako prezydent RP ?🤔
- 40 zawiadomień do prokuratury .
- W tym 24 dotyczące samego Macierewicza .
Niech ""decyzja J. Kaczyńskiego"" wyląduje tam gdzie jego miejsce, 
czyli w ZK 👊👊👊
#PorzuconaFlaga https://t.co/h9hY8X9cxd",Mon Apr 28 19:19:58 +0000 2025,13,1041,15944
10,ₖₐᵣₘₑₗₒwy ₘₐᵣₖᵢz 🏴‍☠️,"Karol rozjebał system hahahaha 
💪🏻🇵🇱 
#Nawrocki2025Prezydentem https://t.co/CxuB201mFb",Mon Apr 28 03:01:12 +0000 2025,2,497,7158
