No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Anastazja Walczyńska🇵🇱💯,"MENTZEN GRILLUJE: Karol Nawrocki 
https://t.co/jv2ZLqJocp",Thu May 22 23:56:40 +0000 2025,0,0,44
2,Jarek Gwardzik,"I to ma być kurwa przyszły Prezydent??? Kibol, sutener, bramkarz????

Karol Nawrocki i ustawki kibiców? To o tym wydarzeniu miał mówić Sławomir Mentzen https://t.co/h6LrMfCyve via @OnetWiadomosci",Thu May 22 23:54:12 +0000 2025,0,0,39
3,Marta,"@rektwapniak Kto oglądał spotkanie Nawrocki i Mentzen ten wie, że była mowa o tych bilbordach...",Thu May 22 23:48:47 +0000 2025,0,1,93
4,Noksen,"@Barti7Fantasti @filiptrs @sawardega A i jakiś dowód na finansowanie komunistycznych morserców? Żeby nie było - nie głosowałem na Trzaskowskiej w pierwszej turze i wiele mogę zarzucić obecnemu rządowi. Chcę zmiany, ale na lepsze, a zarówno Nawrocki jak i Mentzen to zmiana na gorsze.",Thu May 22 23:48:06 +0000 2025,0,0,56
5,Piotr Parafiniuk,#duda #nawrocki #stanowski #braun #mentzen #trump #wybory #zaorski #btc #forex #nasdaq #dax #nieruchomości #biznes #KORWIN #nawyki #GiertychDebil #piagów #uw #ByleNieTrzaskowski Chcesz mieć życie swoich marzeń?,Thu May 22 23:47:37 +0000 2025,1,0,80
6,Artur,"@UnfairValue1 Niewygodna prawda jest taka ze mentzen wypadl na goata, osobe oczytaną, mądrą, elokwentna, a nawrocki na prostego chlopa co zna sie na historii i na tym sie konczy. Opinia nie tylko moja ale i sasiadow 45+ ktorzy po wywiadzie mowia ze mogli glosowac na mentzena.",Thu May 22 23:20:08 +0000 2025,0,0,36
7,Luke,"@Ewa61075046 @SlawomirMentzen a czy nawrocki byl wtedy w pis? hmm. on ma ten plus nie dowiemy sie dopóki go nie wybierzemy co zrobi nie musi byc wygodny dla pis a po drugie, byle nie trzaskowski wszystko lepsze od lewactwa... bosak -&gt; mentzen -&gt; braun -&gt; nawrocki",Thu May 22 23:17:31 +0000 2025,1,2,66
8,Maurizio Calogero 🇵🇱 🇮🇹,"@BBochenczak @SlawomirMentzen @KONFEDERACJA_ @Nowa_Nadzieja_ Super rozmowa, chciałbym aby Pan Mentzen został Prezesem rady ministrów, Pan Nawrocki - Prezydent Rzeczpospolitej. Razem dla Polski 🇵🇱",Thu May 22 23:12:37 +0000 2025,1,1,670
9,Maria Weronika,"@Hanna64556159 @DanutaWioletta Po wpadkach KN ze znajomości historii, popełniłam taki wpis ;
Historyk, który zaorał historię.
Po spotkaniu Nawrocki-Mentzen,
Nawrocki, który uczynił Mentzena, mężem stanu, paradoks.
Facet, którego kojarzyłam z hulajnogą na tle kandydata obywatelskiego, urasta do takiej rangi.",Thu May 22 23:10:10 +0000 2025,0,3,67
10,Napoleon 🇵🇱 #TAKdlaCPK,"@domi_dlugosz 2/2 Gdyby Mentzen zapytał o KRS, TK, SN, nielegalną TVP i prokuraturę, nieuprawnione ingerowanie naszych wrogów w nasze wybory albo wymiar sprawiedliwości, Nawrocki by się zgodził z PiS-em, ciekawe, czy (mam nadzieję, że Mentzen zapyta) tęczowy lalek się zgodzi?",Thu May 22 23:08:34 +0000 2025,0,0,21
