No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Młodzi Na Wybory 2025,"Nawrocki - Tak, zgadzam się
Mentzen - Nie zadałem jeszcze Panu pytania🤣
#MłodziNaWybory #nawrocki #mentzen #wybory https://t.co/NNKieuXIoH",Mon May 26 23:13:03 +0000 2025,0,8,170
2,wowserio,Przed użyciem skonsultuj się ze swoim sztabem. #nawrocki #snus #debatex #pis #wybory #mentzen #prezydent #trzaskowski #ai #humor #smieszne #zart #wygenerowaneprzezai https://t.co/bTJXsokd2i,Mon May 26 13:47:39 +0000 2025,0,0,234
3,Szalony Reporter,"POLITICAL FICTION:
Nawrocki zażywa to wszędzie, a u Mentzena nie zażywał.

To było już po wpadce na debacie, więc pewnie zabronili mu żreć na wizji. 
A może WŁAŚNIE DLATEGO podpisał co tylko chciał Mentzen, żeby zażyć! 
Pod koniec wstaje i chce wyjść, choć Mentzen jescze mówi. https://t.co/wAB0Ryntog",Mon May 26 17:51:28 +0000 2025,96,155,82779
4,Jolanta Paszkowska,"STANOWSKI: MENTZEN PRZEDOBRZYŁ, TRZASKOWSKI ODJEŻDŻA, NAWROCKI BEZ SPRZĘTU - YouTube https://t.co/E39I4U2CAB",Sun May 25 18:13:43 +0000 2025,0,0,51
5,Adam Krupa,"Kukiz nie ma odwagi polemizować z uczestnikami X. To tak jak cały PiS. Panie Kukiz, druga kadencja za moje pieniądze. Gdzie są te JO(B)Wy ? No gdzie ?
Mentzen/Nawrocki -             97nie/3tak
Mentzen/Trzaskowski -        67nie/33tak

Jaki wniosek, panie Kukiz.",Sun May 25 14:20:01 +0000 2025,0,0,20
6,Max Hübner,"Hahaha.

Mentzen do Nawrockiego:

Punkt 7 :nie zgodzę sie na przekazywanie jakichkolwiek kompetencji władzy RP do instytucji UE.

Nawrocki:

Ja bym ten punkt zaotrzył i dodał Zielony Ład i umowę z Mercosur.
Dodamy? https://t.co/Lxvd69hzBv",Thu May 22 12:00:35 +0000 2025,43,3003,97982
7,Małgosia,Mentzen w punkt. Tylko nie Nawrocki  https://t.co/XCeMQIuSxQ,Mon May 26 21:44:35 +0000 2025,0,0,6
8,Gerard Bukowski 🇳🇿 🇵🇱,Mentzen mial rację że Nawrocki nigdy nie powinien być prezydentem ‼️ https://t.co/Muh0J7b4i5,Mon May 26 11:37:21 +0000 2025,0,0,16
9,Igor Nicpoń,"Adam Bielan(PiS) oficjalnie przeprosił prezesa Sławomira Mentzena

@slawomirmentzen przyjął przeprosiny i zainicjował spotkanie na piwie tuż po wyborach!

#mentzen #wyboryprezydenckie #trzaskowski #nawrocki #polska #polityka https://t.co/HyAgOeDdr3",Mon May 26 15:35:52 +0000 2025,0,1,87
10,krzleskow,"Mentzen i ""niezbyt lotny osiłek"" Nawrocki.)
#TylkoNieNawrocki https://t.co/rHZMTchAvZ",Mon May 26 15:20:22 +0000 2025,0,1,197
11,Gerard Bukowski 🇳🇿 🇵🇱,Mentzen potrafi rozmawiać a nie tylko kijami na ustawkach jak Nawrocki okładać ‼️ https://t.co/kvVKLl9GBT,Mon May 26 07:41:26 +0000 2025,0,0,11
12,🌐 Amazonia is here,"Dobre wieści z prawej strony. Napier. ideologów o sprawę Mentzen - Nawrocki 😘

W akcji Bielan, Wipler, Cenckiewicz, Sakiewicz, Warzecha, Palade, etc, w tle piwo. https://t.co/ISyTNgA77W",Mon May 26 12:25:09 +0000 2025,1,2,116
13,ANTYtusk Nasz Prezydent Karol Nawrocki,Panie mentzen tego się nie tańczy.,Sun May 25 20:47:13 +0000 2025,0,0,20
