No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Karol Polski,"@anita_milewska @Filip_36 Kiedy do parlamentu europejskiego pójdzie więcej prawicowcow Unia też skręci, wspomnisz moje słowa.
Ważniejsze dla POod unii jest to, że nie ma wystarczająco wyborców na lewicy, bo zmienia się społeczeństwo.
Albo powalczą o prawicowego wyborcę albo przepadną.",Sat May 24 23:59:43 +0000 2025,1,0,11
2,Angelika,"@megagigagit @xSynPapieza69 @Fastinfoo Tak, ale snusy nie, informacja podana przez Pawła Szefernakera jest taka, że to był snus",Sat May 24 23:59:24 +0000 2025,1,0,21
3,zytka,"@szef_dywizji Szlag by mnie trafił gdybym zagłosowała na metzena jednak oddałam głos na Karola i cieszy mnie to.... Sławomir Solinki w twarz swoim wyborcom , teraz Karol w wyborach do sejmu na brauna",Sat May 24 23:59:23 +0000 2025,0,0,3
4,Anna B.💛💙,"@GChocian @KONFEDERACJA_ @SlawomirMentzen Przecież Mentzen nikogo nie poparł, wszystko zależy od wyborców. Nawrocki też mógł go gdzieś zaprosić. Czy wtedy pisałby pan, że pan Mentzen ""rozjechał lata starań o bycie poważną alternatywą""?",Sat May 24 23:59:23 +0000 2025,0,0,50
5,Młot Kowalski #NIEdlaRafała #NieDlaSCT,@lkwarzecha @karol_ketzer @SlawomirMentzen Jak odczucia co do reszty Bondów z Craigiem?,Sat May 24 23:59:20 +0000 2025,0,0,27
6,Sunday monkey,@PiotrMuller @trzaskowski_ Popieprzyło ci się wszystko. To Karol się koksował. Niech Karolek się tłumaczy.,Sat May 24 23:59:17 +0000 2025,0,0,3
7,JustEdwin,"@Hellreiser173 @MateuszPluta02 Ta Koalicja nie będzie działać nawet z prezydentem, bo Lewica blokuje pomysły 3D i odwrotnie. Bez prezydenta mają wymówkę czemu nic nie robią. Jak Nawrocki wygra, to wzmocni PiS i ułaskawi kolegów, a Kaczyński dalej będzie knuł intrygi, jak zdominować prawą stronę.",Sat May 24 23:59:15 +0000 2025,0,0,38
8,g59,@derby830 @KarolMakowski8 @karol_szzz @g_obsranco @sikorskiradek @trzaskowski_ @SlawomirMentzen lepiej glosowac na kogos kto nie ma pojecia o czym mowi i podpisze wszystko byle dojsc do wladzy? no ale coz z pisu nie dalo sie wystawic nikogo lepszego ;),Sat May 24 23:59:07 +0000 2025,2,2,68
9,"🇵🇱Giulian, Renata✝️🕎","@_rafgoz @montag786789 @ProfesorPingwin Nie kompromituj się baranku - nie ma kropki, gdy piszemy dr Karol Nawrocki; natomiast pisząc dr. KarolA Nawrockiego, stawiamy kropkę.",Sat May 24 23:59:07 +0000 2025,0,2,25
10,Wywrócony stolik,"@Monkey_D_Beer @Eduardo13126945 @JakubKubunio W paru miejscach się wyłożył, ale akurat nie możesz go winić za obstawanie przy swoich poglądach w kwestii NATO czy UE albo LGBT.

Pokazał dużo większe jaja niż Nawrocki. Zarzucali mu bycie chorągiewką, a gość stanął twardo w debacie, bez lizania po stopach Mentzena.",Sat May 24 23:58:56 +0000 2025,1,1,46
11,Emil Papiernik,@arekmularczyk To gdzie jeszcze zaznaczanie Z? Rozumiem że Karol chciałby też Z umieścić na Pałacu Prezydenckim jako znak wygranej?,Sat May 24 23:58:49 +0000 2025,0,0,4
12,Karol Gil 🇵🇱🇪🇺,@wisniamirra666 Widzę że na skrajnej lewicy nic się nie zmieniło. Samobójcy jak zwykle. Jesteście skazani na wieczną opozycję na marginesie politycznym.,Sat May 24 23:58:43 +0000 2025,0,1,73
13,Waldemar Kowal,"@czaplinski_s @JanSpiewak Nawrocki nie straci ani głosu, a dołoży kilkaset tys głosów. pełna mobilizacja przeciwko układowi.",Sat May 24 23:58:40 +0000 2025,1,2,315
14,r00t,"@sejmowa Juz pisalem o tym na fb, on ma tam amfiturę, która pobudza bardzo szybko ale tylko na krótki czas. Ma bardzo gorzki smak, więc trzeba ją przepić - widac to doskonalem na debacie jak po przyjęciu się skrzywił i szybko popił. Snus ma bardzo miły i słodki smak.",Sat May 24 23:58:38 +0000 2025,11,107,21455
15,Paweł 🇵🇱,"@cendytka @BroVarious @SlawomirMentzen Ja chcę sojuszu Polaków na rzecz Polski i Polaków.
1 czerwca mamy wybory prezydenckie, a nie partyjne.
Trzeba się jednoczyć i mobilizować aby obronić Polskę i aby wygrał p. Nawrocki.
!!
Apel o rozsądek!
https://t.co/j1Hqs7065Z",Sat May 24 23:58:33 +0000 2025,0,0,24
16,reakea,"To jakis n smieszny zart co sie dzieje w Polsce
- Trzaskowski odmawia Narkotestów
- Nawrocki bierze snusa na debacie i jest z tego wielka afera koperkowa 
- Mentzen zaprasza na piwo Trzaskowskiego 
Żyjemy w takiej prowokacji i manipulacji. Czy wy ludzie serio tego nie widzicie?",Sat May 24 23:57:50 +0000 2025,0,0,26
17,Karol Gil 🇵🇱🇪🇺,@mirkowy Sikorski to geniusz,Sat May 24 23:57:46 +0000 2025,0,1,21
18,generalthecoke,@IzaJarska @cezarykrysztopa Ja się nie dałem rozegrać. Tylko Karol Nawrocki 🇵🇱,Sat May 24 23:57:43 +0000 2025,0,1,20
19,Krzysztof Kielcz,@Kasia_Dre @KONFEDERACJA_ Słyszeliście jakich imbecyli mają teraz w polskim radiu mowia ze Karol Nawrocki wziął do nosa gumę do żucia by musiał być tak mało inteligentny jak solorze co inteligencje w szkołach kupywali za kasę tatusia i wierzycie takim ludzia oni takie numery robili wcześniej w Holandii fr,Sat May 24 23:57:41 +0000 2025,0,2,112
20,TwójStary,@Agata314492 @szefito_11 @sikorskiradek @trzaskowski_ @SlawomirMentzen za to Nawrocki cały czas nie kłamie XDDDDD Przecietny wyborca pisu nadal na poziomie intelektualnym kamienia,Sat May 24 23:57:15 +0000 2025,0,1,27
21,Jerzy Lenarczyk,"@IIAnnaMagdalena @Bart_Wielinski Po pierwsze nie ""dupiarz"" ""tylko koneser damskich wdzięków"" a po drugie Nawrocki może nie pamiętać, jeśli był naćpany, ale wszyscy się czepiają. Dystansu proszę do niewiadomych. Podobno u faceta można to sprawdzić matematycznie, więc liczymy dwójka dzieci to pięć trafień,",Sat May 24 23:57:14 +0000 2025,0,0,16
22,Zaspawany 🇵🇱🇪🇺,@elaine2_Marcin @JacekPiekara Jest tak tępy że widział jak Karol brał. Masz rację.,Sat May 24 23:57:13 +0000 2025,0,0,4
