No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Karol,@tomasz5690 @GiertychRoman To przekonaj mnie do zagłosowania na Trzaskowskiego? Serio mówię,Sun May 18 23:59:52 +0000 2025,0,0,8
2,Karol,"@Sebasti96744707 @GrzegorzBraun_ @AndrzejDuda Zrób. Mimo wszystko zrób, jak Ja",Sun May 18 23:59:35 +0000 2025,0,7,106
3,Miss Kate Middletone Inkoguto,@MarianFlorek1 Weszlam na gminę Szczecinek. Wyobraź sobie że z cząstkowych wyników na razie minimalnie wygrywa Nawrocki! Szok.,Sun May 18 23:59:34 +0000 2025,3,0,39
4,Król Poznania,@_obojetnosc Idź tam leczyć te borderline a nie się wypowiadasz na tematy na które nie masz pojęcia Julka,Sun May 18 23:59:20 +0000 2025,0,0,7
5,Karol POL 🇵🇱,@robertkurwicaPL @LukaszBok Pro rosyjskość to chyba ci z dupy wystaje a reszta? Where wady?,Sun May 18 23:59:07 +0000 2025,0,0,79
6,Stan Kowalski #,"@mariuszmalek @karol_karolix Klasyka. Razem zawsze szło razem z PIS.
 To komunistyczne partie.",Sun May 18 23:59:06 +0000 2025,0,1,183
7,Kamil 🇵🇱,"11205 na 32143 komisji zliczonych

🟦Karol Nawrocki👉 31.17%
🟧Rafał Trzaskowski👉29.23%
⬜️Sławomir Mentzen👉 15.42%
🟨Grzegorz Braun👉 6.74%
🟥Adrian Zandberg👉 4.80%
🟩Szymon Hołownia👉 4.79%
🟥Magdalena Biejat👉 4.09%

[Poland Elects]",Sun May 18 23:59:06 +0000 2025,0,6,226
8,𝔹𝕖𝕒𝕥𝕒,"@Leszczyna Tak głosowano w Rosji 🇷🇺 
🥇 Rafał Trzaskowski 36,13 %
🥈 Sławomir Mentzen  20,17 %
🥉 Karol Nawrocki  16,81 %
https://t.co/1yRLsAKbDr",Sun May 18 23:59:05 +0000 2025,0,0,11
9,Hidalgo,"@dominikdrzazga Wyniki z 25% komisji:
1. Nawrocki 31%
2. Trzaskowski 29,4%

Żadne łate poll nie mają znaczenia. Znaczenie ma teraz pozostałe 75% komisji.",Sun May 18 23:59:04 +0000 2025,0,0,316
10,🇵🇱POLityk,"Nawrocki 46%
Mentzen 19%
Braun 10%
Trzaskowski 10%
Hołownia 6%
inni 9%",Sun May 18 23:59:02 +0000 2025,0,11,516
11,𝒂𝒌𝒌𝒐 ♡‧₊˚✧･ᵍᵉⁿˢʰⁱⁿ ᵉʳᵃ,@CherryBloosom_0 Nawrocki lepszy?,Sun May 18 23:59:00 +0000 2025,1,0,48
12,Karol Durdewicz,@EdekDupa @dominikdrzazga Dziękuje.,Sun May 18 23:58:58 +0000 2025,1,1,80
13,Average PiS Enjoyer,@Politicalmeme3 Dopiero będzie wycie jak do tego Nawrocki wygra w 2 turze,Sun May 18 23:58:54 +0000 2025,1,15,309
14,Stan Kowalski #,@truthwillannoy @karol_karolix Jak jakikolwiek porządny człowiek może zagłosować na złodzieja? To się w pale nie mieści.,Sun May 18 23:58:38 +0000 2025,1,0,228
15,Dorota Szczepankiewicz,@karol_karolix dziękuję Panu . Wielki szacunek,Sun May 18 23:58:35 +0000 2025,0,1,21
16,Dariusz Błażejewski,"WYNIKI PKW Z 34,9% KOMISJI:

Nawrocki - 31,17% (+0.22)
Trzaskowski - 29,23% (-0.3)
Mentzen - 15,42% (=)
Braun - 6,74% (+0.05)
Zandberg - 4,8% (-0.03)
Hołownia - 4,79% (+0.05)
Biejat - 4,09% (-0,01)
inni 3,76% (+0.02)

*w porównaniu do 25,4% https://t.co/axH9ZtnIiu",Sun May 18 23:58:28 +0000 2025,1,6,2608
17,K. 🇵🇱,#WyboryPrezydenckie2025 #Nawrocki2025 Dane z ponad 1/3 komisji. Powiatowo widać dominację Nawrocki https://t.co/VqujmxV5r6,Sun May 18 23:58:27 +0000 2025,0,1,53
18,Jan,"@sq7oth @karol_karolix To nie jest jedyna opcja. Bardzo popularna u nich będzie albo nie pójście na II turę, albo głos nieważny.",Sun May 18 23:58:22 +0000 2025,0,0,73
19,Karol Darmoros 🇵🇱,@cpatryks najwyższy wynik w I turze? IMO nie,Sun May 18 23:58:21 +0000 2025,1,0,74
