No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Mirkowy,"Jestem więcej niż pewien, że Nawrocki jest nałogowym ćpunem. I to nie od nikotyny jest uzależniony.
ŻADEN snus nie wygląda w ten sposób. Snusy są zgrzewane na płasko, a nie skręcane jak blant.
1/3 https://t.co/5r58FeQzQj",Sun May 25 22:00:54 +0000 2025,407,12212,974094
2,Murzynek Bambo🇵🇱,"Brawo panie #Premierze 👏
Ma pan rację! 
W pełni się zgadzam ✌️ 
Dodałbym jeszcze zdrajców 
i kryminalistów.
Dlatego jak wygra Karol Nawrocki❤️ 
i zostanie prezydentem Polski 🇵🇱 
wtedy Suweren zmieni pana 
niemiecki, łajdacki rząd🚽
na uczciwy polski...! 🕊️😍

#debataRepubliki ❤️ https://t.co/rffyrq3Exa",Wed May 28 23:00:35 +0000 2025,0,2,22
3,Jacek Nizinkiewicz,"Jeżeli Karol Nawrocki mówił nieprawdę, że wziął gumę na debacie, a przyjął snus, zapewniał, że zapłaci za apartament, czego nie zrobił, kręcił ws. mieszkania p.Jerzego, a teraz nie pozywa w trybie wyborczym za sprowadzanie prostytutek,to trudno wierzyć kandydatowi PiS-w @tvp_info https://t.co/9SCsAV7Piw",Tue May 27 10:11:40 +0000 2025,107,1324,23768
4,tvn24,"Niegospodarnie, nierzetelnie, z naruszeniem przepisów prawa - tak w ocenie NIK publicznymi środkami gospodarował Karol Nawrocki jako prezes IPN.

Nieprawidłowości wykazano nawet przy przedstawieniu dla dzieci o słynnym niedźwiadku Wojtku.

@robertzielinski i @g_lakomski dotarli https://t.co/qBVTQnz8HJ",Tue May 27 04:45:08 +0000 2025,674,1124,286716
5,Młodzi Na Wybory 2025,"Panie Kurski, za marzenia nie karają😉
#MłodziNaWybory #Kurski #Nawrocki #NieDlaNawrockiego #PiS https://t.co/AL6qVK4umt",Wed May 28 22:49:06 +0000 2025,0,1,145
6,Brainless Partisans 🏴‍☠️☢️☣️🪆,"Le scandale Twitter avec le candidat à la présidentielle polonaise Karol Nawrocki continue

Une nouvelle vidéo a fait surface montrant Karol mettant une sorte de sac sous sa lèvre. Les citoyens mécontents sont convaincus que cette fois-ci, il ne s'agissait pas de snus et exigent https://t.co/5q1UAVx3At",Sun May 25 19:18:58 +0000 2025,28,434,41365
7,Młodzi Na Wybory 2025,Na wiecu Rafała Trzaskowskiego pojawił się niespodziewany gość… KAROL NAWROCKI! Zabrał głos i… odradził głosowanie na swoje imię i nazwisko w wyborach 😁#MłodziNaWybory #Trzaskowski #Nawrocki #wybory https://t.co/BKfYn8bYHc,Wed May 28 23:10:53 +0000 2025,0,16,208
8,𝕸𝖔𝖗𝖌𝖊𝖓𝖘𝖙𝖊𝖗𝖓,"""Dostarczał prostytutki, przyznał się do woreczków z nikotyną"" - zagraniczne media zwracają uwagę na skandale związane z Karolem Nawrockim #ByleNieNawrocki https://t.co/i05eZ54OLZ",Wed May 28 17:24:58 +0000 2025,16,756,9793
9,Karol,"Chelsea pierwszym klubem, który wygrał wszystko.  Dużo waży, dziękuję",Wed May 28 22:42:07 +0000 2025,0,0,19
10,Młodzi Na Wybory 2025,"Jeśli również nie popierasz PiSu to w najbliższą niedziele zagłosuj na Rafała Trzaskowskiego🫶🏻 
#MłodziNaWybory #Mentzen #Trzaskowski #Nawrocki #wybory https://t.co/3RHUtIHqW8",Wed May 28 22:58:45 +0000 2025,0,6,181
11,Młodzi Na Wybory 2025,"Sławomir Mentzen o kandydaturze Karola Nawrockiego 👇🏻
#MłodziNaWybory #wybory #Nawrocki #Mentzen https://t.co/Qz6CYvRwQx",Wed May 28 22:54:59 +0000 2025,0,16,785
12,Ryszard Kutz,"Nie chcę żeby Nawrocki został prezydentem i z automatu zyskał dostęp do wszelkich tajemnic państwowych, stanie się wtedy całkowicie bezkarny.

Nie chcę też żeby dzielił się tajnymi informacjami, kluczowymi dla bezpieczeństwa Polski z grupami przestępczymi.

#JuzLepiejTrzaskowski https://t.co/MPl2ruhsaH",Wed May 28 22:55:18 +0000 2025,14,432,8460
13,Maciej,"#Piachem w tryby jeżeli o mnie chodzi wątpliwości nie mam, tylko Karol Nawrocki. Może zostać prezydentem Polski.",Wed May 28 21:52:29 +0000 2025,2,0,35
14,Bicz Boży Obywatelski Jaro Camaro#SilniRazem,"Zaraz, zaraz, to Nawrocki przed wielomilionową widownią wpycha sobie coś do otworu gębowego, lub nosowego, szef jego kampanii twierdzi, że to substancja w Polsce prawem zabroniona i nic? Serio nic? To tak można?",Sat May 24 11:09:58 +0000 2025,27,1031,8168
15,Młodzi Na Wybory 2025,"Sławomir Mentzen również nie popiera Karola Nawrockiego - nie pozwólmy, aby taka osoba z paskudną przeszłością została Prezydentem😠 
#MłodziNaWybory #Mentzen #Nawrocki #wybory https://t.co/WmZ1DGuyEI",Wed May 28 23:10:05 +0000 2025,5,8,178
16,Obywatel WK :),"Po lewej nikotynowy snus, po prawej to co wciąga Nawrocki.
 - Czy kandydat na prezydenta Polski jest narkomanem?
#WyboryPrezydenckie2025 https://t.co/u84zOjA0il",Sun May 25 11:26:02 +0000 2025,33,602,11020
17,Jakub,"To nie jest pierwszy raz kiedy Nawrocki nie może wytrzymać bez przyjebania nikotyny w dziąsło. 

Jakie jeszcze nałogi ukrywa Pan Karol? 

 https://t.co/GCVQ6njtYy",Sat May 24 08:49:25 +0000 2025,245,5287,585011
18,Bicz Boży Obywatelski Jaro Camaro#SilniRazem,"Zwykłe pierdolenie, Nawrocki nie wkładał sobie niczego do ust, zasłonił się i wciągnął coś do nosa. Guma do żucia? Może, kurwa, mentos? Co ty tam, Nawrocki, wciągnąłeś? Koks na poprawę koncentracji?",Sat May 24 09:29:14 +0000 2025,21,343,5811
19,DorotaGth 🇵🇱 🇪🇺 #PiSExit,"Nawrocki zbadał sobie mocz i to jest clou jego kampanii. No brawo! Wytrwał!
Wyobrażacie sobie jak dał  sobie w dziąsło, nos, żyłę i gdzie tam jeszcze pakował dragi, po takiej abstynencji, skoro na wizji nie wytrzymał nawet 20 minut bez ćpania?
#KarolAlfons
#TylkoNieNawrocki https://t.co/EFinPzRxTH",Wed May 28 00:26:16 +0000 2025,12,247,16895
20,Ośrodek Monitorowania Zachowań Rasistowskich,"KAROL NAWROCKI JEST UZALEŻNIONY OD STYMULANTÓW - ZAŻYWAŁ TAKĄ SUBSTANCJĘ W TRAKCIE DEBATY❗ 

Karol Nawrocki jest naprawdę silnie uzależniony od substancji psychoaktywnych o charakterze stymulującym. 

Jeśli osoba uzależniona nie jest w stanie powstrzymać się przed zażyciem https://t.co/qPsqYVGH5X",Sat May 24 09:03:33 +0000 2025,509,2597,284885
21,Monika_TeoriaZła •®•,"Młodzi mówią na TikToka, że Nawrocki zażył nieznana substancję.
Dziennikarze mówią, że zażył nikotynę.

Młodzież mądrzejsza od dziennikarzy i nie wierzy w słowa zakłamanego sztabu Karola.",Wed May 28 04:13:02 +0000 2025,3,1661,13291
22,leszek poturała.,Zobacz filmik użytkownika Karol Nawrocki! #TikTok https://t.co/w2ixCcClKG,Wed May 28 23:58:31 +0000 2025,1,0,19
23,ppp,@NocnaZ Ja się się szanuje dlatego mój głos na Karol Nawrocki!,Wed May 28 23:40:33 +0000 2025,0,16,201
24,Jan Piński,"Ćpun Nawrocki. Dziwna scena na debacie. ""Wiewiórki"" mówią: amfetamina.  Sztab Nawrockiego: nikotyna. Wiadomo, że ""przyjmował"" na dziąsło. https://t.co/cXy2ekNssC przez @YouTube",Sat May 24 08:39:02 +0000 2025,22,572,12249
25,Małgorzata,"Król Karol wygłosił dziś rano przemówienie w kanadyjskim parlamencie, próbując uratować jak najwięcej z oszustwa Kabały.

Zwróć uwagę na insygnia nad jego głową...

1867 Konfederacja Kanady.

Turne kapitulacyjne wobec Trumpa w 2017 r. https://t.co/5yorV6kV6e",Wed May 28 22:57:21 +0000 2025,0,0,8
26,Krzysztof Michałek,"Karol Nawrocki w debacie? Kłamstwa, wpadki i… saszetka nikotynowa? 🤯 Nie znał daty wybuchu wojny w Ukrainie (to był 2014!), mylił dane o wizach, zadłużeniu szpitala i kolejkach do psychologa. Polska zasługuje na kogoś lepszego. 🇵🇱 #Trzaskowski2025 https://t.co/YRgH6n2QQo",Mon May 26 17:09:47 +0000 2025,8,297,4593
27,Mirella,"@K_Smiszek To, co zażywa Nawrocki tutaj👇, to jakiś specyfik w formie parachuting. To nie ma nic wspólnego ze snusami. Te mają proste, równie zakończenie. W takiej 👇 formie zażywa się inne specyfiki, które KN zażywa często, publicznie. Też ciekawam, co bierzem https://t.co/bcfxdfSZ49",Tue May 27 07:51:20 +0000 2025,9,311,5980
28,🛑aPiStazja 🇵🇱🇺🇦🏳️‍🌈🇪🇺,"Bombki
Sterydy
Panienki
Karol Nawrocki https://t.co/HWUhkxsx5Q",Wed May 28 22:54:24 +0000 2025,67,999,43444
29,Młodzi Na Wybory 2025,"Nawrocki próbuje grać czysto?
Pokazuje „wyniki badań”, ale numer zlecenia NIE DZIAŁA w systemie.
Fałszywka czy kompromitacja?
🧾 Kartka z drukarki to nie dowód uczciwości.
❗Chcesz być prezydentem? Zacznij od prawdy.
#Nawrocki #Trzaskowski2025 #Wybory2025 #MłodziNaWybory https://t.co/hG68c4uVoT",Wed May 28 22:40:58 +0000 2025,0,3,390
30,Jacek 🇵🇱🇪🇺🇺🇦✌,"😂🤣😂🤣😂...
Tobiaszek Bocheński, rzekł : ""Sprzedaż snusów jest nielegalna, ale posiadanie na własny użytek, tak""
Hmm... Czyli Karolek nie kupił (snus), ale wyprodukował w własnym laboratorium.
Rozumiem🤷‍♂️
Jprd... Ale to są przygłupy🤦 https://t.co/ivefE72Eeo",Sun May 25 17:54:19 +0000 2025,38,712,7294
31,Dominika Długosz,"Ja mimo przez pół roku ponawianych próśb nie miałam okazji rozmawiać z panem Nawrockim, ale jak widzę spotkania z dziennikarzami też są za długie i za nudne, żeby wytrzymać bez nikotyny. https://t.co/2lAEGhDhQv",Sat May 24 09:12:20 +0000 2025,289,2528,146571
