No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,rzemcio92,Karol Nawrocki prezentujący swój tatuaż podczas rozmowy z Krzysztofem Stanowskim w Kanale Zero: https://t.co/8PMHE8Ta9H,Wed May 21 12:20:30 +0000 2025,13,2206,126785
2,Rafał Pułka,Nawrocki jest spałony jak cały pis https://t.co/BB120wEtTm,Thu May 22 23:37:58 +0000 2025,2,0,154
3,Jakub,"Karol Nawrocki nie zaprzecza, że napierdalał się z kibolami w ustawce 70 na 70 w lesie. 

KANDYDAT NA PREZYDENTA POLSKI I ZWIERZCHNIKA SIŁ ZBROJNYCH KURWA JEGO MAĆ🤯🤯🤯 https://t.co/9QDerj5gBY",Thu May 22 12:38:43 +0000 2025,1039,6378,835885
4,Irek S,2⃣0⃣1⃣8⃣ wizyta #Nawrocki w Moskwie❗️ #TylkoNieNawrocki https://t.co/eve6UEAIN3,Thu May 22 22:38:08 +0000 2025,0,1,19
5,Bezdomny Dziennikarz,Patrząc dzisiaj na #Tusk że chłop twarde gry lubi a kontrast jego tj Kamysz Hołownia #Trzaskowski2025 to jednak idąc za przykladem kibola Lechii Gdańsk Donalda. Karol #Nawrocki2025 będzie twardym Prezydentem i graczem. Dzisiaj takiego Prezydenta potrzebujemy. https://t.co/AOWFpnbyW8,Thu May 22 22:58:25 +0000 2025,0,0,40
6,jachcy🇵🇱,"Ale taką politykę prowadzi rząd🔥

➡️Karol Nawrocki prowadzi prowschodnią politykę, ponieważ powiedział, że usiadłby do stołu z Putinem🤡

Kamila walczy dzielnie🙃😂 https://t.co/HOkY5zi3Pj",Wed May 21 10:53:04 +0000 2025,13,622,24260
7,Ivy Karsky 🖤,"Profesor Dudek..nie tylko nie wycofuje się ze słów w których mówił, że Nawrocki to niebezpieczny typ, ale mówi także, że spodziewa się kolejnych trupów które wypadną z szafy Karolka.. A ma co wypaść..
Kibicuję 🫶 https://t.co/aRVhvQ4tBk",Wed May 21 04:51:28 +0000 2025,57,2707,39952
8,Marek,Wybór jest prosty Polska silna i suwerenna Karol Nawrocki prezydentem 🇵🇱 https://t.co/MuksFR0UuI,Thu May 22 22:10:59 +0000 2025,1,20,132
9,Tomasz Janusz,"‼️ Nawrocki wyciągnął ""LGBT i wszystkie ideologie, które niszczą głowy i świadomość naszych dzieci."" 

Znając już częstotliwość przejęzyczeń Karola w przemówieniach, mam wrażenie, że chciał powiedzieć ""LGBT i inne ideologie"". Wydźwięk zasadniczo jest ten sam. https://t.co/xmLFg3ONJ1",Mon May 19 17:52:15 +0000 2025,49,323,135983
10,Marek Tatała,"""Karol Nawrocki zrobił rzecz całkowicie obrzydliwą. Przejął mieszkanie od starszej i schorowanej osoby, nie płacąc za nie. Do tego skłamał u notariusza, że zapłacił, zmusił też do kłamstwa sprzedającego mieszkanie"" - Sławomir Mentzen. 👏 https://t.co/9uGPELsIKo",Mon May 19 05:39:14 +0000 2025,33,703,10970
11,Michalina 🇵🇱 🇯🇵,#OhCarol i #NaWrotki 🛼🇵🇱 🛼🇵🇱🛼🇵🇱😉👍 https://t.co/og6kkyCBZ9,Sun May 18 07:45:40 +0000 2025,22,824,25634
12,Beata_Ka,"Karol Nawrocki to jest taki człowiek, którego omijało się w szkole... To jest człowiek nastawiony wyłącznie na awanturę - i sam o tym mówi. Gdyby wygrał, nie byłoby współdziałania z rządem, czyli nie byłoby wzmacniania Polski - Prezydent Rafał Trzaskowski. https://t.co/ndV2NLGiTP",Wed May 21 17:42:31 +0000 2025,282,854,20823
13,Jakub,"Karol Nawrocki wywodzi się z bardzo ciemnego środowiska, to suchy fakt.

Co jakby ktokolwiek z tego przestępczego świata miałaby chociażby 1 hak na potencjalnie przyszłego Prezydenta Polski? Coś, co mogłoby bezpośrednio w niego uderzyć?

Gangusy i neonaziole dostaliby realną https://t.co/shG051MlYz",Wed May 21 15:46:22 +0000 2025,141,3556,207908
14,Onet Wiadomości,Stare znajomości z trójmiejskiego półświatka ponownie dopadają Karola Nawrockiego ➡️ https://t.co/EGa6wSkO9n https://t.co/YggVPJviyY,Tue May 20 08:21:33 +0000 2025,117,245,24094
15,e-fejken,"Karol Nawrocki położył na kromkę chleba ser a potem szynke. 

Więcej w Onet🟡 https://t.co/vTzdvPHeqn",Thu May 22 08:12:04 +0000 2025,6,270,2805
16,Karol Tyniec,"Oto nadszedł dzisiejszy dzień.

Serie A uraczyła nas w tym roku najciekawszą walką o mistrzostwo i aż chciałoby się, żeby jej zwieńczeniem był bezpośredni mecz o tytuł.

#Inter #Napoli https://t.co/lOJckb9rH6",Thu May 22 22:59:06 +0000 2025,0,0,90
17,Andrzej Mitura #Mocnytakżeosobno,"Opiekunka pana Jerzego: Nawrocki chciał tylko przejąć mieszkanie, ja płaciłam rachunki !!!
Opiekowałem się starym, schorowanym człowiekiem - mówił Karol Nawrocki, odpowiadając na pytania o przejęte od pana Jerzego mieszkanie. - Krew mnie zalała, jak to usłyszałam - przyznaje Anna https://t.co/jrE2B4fph5",Tue May 20 04:12:35 +0000 2025,17,855,29355
18,Koroluk,"Nawrocki był w trakcie kampanii wyzywany od sutenerów, czyścicieli kamienic i pospolitych debili. Znosił to pokornie.

Wybuchł dopiero wtedy, gdy ktoś zakwestionował jego maxy na ławie.

Doskonale go rozumiem. https://t.co/ko7ntElvvV",Wed May 21 21:29:33 +0000 2025,155,11147,393468
19,Jakub,"No dobrze, podsumujmy co nam Karol Nawrocki ugotował u Mentzena bo to jest legendarna kopalnia: 

- przyznał, że Zielony Ład to wina PiS  

- przyznał, że PiS przyjął do Polski rekordowe 366 tysięcy migrantów tylko w latach 2018-2022  

- wyrzekł się Jarka, który wybrał go na https://t.co/ESWnqJ07ry",Thu May 22 17:35:41 +0000 2025,34,1148,27886
20,🌐 ᴛʜᴇᴘᴏʟᴀɴᴅɴᴇᴡs 🌐,"Karol Nawrocki przyznał, że posiada dostęp do broni palnej. Kandydat na prezydenta ujawnił, że uzyskał pozwolenie na broń do ochrony osobistej po tym, jak — jak twierdzi — zaczęła go ścigać Federacja Rosyjska i grożono mu śmiercią za likwidację sowieckich obiektów propagandowych. https://t.co/4kjeNPx5IH",Thu May 22 13:29:15 +0000 2025,181,4708,459515
21,🇵🇱Polka🇵🇱,"Im bardziej Niemcy z Tuskiem są zdenerwowani i mają pełne gacie, tym bardziej jestem pewna, nie tylko ja, iż najlepszym kandydatem na urząd Prezydenta Polski 2025 r. jest Pan dr Karol Nawrocki @NawrockiKn ✌️ @Nawrocki25 #Prezydent2025
 i tyle w temacie, #TylkoNieTrzaskowski ‼️ https://t.co/qJ7cmKYOf5",Thu May 22 23:29:43 +0000 2025,4,215,1452
22,Tomek Niszpor,"To nie Z ,to N jak Nawrocki ✌️ https://t.co/sI28fODbEn",Thu May 22 23:32:54 +0000 2025,0,0,13
23,Karol Karolix,"Pan @NawrockiKn ma taką inteligencję, charyzmę aparycję, postawę i tak pasuje do roli Prezydenta Polski, że nawet bez pomocy @pisorgpl wygrałby te wybory🇵🇱💪 https://t.co/P7vPrdCs5X",Tue May 20 21:27:31 +0000 2025,9,252,1892
