No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Rafał Trzaskowski,"Nie zawsze jest idealnie. Ale najważniejsze to mieć niezawodne wsparcie. Wtedy można się szybko otrzepać i iść dalej!

Trzaskobus. Gdzieś w Polsce. W środku nocy. W ogniu kampanijnej trasy. Z Gośką ❤️ https://t.co/DQcXOGVMuo",Wed Jun 04 20:30:32 +0000 2025,2993,23928,3369455
2,Rafał Trzaskowski,"Po miesiącach bardzo intensywnej kampanii toczonej w całej Polsce wracamy do działania na pełnych obrotach w Warszawie. Wspólnego działania. Bo od lat zmieniamy stolicę także dzięki dobrej współpracy między prezydentem miasta a radnymi.

Dziękuję, że dziś razem mogliśmy pokazać https://t.co/hJkzb7PBXO",Wed Jun 04 15:28:53 +0000 2025,670,5227,249481
3,Rafał Trzaskowski,"4 czerwca to dzień wyjątkowy. Nie tylko rocznica pierwszych częściowo wolnych wyborów w 1989 roku, ale też Święto Warszawy. A od dziś także dzień, który wyznacza całkowicie nowy etap w historii centrum stolicy. Po wielu latach oczekiwań w końcu jest - Plac Centralny. Jeden z https://t.co/MxtIFkMh3q",Wed Jun 04 14:00:24 +0000 2025,508,5899,254985
4,Rafał Trzaskowski,Dziękuję ❤️ https://t.co/yEDvLrsWjE,Sun Jun 01 20:45:19 +0000 2025,5421,29746,2692554
5,Rafał Trzaskowski,"Wtedy nam się nie śniło, że spotkamy się w życiu z tyloma uśmiechami, tyloma ciepłymi słowami otuchy, tyloma uściskami dłoni… 

Nie wiedzieliśmy, że odwiedzimy tyle wspaniałych miejsc, że będziemy razem z Wami dumni ze wszystkich Waszych osiągnięć, że  będziemy powiernikami https://t.co/TCRrpIeWzo",Fri May 30 21:01:44 +0000 2025,781,11483,418466
6,Rafał Trzaskowski,"Plac Centralny - nowe miejsce spotkań w sercu Warszawy ❤️

Byliście już? Jak oceniacie? https://t.co/R9fjN7hpzR",Thu Jun 05 07:17:53 +0000 2025,751,5630,388013
7,Rafał Trzaskowski,"Ten moment, kiedy przychodzi dobra wiadomość 🙂 https://t.co/blhsWhWC6F",Sun Jun 01 20:05:17 +0000 2025,3051,9460,1683323
8,Rafał Trzaskowski,"DZIĘKUJĘ za każdy głos. Walczyłem o to, żebyśmy wspólnie budowali Polskę silną, bezpieczną, uczciwą, empatyczną. Polskę nowoczesną, w której wszyscy będą mogli spełniać swoje cele i aspiracje. Dziękuję wszystkim, którzy na taką Polskę zagłosowali. 

Dziękuję za Waszą obecność na",Mon Jun 02 09:12:37 +0000 2025,7967,62838,2747241
9,Rafał Trzaskowski,"Kochani! Moc jest z nami. My to wiemy, Wy to wiecie. Pokażmy to w tę niedzielę.

1 czerwca wszyscy na wybory!

#Trzaskowski2025 #WygraCałaPolska #MocJestZNami https://t.co/fMgzTlF3pw",Fri May 30 21:55:45 +0000 2025,715,13989,423936
10,Rafał Trzaskowski,Niech to będzie naprawdę dobry Dzień Dziecka. Dla wszystkich 🙂 https://t.co/H9Muau9a55,Sun Jun 01 06:44:15 +0000 2025,1151,25918,1071138
11,Rafał Trzaskowski,"Ostróda - był ogień! I to dosłownie 😀

Spotkaliśmy się przy ognisku i mieliśmy chwilę, żeby zacząć podsumowywać te niezwykle intensywne miesiące kampanii. Działo się wiele. I działo się dzięki konkretnym ludziom.

Dzięki moim przyjaciołom samorządowcom, którzy siłą ponad 23 https://t.co/oww7rJof9u",Fri May 30 20:51:42 +0000 2025,184,2131,58471
12,Rafał Trzaskowski,"Kochani! My już zagłosowaliśmy, a Wy? 🇵🇱 

Lokale wyborcze otwarte są do 21.00! 🗳️ https://t.co/TkxrLllnfF",Sun Jun 01 10:41:06 +0000 2025,1531,23193,1432043
13,Rafał Trzaskowski,Na żywo: Otwieramy Plac Centralny https://t.co/kRr0dNWVlO,Wed Jun 04 10:00:08 +0000 2025,627,3648,224203
14,Rafał Trzaskowski,"Miesiące kampanii. Tysiące kilometrów, spotkań, rozmów. Dziękuję za każde z nich.

A dziś dotarliśmy na ostatni przystanek tej trasy - Ciechanów. Mimo późnej pory było Was bardzo, bardzo wiele. Dziękuję za to wsparcie na ostatniej prostej! ❤️

A teraz pełna mobilizacja. W https://t.co/SvECBWOkG9",Fri May 30 21:51:22 +0000 2025,424,6072,155719
15,Rafał Trzaskowski,Dziękuję za KAŻDY głos! A teraz czekamy na oficjalne wyniki ✌️ https://t.co/kbsrPeeDyC,Sun Jun 01 20:24:39 +0000 2025,1117,17531,1423175
16,Rafał Trzaskowski,"Bezpieczeństwo zaczyna się od każdej i każdego z nas. Dlatego w ramach programu #WarszawaChroni stawiamy także na edukację - tak jak dziś w Parku Świętokrzyskim, gdzie młodsi i starsi mogli skorzystać z bezpłatnych warsztatów pierwszej pomocy, ćwiczeń resuscytacji czy zobaczyć https://t.co/1727yGD4BZ",Sat Jun 07 15:00:58 +0000 2025,176,2171,68532
17,Rafał Trzaskowski,"Gdańsk daje nadzieję. Od lat. Dziś też dał nadzieję. Że zrobimy to razem. Na 100%. Że pójdziemy wszyscy w niedzielę do wyborów. Że zwyciężymy. Że wygra cała Polska!

#Trzaskowski2025 #WygraCałaPolska https://t.co/s8RGedLutw",Fri May 30 17:21:16 +0000 2025,435,3005,80236
18,Rafał Trzaskowski,"Parada Syrenki. Regaty nad Wisłą. Tak świętuje @warszawa ❤️

Dziękuję za Waszą obecność! https://t.co/SqZncW75pC",Sat Jun 07 17:32:59 +0000 2025,400,4752,158370
19,Rafał Trzaskowski,Wybory za nami. Wszystko przed nami. https://t.co/mBojBgRuQl,Fri Jun 06 13:15:06 +0000 2025,1514,10832,877198
20,Rafał Trzaskowski,Elbląg. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/HOirtF5Bsm,Fri May 30 17:21:12 +0000 2025,89,739,40093
21,Rafał Trzaskowski,"Stawką jest przyszłość. Wybierzmy ją razem. 

#Trzaskowski2025 #WygraCałaPolska https://t.co/BtfJLsReB8",Fri May 30 04:01:03 +0000 2025,485,3957,77940
22,Rafał Trzaskowski,"Na wielu spotkaniach frekwencja jest kapitalna. Ale w Zgierzu przeszliście samych siebie! Dziękuję! ❤️

To oczywiście ważne, że się spotkaliśmy. Ale ważny jest też dzisiejszy dzień - 29 maja to Dzień Weterana Misji Poza Granicami Państwa. Oddając szacunek ludziom, którzy w https://t.co/mDQWDGupTi",Thu May 29 20:55:30 +0000 2025,291,3829,64986
23,Rafał Trzaskowski,"Uprzedzając pytania: piesek bezpieczny, odnalazł swoich właścicieli. https://t.co/yJZ4VCzInb",Thu May 29 20:20:50 +0000 2025,409,5150,150168
24,Rafał Trzaskowski,Miłość. https://t.co/TNcLd8ad8M,Fri May 30 11:15:27 +0000 2025,841,8240,194771
25,Rafał Trzaskowski,Jedzmy razem Prince Polo 😉 https://t.co/63CoNOj9Kb,Fri May 30 16:53:10 +0000 2025,409,3689,128241
26,Rafał Trzaskowski,Pytanie od Gosi z Rybnika. https://t.co/a1wHHcvrQu,Fri May 30 13:58:19 +0000 2025,501,6139,347352
27,Rafał Trzaskowski,"Ostatnia prosta - do zobaczenia na trasie!

#Trzaskowski2025 #WygraCałaPolska https://t.co/ofVXrDuUpT",Fri May 30 07:31:56 +0000 2025,767,3941,179431
28,Rafał Trzaskowski,"Pabianice. Jeszcze jedna bezcenna okazja do rozmowy z Wami.

Prawdziwe pytania. O sprawy naprawdę ważne. O kryzys zdrowia psychicznego, o prawa kobiet, o edukację, o bezpieczeństwie.

Ale to, co najbardziej wybrzmiewa z Waszych pytań najczęściej, to zmęczenie pogłębiającymi się https://t.co/deuget4LYx",Thu May 29 18:12:40 +0000 2025,249,2190,42299
29,Rafał Trzaskowski,100% energii. 100% mobilizacji. Idziemy po zwycięstwo! https://t.co/y5XfW2h1ki,Fri May 30 12:32:35 +0000 2025,503,3247,61097
30,Rafał Trzaskowski,"1 czerwca będziemy wybierać przyszłość. O wszystkim może zdecydować frekwencja. Dlatego potrzebna jest pełna mobilizacja. Zróbmy to na 100%!

Chojnice - dziękuję za kolejne bezcenne rozmowy.

A Trzaskobus rusza dalej w trasę - o 17 widzimy się w Gdańsku!

#Trzaskowski2025 https://t.co/aQczGfsfbX",Fri May 30 14:41:41 +0000 2025,359,2624,58518
31,Rafał Trzaskowski,"Pytasz, co jeszcze możesz zrobić? To proste. Przekonaj 3 osoby do głosowania i podaj to dalej! https://t.co/jF6ab5AZ2x",Thu May 29 16:51:31 +0000 2025,1482,8725,831162
32,Rafał Trzaskowski,O czym są te wybory? Posłuchajcie Weroniki! https://t.co/IKytGDG1ZQ,Fri May 30 10:02:41 +0000 2025,646,4878,258642
33,Rafał Trzaskowski,Zgierz. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/u9RXa3eecB,Thu May 29 18:14:53 +0000 2025,192,1063,39952
34,Rafał Trzaskowski,Włocławek. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/6d9MdTZank,Fri May 30 07:47:32 +0000 2025,207,1088,36274
35,Rafał Trzaskowski,Chojnice. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/ekc9sKLryI,Fri May 30 11:22:29 +0000 2025,144,909,42052
36,Rafał Trzaskowski,"Niech wygra przyszłość. Niech wygra uczciwość. Niech wygra cała Polska!

To już naprawdę ostatnie godziny kampanii. Rozmawiajcie, dzwońcie do rodziny, znajomych, sąsiadów. Namawiajcie, przekonujcie. Pełna mobilizacja!

Włocławek - dziękuję za niesamowitą frekwencję i kapitalną https://t.co/9RpGZlyYtY",Fri May 30 09:34:14 +0000 2025,652,5397,136391
37,Rafał Trzaskowski,Gdańsk. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/7R4ekVV3hp,Fri May 30 15:34:44 +0000 2025,208,1283,54141
38,Rafał Trzaskowski,"Wszystkie sondaże wskazują, że w niedzielę będzie bardzo blisko. Wszystkie wskazują, że jest w zasadzie 50 na 50. Dlatego potrzebna jest pełna mobilizacja. 100% mobilizacji. Takiej, jaką dziś widziałem w Elblągu ❤️ Dziękuję Wam za kapitalną frekwencję i niesamowitą energię!

To https://t.co/5BunRv8EI7",Fri May 30 19:13:06 +0000 2025,643,7164,167733
39,Rafał Trzaskowski,Ciechanów. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/9EWYbj4oXg,Fri May 30 21:13:18 +0000 2025,185,1076,58064
40,Rafał Trzaskowski,Wieczór wyborczy. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/SGvFG8Q3bF,Sun Jun 01 19:00:17 +0000 2025,417,2950,474536
41,Rafał Trzaskowski,Żeby przekonać trzeba próbować! https://t.co/0Kjv60nLo1,Wed May 28 15:03:29 +0000 2025,1502,5193,424732
42,Rafał Trzaskowski,"Ostatni dzień, żeby zarejestrować się do wyborów za granicą! 

Macie czas do północy czasu lokalnego.

Szczegóły na stronie MSZ 👉 https://t.co/ZWosxjEmHX https://t.co/j3McKcSOkL",Tue May 27 14:32:18 +0000 2025,736,4155,130407
43,Rafał Trzaskowski,Umówiliśmy się na coś z osobami niepełnosprawnymi i ich opiekunami. Czas najwyższy na ustawę o asystencji osobistej! https://t.co/4qkr8cjuh9,Thu May 29 05:30:30 +0000 2025,688,3162,152281
44,Rafał Trzaskowski,"Najwyższy czas, żeby iść do przodu! https://t.co/7S6oF5re3K",Wed May 28 09:19:33 +0000 2025,479,3300,91366
45,Rafał Trzaskowski,"Najważniejsza rozmowa to rozmowa z Wami - bezpośrednia. W Kaliszu przez ponad 2 godziny zadawaliście pytania na przeróżne tematy. Młodsi i starsi, Panie i Panowie. Ludzie o przeróżnych poglądach. Był nawet... Karol Nawrocki. Który zalecał nie głosować na Karola Nawrockiego. I https://t.co/QCB1HSYRJ3",Wed May 28 21:03:44 +0000 2025,559,5758,135451
46,Rafał Trzaskowski,Wiem co robię. Tak jak 30 lat temu. https://t.co/dqMekeSLL4,Tue May 27 20:33:05 +0000 2025,557,3284,142149
47,Rafał Trzaskowski,"Zgiełk. Krzyk. Kłótnie. To niestety codzienność ostatnich tygodni, a nawet miesięcy kampanijnych.

Wiem, że jesteście tym zmęczeni. Dlatego obiecuję Wam spokój, rozmowę, szukanie tego, co wspólne.

Wspólnota, a nie konflikt. Spokój, a nie chaos. To jest warunek dalszego rozwoju https://t.co/JRaAOzz7oF",Thu May 29 12:47:40 +0000 2025,769,4511,105371
48,Rafał Trzaskowski,"Rybnik, rodzinne miasto mojej żony, 30 lat temu. Rozmowa z bratem Gośki: 
•⁠  ⁠Czy to jest na serio?
•⁠  ⁠Tak.
•⁠  ⁠Czy wiesz co robisz? 
•⁠  ⁠Wiem.

Nie miałem żadnych wątpliwości.

Dziś w Rybniku, na rynku, też nie miałem wątpliwości. I mówię Wam wszystkim, na https://t.co/pRw5NvCPde",Tue May 27 18:40:03 +0000 2025,595,6039,166356
49,Rafał Trzaskowski,"Ostatni dzień, żeby zdobyć zaświadczenie! Z nim zagłosujecie w każdej komisji wyborczej w kraju i za granicą! https://t.co/AhHbCaFahI",Thu May 29 08:56:53 +0000 2025,732,5437,136524
50,Rafał Trzaskowski,"Za nami miesiące kampanii. Kampanii, w której codziennie pracowałem, żeby przekonać Was do mojej wizji Polski.

Wizji Polski, która jest wspólnotą. W której wszyscy możemy realizować swoje marzenia i aspiracje.

To już naprawdę ostatnia prosta. Zostały 3 dni kampanii. 3 dni, żeby https://t.co/v8k4I330vU",Wed May 28 16:44:15 +0000 2025,675,3841,159084
51,Rafał Trzaskowski,"Buczek, łódzkie. Gospodarstwo Państwa Węglewskich. I polskie truskawki. Najlepsze na świecie ❤️

Ten smak wszyscy znamy od dzieciństwa. Także dla takich najwyższej jakości owoców musimy dbać o polską wieś i interesy naszych rolników. https://t.co/Y80tNxWE4Z",Thu May 29 14:14:27 +0000 2025,542,2843,83669
52,Rafał Trzaskowski,To jest nasz czas. Nigdy nie byliśmy tak silni. Idźmy i zwyciężajmy! https://t.co/x76SD7plyH,Tue May 27 08:10:19 +0000 2025,903,7589,138282
53,Rafał Trzaskowski,"Wtorek, środek dnia, a w Chrzanowie na spotkaniu tłumy! W takich miejscach bije serce Polski 🤍❤️  

Dziękuję Wam za tę energię. Za poparcie w I turze. I proszę o pełną mobilizację 1 czerwca. Razem wygramy te wybory!

#WygraCałaPolska #Trzaskowski2025 https://t.co/2rK3pXPpdz",Tue May 27 14:47:31 +0000 2025,228,2653,51642
54,Rafał Trzaskowski,Kluczbork. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/Hd6B1ZdLxK,Wed May 28 09:58:55 +0000 2025,195,974,39084
55,Rafał Trzaskowski,Zduńska Wola. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/ohoNO7TXwA,Thu May 29 10:03:49 +0000 2025,196,1042,31934
56,Rafał Trzaskowski,Pabianice. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/Iz6e9AAVG8,Thu May 29 14:58:34 +0000 2025,208,1032,37019
57,Rafał Trzaskowski,Rybnik. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/MbLjilF3q9,Tue May 27 14:58:43 +0000 2025,207,891,50470
58,Rafał Trzaskowski,Kępno. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/FkkcS5Bwf2,Wed May 28 13:59:59 +0000 2025,166,918,32022
59,Rafał Trzaskowski,Kalisz. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/cHHkS9ROOT,Wed May 28 17:30:46 +0000 2025,536,1885,189295
60,Rafał Trzaskowski,Chrzanów. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/KS0HWCU3G2,Tue May 27 09:59:02 +0000 2025,326,1296,46321
61,Rafał Trzaskowski,"#WielkiMarszPatriotów - zaraz zaczynamy! Bądźcie z nami!

#Trzaskowski2025 #WygraCałaPolska https://t.co/FXRthwrVhB",Sun May 25 10:04:04 +0000 2025,559,5414,137515
62,Rafał Trzaskowski,Do wyborców @slawomirmentzen: https://t.co/7jVODaSrLB,Sat May 24 20:50:59 +0000 2025,492,6801,259362
63,Rafał Trzaskowski,Jedziemy dalej! https://t.co/vrzZLtyHHl,Fri May 23 22:06:45 +0000 2025,777,6460,210735
64,Rafał Trzaskowski,"Posłuchajcie. To ważne.

Spotkajmy się w niedzielę w samo południe. 

#WielkiMarszPatriotów https://t.co/rPVa31DMJr",Sat May 24 07:21:16 +0000 2025,620,5322,161515
65,Rafał Trzaskowski,"Wy pytacie, ja odpowiadam. Odcinek... kolejny. Jedziemy!

#Trzaskowski2025 https://t.co/QcxS8WSvBd",Sat May 24 12:09:55 +0000 2025,470,3239,128352
66,Rafał Trzaskowski,🤍❤️ https://t.co/f6a3IwVKb5,Sun May 25 20:20:40 +0000 2025,331,6639,141944
