No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Pawcio 1968,"#DebataPrezydencka  #DebatawKonskich #debata 
Pytanie 1000 pkt  co by się stało gdyby @szymon_holownia nie namówił reszty że idziemy do rządowych mediów ?! Gdyby każdy olał zaproszenie 100 min przed debata ( w trakcie debaty w prywatnych stacjach) ?",Sat Apr 12 22:41:49 +0000 2025,1,0,50
2,Julian Jackowski,"No, Rafał @trzaskowski_ to pojechałeś.
#DebataTrzaskowskiego 
#debata 
#aledebil 
#WyboryPrezydenckie2025 
https://t.co/0gtAeyIYP2",Sat Apr 12 22:30:09 +0000 2025,0,1,22
3,Jakub Bednarz,"Nikt o tym nie wspomina zbytnio, ale Republika jest też największym wygranym. 

Każdy myślał, że to tuba PiSowskiej propagandy a wypadku lepeij od TVP, co sporo mówi o samej TVP. 

#debata",Sat Apr 12 22:27:02 +0000 2025,0,0,55
4,Krys,"@tvp_info @trzaskowski_ Herr @donaldtusk i Herr #Trzaskowski2025, czy widzieliście, wy niemieckie gnidy ilu ludzi było na marszu patriotycznym? Nie wsadzicie aż tylu Polaków do obozów koncentracyjnych. A może wasza ministra Nowacka mówiła o was? @RepublikaTV @PolsatNewsPL @pis",Sat Apr 12 22:07:12 +0000 2025,0,2,11
5,basia cha,"@MagdaBiejat Pani Magdo miałam o Pani inne zdanie, niestety debata pokazała kim Pani jest naprawdę. Wbiła Pani nóż w plecy na których dostała się Pani tam gdzie jest teraz. Przykro patrzeć jak ten nóż wbija Ci ktoś o kim myślałeś ""PRZYJACIEL""
Oceniła to Pani Senyszyn.👇👇👇
#Trzaskowski2025 https://t.co/QrvmmltoW4",Sat Apr 12 22:04:36 +0000 2025,0,2,43
6,Arkadiusz Pilarz,"@trzaskowski_ wygrał w Końskich. Wygra też 18 maja. Spokój, wiedza i doświadczenie – tego oczekujemy od Prezydenta. Nawrocki? Brak kompetencji i chojraczenie rodem z placu zabaw. 
#Trzaskowski2025 #DebataKońskie #CałaPolskaNaprzód https://t.co/1vCSxpkwHu",Sat Apr 12 22:03:37 +0000 2025,0,0,19
7,Prawe Skrzydło,"Podumowując kwestię #debata to sprawa jest prosta #DebataRepubliki organizowana przez @RepublikaTV @wPolscepl i @TV_Trwam miażdży w odbiorze #DebataTrzaskowskiego w TVN (w sprzedaży) tvp (w likwidacji) i Polsat (niejasna sukcesja)
Żywa debata z publicznością vs. Puste krzesła w https://t.co/wOdXduEN3E",Sat Apr 12 21:42:53 +0000 2025,1,26,994
8,Edyta Remacle,"@BeataSzydlo To wy tak twierdzicie. Dla mnie jak i wielu moich znajomych tę debatę wygrał Prezydent R. TRZASKOWSKI.

Debata była tylko jedna. To co nazywacie ""pierwszą"" to ustawka, by ponownie zmanipulować wyborców. 

#Trzaskowski2025
#TrzaskamyPierwsząTurę
#TrzaskowskiTeam",Sat Apr 12 21:33:38 +0000 2025,0,0,16
9,All We Need Is Love,Poziom tej debaty ewidentnie obrazuje poziom polityki w Polsce. Coś strasznego!! #debata,Sat Apr 12 21:33:34 +0000 2025,0,0,43
10,Goorsky,"Kategoria ""Gospodarka i rozwój"" 😎
#goorsky #humor #debata #prezydent #wybory https://t.co/4wQBrDMwWz",Sat Apr 12 21:25:52 +0000 2025,0,117,2464
11,Barbaria___#InTuskWeTrust,"#Debata
2)
To było nierozsądne i niepotrzebne, a wynikało zapewne z wątpliwych kalkulacji sztabu. Jej wypowiedzi tylko sprawiły postrzeganie jej i Lewicy jako nieodpowiedzialnego i nielojalnego koalicjanta, ale i  przysłoniły jej wiedzę i pozytywny program...

Koniec wątku 🧵",Sat Apr 12 21:02:16 +0000 2025,1,31,234
12,Barbaria___#InTuskWeTrust,"#Debata
Wątek 🧵
1)
Biejat nic nie uzyskała tylko pogrążyła lewicę. Piastuje urząd senatora tylko i wyłącznie dzięki paktowi koalicyjnemu,  teraz gryzie rękę, która dała jej jeść. 
Szkoda, że przyjęła błędną opcję atakowania Tuska i Trzaskowskiego.
⤵️",Sat Apr 12 20:59:36 +0000 2025,3,86,557
13,Kan (TECHNOSenior) 🇵🇱,"@BZdrojewski @Mat_z_Katowic @trzaskowski_ Czyli #Trzaskowski2025 mógł za pomocą przychylnej sobie TVP, bez porozumienia z koalicjantami robić sobie imprezę. A jak okazało się, że tak to nie działa i demokracja wymaga, by wszyscy mieli te same szanse, to teraz nagle oni winni, bo ja przegrany. Ciekawa logika",Sat Apr 12 20:52:19 +0000 2025,0,1,30
14,Mateusz Wołodźko 🇵🇱,"Niesłychane jest to, że idziesz do wyborów dla beki, a w trakcie kampanii wyborczej okazuje się, że wcale nie jesteś najbardziej niepoważnym kandydatem na prezydenta. #debata #stanowski",Sat Apr 12 20:43:56 +0000 2025,0,1,57
15,Joanna,@grok kto wygrał wczorajszą #debata i dlaczego Joanna Senyszyn?,Sat Apr 12 20:39:09 +0000 2025,1,1,77
16,Bogdan Kowalski,👉 Badania na zawartość niekorzystnych substancji we krwi u kandydatów na Prezydenta RP powinny być obowiązkowe.  Szczególnie przed drugą turą #debata,Sat Apr 12 20:38:21 +0000 2025,0,3,90
17,ernest,"@donaldtusk hahahaha😂
tak, tak, Donald masz rację.
Jutro jadę do Warszawy, żeby przejechać się nową telekomunikacją miejską! 🚍

#debata",Sat Apr 12 20:33:15 +0000 2025,0,0,8
18,ZaspaPL,"Jelenia Góra, Trzaskowski, propaganda vs. rzeczywistości 

#Trzaskowski2025 #debata https://t.co/5H064bL053",Sat Apr 12 20:25:59 +0000 2025,0,0,54
19,Arczi92 🇵🇱✌️💯,"@Dariusz_Jonski Acha.

Tymczasem Rafał po #debata  ⬇️ https://t.co/GPfkUCU8tm",Sat Apr 12 20:25:37 +0000 2025,0,8,67
20,Ka_Wa83,"Nic dodać, nic ująć. #debata  #Mentzen2025🔥 @SlawomirMentzen @KONFEDERACJA_ @trzaskowski_ #WyboryPrezydenckie2025 
#Trzaskowski2025",Sat Apr 12 20:21:17 +0000 2025,0,0,55
21,Paweł 🇵🇱,"@szymon_holownia Karol Nawrocki i jego sztab nie byli organizatorami debat w Końskich.
P. Nawrocki musiał się stawić bo tego wymagała sytuacja w kampanii.
Proszę nie mówić o końcu duopolu czy o walce z nim kiedy podtrzymuje pan rząd PO-KO jako ich koalicjant i to od 1,5 roku!
#debata  #Wybory",Sat Apr 12 20:21:08 +0000 2025,1,63,376
22,Maria Pietras,"@IIAnnaMagdalena A ja nie zgadzam się z tym wpisem. To miała być rozmowa lub jak kto woli debata #Trzaskowski2025  z Panem Nawrockim. Sztab tak ją przygotował i na dwie osoby a nie na czterokrotnie więcej. Niestety Hołownia, któremu nie wyszła podobna debata z Menzenem nie mógł powściągnąć",Sat Apr 12 20:20:54 +0000 2025,0,0,19
23,Ktoś,Biją się w @RadomCity @Strifemma emocje jak na #debata https://t.co/5yjlJIsmih,Sat Apr 12 20:17:59 +0000 2025,0,1,57
24,🇺🇦 Sasza Anders 🇵🇸,"tier lista wystąpień na debacie, no jaja jak skurwysyn, naprawdę

#debata https://t.co/oKj0HNyDBU",Sat Apr 12 20:05:00 +0000 2025,0,1,113
25,Ghost,"gdyby ktoś się zastanawiał co dzieje się z trzaskiem...
#Wybory #Debata #Polska
@pisorgpl @RepublikaTV https://t.co/X8ueMAd3vO",Sat Apr 12 20:04:31 +0000 2025,0,6,80
26,Kan (TECHNOSenior) 🇵🇱,"@tvp_info @Gasiuk_Pihowicz @AlexPawlicka @MagdaBiejat @szymon_holownia @trzaskowski_ Czyli, dla elity z warszafki klasa wyborców kończy się na granicy Warszawy reszta to planktonem. Panie, #Trzaskowski2025 powinien wam podziękować, jak przegra wybory. Nie zachęcacie wyborców #Biejat2025 i #Hołownia2025 by poszli w drugiej turze.",Sat Apr 12 20:04:06 +0000 2025,0,24,353
27,bluu,@orbBartek królowa #debata jest tylko jedna https://t.co/APrncua6WC,Sat Apr 12 20:03:21 +0000 2025,0,5,88
28,Leszek Grabowski,"Wczorajsza #debata jednym pomogła, drugim zaszkodziła. 😉

https://t.co/IvrNgRlr4Z

#Trzaskowski2025 #Nawrocki2025 #Mentzen2025 #Hołownia2025 #Jakubiak2025 #Braun2025 #Biejat2025 #Zandberg2025 #Senyszyn2025 #Maciak2025 #Bartoszewicz2025 #Woch2025 #Stanowski2025 #LeszekGrabowski",Sat Apr 12 20:00:07 +0000 2025,0,0,263
29,Prince of Weld,"@adam_abramczyk Wziąć obie strony, proPiS i proKO. Stano widac, że jest prawicowy, więc z automatu jego wypowiedzi trafiają do ogółu prawicy. Po drugiej stronie jest Hołownia. Różnią się przede wszystkim tym, że ten pierwszy jest prawdziwy, a drugi fałszywy. #Stanowski2025 #debata",Sat Apr 12 19:52:29 +0000 2025,0,0,61
30,"Edyta ""Zetka"" Zatorska 🇵🇱","Myślę, że ▶️przeciętny anty-pisowiec ◀️sądzi, iż Bolesław Chrobry to także kandydat na prezydenta😄 #debata #MarszTysiącleciaKrólestwaPolskiego",Sat Apr 12 19:51:54 +0000 2025,0,0,85
31,Barbaria___#InTuskWeTrust,"Zamiast narzekać na duopol i atakować sojusznika weźcie się do roboty i stwórzcie programy, które porwą ludzi. Przypomnę też - Lewica już rządziła ☝️ 
Najłatwiej winić za swoją indolencję największą aktualnie partię demokratyczną!
#Debata
#RafałTheWinner",Sat Apr 12 19:51:16 +0000 2025,1,83,728
32,Mr Edward Brzeziński-Precz z tuskimi kacapami! 🐺,"Wierzę, że Opatrzność czuwa.
Wczorajszej #debata którą wygrał Pan dr Karol Nawrocki @NawrockiKn patronował Król Bolesław Chrobry w swoje #1000latKrólestwaPolskiego 🇵🇱🇵🇱🇵🇱
Tak pokierował debatą, jak zwycięstwami, którymi zbudował potężną Polskę, wspomógł Pana Karola, przeganiając https://t.co/nbX3dUDnZD",Sat Apr 12 19:44:40 +0000 2025,1,57,481
33,MaatiGaming126,"ciezko zyc w kraju w ktorym zadna partia nie odpowiada moim poglądom gdzie jestem dyktatorem  

#debata",Sat Apr 12 19:29:45 +0000 2025,0,0,49
34,Renata Dąbrowska,@RepublikaTV @Suwerenna_POL #debata# W jaki sposób kandydat na prezydenta zablokuje wprowadzenie paktu migracyjnego?,Sat Apr 12 19:28:26 +0000 2025,0,0,26
35,Kasia Pietrzyk,Do Kandydata Chołowni czy pan jako prezydent będzie się tak zachowywał jak TRZECIA DOGA  czyli nic się nie zmieni premier będzie sterował a pan będzie na jego uslugach bo defskto nic się nie zmieniło  znowu oszukacie #debata republika,Sat Apr 12 19:25:07 +0000 2025,0,0,59
36,𝓙𝓪𝓻𝓮𝓴,"Konwencja Wyborcza —
𝗚𝗿𝘇𝗲𝗴𝗼𝗿𝘇 𝗕𝗿𝗮𝘂𝗻 

𝑮𝒐𝒅𝒏𝒆 𝒖𝒘𝒂𝒈𝒊.
https://t.co/lB2rBbaaTD

#Wybory2025 #debata #WyboryPrezydenckie2025
#Braun2025
@FaktyTVN @wPolscepl @tvp_info @RepublikTV @tvn24 @PolsatNewsPL",Sat Apr 12 19:23:52 +0000 2025,1,0,402
37,Świadomy Obserwator,"PODSUMOWANIE KOŃSKIEJ NOCY KABARETOWEJ,
czyli mój komentarz do tzw. debat
#debata #DebataPrezydencka #DebataTrzaskowskiego #DebataKońskie #DebataRepubliki https://t.co/ky5PBgRY0b",Sat Apr 12 19:22:32 +0000 2025,6,25,3650
38,Stalowy Jeż 🇵🇱 #Nawrocki2025 też,"Zaraz po #debata, #Tchórzkowski przejechał się tą słynną Telekomunikacją Miejską.
Zdjęcie od Nitrasa. https://t.co/tD7TdahDzi",Sat Apr 12 19:20:20 +0000 2025,0,1,94
