No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,andrzej wolski,"@trzaskowski_ @ReLucyna Wiedza, nawet w niewielkim zakresie, może kazać się bezcenna. Np przy reorganizacji systemu zarządzania armią #Trzaskowski2025 #SnaW #TrzaskamyPierwsząTurę",Sun Apr 06 22:59:55 +0000 2025,0,1,48
2,Grace #TrzaskowskiPrezydentemPolski,@trzaskowski_ Brawo dla Wszystkich.#Trzaskowski2025,Sun Apr 06 22:53:28 +0000 2025,1,2,111
3,Grace #TrzaskowskiPrezydentemPolski,@radeksujak @trzaskowski_ Brawo #Trzaskowski2025,Sun Apr 06 22:52:34 +0000 2025,0,1,10
4,Grace #TrzaskowskiPrezydentemPolski,@kostus_tomasz @trzaskowski_ Wielkie brawa #TrzaskowskiTeam #Trzaskowski2025,Sun Apr 06 22:47:43 +0000 2025,3,1,45
5,Niezły Wałek,"@K_Stanowski TRZASKAM 💩 DO SCHRONU RAFALALI 😂

#TrzaskamyPierwsząTurę 
#Trzaskowski2025 
#TrzaskowskiTeam 
#trzaskowski https://t.co/pmOrQ1Qqdn",Sun Apr 06 22:31:54 +0000 2025,0,0,17
6,Danusia,@kafurixnew @trzaskowski_ Głosujemy #Trzaskowski2025                       #TrzaskamyPierwsząTurę #TrzaskowskiTeam,Sun Apr 06 22:30:17 +0000 2025,0,4,70
7,Maria Weronika,"@spacerolog_AA @AblaxAnna @jo__ma__ @Desia___ @olszewski_75 @jasiu320 @jan_ola_68 Wyjątkowo piękny bohater pierwszego planu.
Wyjątkowym tez jest nasz kandydat na prezydenta, Rafał Trzaskowski!#Trzaskowski2025",Sun Apr 06 22:28:29 +0000 2025,1,4,50
8,andrzej wolski,"@kafurixnew @VikingCommon @trzaskowski_ Chwila odpoczynku przed marszem w górę, a tam już tylko pod górke -  przywracanie praworządności, organizacja kompetencji zarządzaniu wojskiem, polityka zagraniczna, budowa centrum reformy instytucji Państwa. #Trzaskowski2025 #TrzaskamyPierwsząTurę #SnaW #TrzaskowskiTeam",Sun Apr 06 22:27:17 +0000 2025,0,4,36
9,Basia Bielska⚡🇵🇱🇪🇺🇬🇧,@MBPradawny @aga_ta45962 Tylko tak dalej. Liczy się tylko Rafał #PierwszaTuraDlaBążura 💙#Trzaskowski2025 #Trzaskowski2025 #Trzaskowski2025,Sun Apr 06 22:15:04 +0000 2025,0,0,17
10,Maria Weronika,@basia_kostecka @Betag2Ma @Trzaskowski2O25 @trzaskowski_ piękna Ona! piękny On! Musi wygrać! #Trzaskowski2025 https://t.co/wHwmzkly1p,Sun Apr 06 21:47:46 +0000 2025,0,2,7
11,Basia Bielska⚡🇵🇱🇪🇺🇬🇧,"@MoniazKrakowa Będziemy trzaskać, bo liczy się tylko Rafał #PierwszaTuraDlaBążura 💙#Trzaskowski2025 #Trzaskowski2025 #Trzaskowski2025",Sun Apr 06 21:42:13 +0000 2025,0,2,18
12,Dominik Ras,"Trenuj z wojskiem, tylko nie osobiście. 

💬 Niewidzialny @trzaskowski_ 👇 #Trzaskowski2025",Sun Apr 06 21:40:16 +0000 2025,0,0,37
13,Dominik Ras,"Taki wymiar sprawiedliwości i godności dziecka serwuje pan @Trzaskowski2O25
oraz pan @Adbodnar. Kontynuację takiego prawa zagwarantuje Wam głosowanie na rafała 18 maja 2025.

💬 Prawy  @trzaskowski_ 👇 #Trzaskowski2025",Sun Apr 06 21:15:10 +0000 2025,0,0,18
14,Marcin Mielczarek 🇵🇱🇪🇺🇺🇦✌️,@trzaskowski_ Cała Polska Naprzód #trzaskowski2025,Sun Apr 06 21:14:18 +0000 2025,1,3,79
15,Lucjan Pietrzczyk,@Trzaskowski2O25 @trzaskowski_ Silna Polska w silnej Unii!!! #Trzaskowski2025 #TrzaskowskiTeam #TrzaskamyPierwsząTurę,Sun Apr 06 21:13:17 +0000 2025,0,0,19
16,Paoro Denison,"Dlatego działamy, pełna mobilizacja i przekonujemy wątpiących tylko #Trzaskowski2025 @trzaskowski_ gwarancją stabilności i naszego bezpieczeństwa",Sun Apr 06 21:13:16 +0000 2025,0,0,5
17,Adrian Jasiński Ryży 🇪🇺🏳️‍🌈🏳️‍⚧️🇺🇦🇵🇱,"Wczoraj nasz przyszły prezydent RP Rafał @trzaskowski_ pokazując jak bardzo troszczy się o nasze bezpieczeństwo wczoraj przez 8 godzin uczestniczył w akcji ""Trenuj z wojskiem"" dzięki czemu nabrał wiedzy od instruktorów wojskowych jak być gotowym na zagrożenia! 💙
#Trzaskowski2025",Sun Apr 06 21:12:51 +0000 2025,0,39,231
18,Adrian Jasiński Ryży 🇪🇺🏳️‍🌈🏳️‍⚧️🇺🇦🇵🇱,"Wczoraj nasz przyszły prezydent RP Rafał @trzaskowski_ pokazując jak bardzo troszczy się o nasze bezpieczeństwo wczoraj przez 8 godzin uczestniczył w akcji ""Trenuj z wojskiem"" dzięki czemu nabrał wiedzy od instruktorów wojskowych jak być gotowym na zagrożenia! 💙
#Trzaskowski2025",Sun Apr 06 21:12:43 +0000 2025,0,7,56
19,Adrian Jasiński Ryży 🇪🇺🏳️‍🌈🏳️‍⚧️🇺🇦🇵🇱,"Wczoraj nasz przyszły prezydent RP Rafał @trzaskowski_ pokazując jak bardzo troszczy się o nasze bezpieczeństwo wczoraj przez 8 godzin uczestniczył w akcji ""Trenuj z wojskiem"" dzięki czemu nabrał wiedzy od instruktorów wojskowych jak być gotowym na zagrożenia! 💙
#Trzaskowski2025",Sun Apr 06 21:12:37 +0000 2025,0,11,100
20,Piotr Paczuski,"W #SokołówPodlaski też niszczą banery @trzaskowski_ , zostało zniszczonych kilkadziesiąt banerów. 
Dzisiaj zgłosiliśmy na Policję. 
#Trzaskowski2025
#CalaPolskaNaprzód https://t.co/0QTXvu1rOg",Sun Apr 06 21:09:44 +0000 2025,10,122,1281
21,Basia Bielska⚡🇵🇱🇪🇺🇬🇧,@krosnickid Tylko Rafał się liczy. Trzaskamy cały czas💙#Trzaskowski2025 #Trzaskowski2025 #Trzaskowski2025,Sun Apr 06 20:56:29 +0000 2025,0,0,23
22,Agnieszka,"@CzarnekP @NawrockiKn No skoro @CzarnekP mówi, że @NawrockiKn zagwarantuje, to… ratuj się kto może i głosuj na @trzaskowski_ , żeby zakończyć definitywnie czas pisowskiego żerowania na Polakach, przywróci znaczenie słów i wartości, rozliczyć złodziei i zapewnić lepszą przyszłość 🇵🇱.
#Trzaskowski2025",Sun Apr 06 20:55:52 +0000 2025,0,30,193
23,Basia Bielska⚡🇵🇱🇪🇺🇬🇧,@WasatyJanusz Powiedział prawacki błazen. Liczy się tylko Rafał. Trzaskamy dla Rafała 💙#Trzaskowski2025 #Trzaskowski2025 #Trzaskowski2025,Sun Apr 06 20:55:29 +0000 2025,1,1,37
24,Kizinievič Jacinto #SilniRazem 🇵🇱🇪🇺,"W dzisiejszym wskazaniu modelu @trzaskowski_ pozost również faworytem w II turze wyborów prezydenckich. Prezydent Warszawy mógłby w niej liczyć na 54 % poparcia, a @NawrockiKn na 46 %.
Przewaga @trzaskowski_ jest tutaj wyższa o 1,5 pkt % niż przed dwoma tygodn.
#Trzaskowski2025 https://t.co/pxsNDndJoA",Sun Apr 06 20:53:54 +0000 2025,0,0,21
