No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Bez Retuszu TVP Info,"Zapytaliśmy przechodniów co sądzą o #debata 

#BezRetuszu w każdy poniedziałek o 20:15 @tvp_info https://t.co/pERv0cQrxZ",Wed Apr 16 09:07:39 +0000 2025,0,3,198
2,ConnoCon,"Moment w którym Stanowski wystawia piłeczkę Mentzenowi by posłuchać orki na Szymonie 

Wiedzieliście, że Hołownia zaciągnął kredyt na 7 milionów złotych?

Jest taka partia, która się zadłużyła na potęgę - jej były prezes obecnie jest posłem Polski2050 :) 
#debata https://t.co/5dYetE9Ykm",Mon Apr 14 22:24:40 +0000 2025,12,2471,231720
3,Konfederacja,"Z Trzaskowskim jest coraz gorzej. Po sromotnej porażce we własnej patodebacie w TVP nerwy mu puszczają, sam sobie krzyczy ""wielkie brawa"", sam sobie skanduje ""cała Polska na Rafała"", a na koniec wjeżdża ""co uciecze, to się nie upiecze"" 🤡 Komorowski 2.0, kabaret się rozkręca. https://t.co/H3QTYPJ051",Sun Apr 13 18:14:20 +0000 2025,165,3225,133956
4,Ewa,"Jacek Kurski z dawnego TVP zorganizował Dudzie debatę w Końskich: wszystko ok, miał kasę, płacił i Duda był szczęśliwy.
Sztab @Trzaskowski2O25 zorganizował debatę, 3 telewizje transmitowały: To skandal‼️
Hipokryzja, aż człowiekowi niedobrze się robi. https://t.co/vLxD9fHywH",Mon Apr 14 08:41:07 +0000 2025,46,1966,65162
5,Bezimienny👑,"Jedyny słuszny kandydat oraz czarny koń wyborów !!!
Andrzeju Senyszyn Prowadź..!!!😍💪

#Wybory #Debata #AndrzejNaszPrezydent #Gothic !
Kopia Gothicka w każdym domu dla każdego dorosłego mężczyzny i kobiety! https://t.co/klitDax8Hl",Tue Apr 15 13:25:36 +0000 2025,3,32,1106
6,Józefa Szczurek-Żelazko,"Bezdyskusyjnie najlepszy 👏🏻👏🏻 🇵🇱@NawrockiKn 
#Debata #DebataRepubliki #Nawrocki2025",Tue Apr 15 04:24:18 +0000 2025,4,41,772
7,Kraków żąda przynajmniej Bukaresztu,"Karol Nawrocki: Pan prezydent Andrzej Duda przez 10 lat nie obniżył cen prądu, bo wie, że po nim przyjdzie konkretny gość, Karol Nawrocki, który wygra wybory prezydenckie i to zrobi 🤡

#debatarepubliki #debata #karolnawrocki2025 https://t.co/2btivBej70",Mon Apr 14 22:37:57 +0000 2025,2,9,968
8,WICKET,"PRECZ Z EUROKOŁCHOZEM! 

Grzegorz Braun jako JEDYNY kandydat na urząd prezydenta RP opowiada się za niepodległą Polską!

#Braun2025 🇵🇱 #Debata https://t.co/Q45aRlmrT5",Mon Apr 14 21:52:35 +0000 2025,4,209,1948
9,Szczerze Mówiąc,Rafał Trzaskowski schował flagę Lgbt #Debata https://t.co/OXjXD5ECBO,Tue Apr 15 10:16:11 +0000 2025,0,0,75
10,Polska Partia Przyjaciół Piwa,"Gratulujemy zwycięscy debaty w Republice!🍻
#debata https://t.co/dGUw9kU0cW",Mon Apr 14 20:52:55 +0000 2025,0,61,1555
11,WICKET,"Piękna to była debata! 🔥
#Braun2025 #Debata https://t.co/3JZh9T5qd7",Tue Apr 15 00:06:07 +0000 2025,1,59,723
