No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Rafał Trzaskowski,"Niektórzy mówią, że Podlasie to dla mnie trudny teren… A ja odpowiadam: nie sądzę 🙂

Białystok. Co. Za. Moc. Dzięki za dziś! 

#Trzaskowski2025 https://t.co/Bq5wTPexrM",Sun Apr 06 14:23:01 +0000 2025,657,5080,202159
2,Marzena Kosciolek#silnirazem,"Moi drodzy, dni tak szybko mijają , że się nie obejrzymy i będziemy mieć 18.05. I dlatego promujemy najlepszego Prezydenta @trzaskowski_  . Szkoda czasu na zajmowanie się teraz innymi , tu mamy pracę dla wykonania i pomoc w wygranej 
#Trzaskowski2025 ✌️🇵🇱 https://t.co/2zcoTebEGY",Wed Apr 09 17:51:16 +0000 2025,86,701,4850
3,Krzysztof Truskolaski,"Rafał Trzaskowski w Białymstoku!
Jest moc ✌️
#Trzaskowski2025 #CałaPolskaNaprzod https://t.co/Syf0PObwO4",Sun Apr 06 12:52:49 +0000 2025,45,349,5569
4,Jerzy Gryz,Uśmiechnięty i pozytywny ten nasz przyszły Prezydent RP - Rafał #Trzaskowski2025 https://t.co/MpzeWkQ12m,Sun Apr 06 09:07:15 +0000 2025,1,345,1685
5,H.K.Hania #Trzaskowski2025 Silni Razem,"Rafał zawsze stał gdzie trzeba, z kobietami, więc teraz matki, żony, kochanki, siostry, córki wnuczki, trzaskamy dla #Trzaskowski2025 https://t.co/AMUXj7iUiZ",Thu Apr 10 07:30:21 +0000 2025,5,276,1898
6,Krzysztof Truskolaski,"To już dziś! Rafał Trzaskowski w Białymstoku! Do zobaczenia! ✌️🇵🇱🇵🇱
6 kwietnia | godz. 14:30 
SP 49, ul. Armii Krajowej 32, Białystok 
#Trzaskowski2025 #CałaPolskaNaprzód https://t.co/NHMBXtkUIO",Sun Apr 06 06:10:48 +0000 2025,41,373,7598
7,ANIAczarnazołza 🤍❤️#TRZASKOWSKI 2025,"#TrzaskamyPierwsząTurę #TrzaskamyBanery #TrzaskowskiTeam #Trzaskowsk2025 
🤍❤️🇵🇱🤗 https://t.co/qDtpBBlRrw",Mon Apr 07 08:12:34 +0000 2025,9,451,3878
8,Zygmunt J. 🇵🇱#SnaW🇪🇺,"#KobietyNaWybory
Trzaskamy tyle, żeby w pierwszej turze wygrał Rafał,
#Trzaskowski2025 https://t.co/Xa94lAJ2lx",Sun Apr 06 08:35:51 +0000 2025,35,431,2139
9,BaKos,"Rafał Trzaskowski Prezydentem Polski 🤍❤️ By się tak stało, trzeba Trzaskać śmiało ✌️🇵🇱✌️
#CałaPolskaNaprzód 
#Trzaskowski2025 https://t.co/4qs81s6dl7",Mon Apr 07 05:29:12 +0000 2025,19,410,2434
10,Elżbieta 🇵🇱🇪🇺,"Rafał Trzaskowski - nasz przyszły,najlepszy prezydent Polski 
Wieszamy banery , ja  już powiesiłam 
#Trzaskowski2025 https://t.co/w0KACZm8La",Sun Apr 06 06:10:57 +0000 2025,8,210,1315
11,Postman 🇵🇱,"Rafał Trzaskowski po debacie w Końskich 2025  ( nejmanowane) 

#NawrockiNaszPrezydent 
#Trzaskowski2025 
#debata 
#końskie 
#WyboryPrezydenckie2025 
#wyb https://t.co/0vSw2DGmxL",Wed Apr 09 18:37:45 +0000 2025,0,2,76
12,Demos Kratos,"Dlaczego Trzaskowski? Bo nie wyobrażam sobie, by znów ktoś ekshumował wbrew woli rodziny kogoś im bliskiego i tańcem na tej trumnie robił karierę polityczną. To niewybaczalne. Na wskroś pisie i ohydne. Nigdy więcej! Dlatego:
TRZASK! W PIERWSZEJ TURZE!
#Trzaskowski2025 https://t.co/8btj3TIRsC",Wed Apr 09 10:20:06 +0000 2025,42,420,3853
13,Krzysztof Truskolaski,"Białystok – co to było za spotkanie!
Tłumy, energia, wiara w zwycięstwo!
Rafał Trzaskowski przyjęty z otwartymi sercami.

Dziękuję za dziś!
Z takim wsparciem wygramy te wybory.
Marsz po zwycięstwo trwa ✌️

#Trzaskowski2025 #CałaPolskaNaprzód https://t.co/QcGdIVlWQE",Sun Apr 06 17:49:13 +0000 2025,36,247,3248
14,𝕸𝖆𝖗𝖈𝖎𝖓_𝕴𝖈𝖊𝖑𝖆𝖓𝖉 🇮🇸,"Rafał Trzaskowski to lider, który łączy pokolenia i inspiruje do działania. Jego wizja nowoczesnej Polski opiera się na wartościach demokracji i otwartości. Czas na zmiany! #Trzaskowski2025
 #CalaPolskaNaprzód #Poland #Vote https://t.co/78lhNcP6DD",Thu Apr 10 12:33:03 +0000 2025,0,176,1735
15,#Trzaskowski2025 Rzeszów,"Już jutro..
#Trzaskowski2025 https://t.co/2XTwzfeISf",Thu Apr 10 19:26:35 +0000 2025,0,9,94
16,Adam Jastrzębski,"Rafał Trzaskowski to polityk z wizją, konkretem i klasą. Nadchodząca debata to szansa, by po raz kolejny pokazał, że można prowadzić politykę mądrze, odpowiedzialnie i z szacunkiem do ludzi. Trzymam kciuki — #Trzaskowski2025 
#debata https://t.co/luf55CSqcK",Wed Apr 09 19:22:14 +0000 2025,25,304,2351
17,TRZ A dam,"Art 2 Konstytucji RP ""Rzeczpospolita Polska jest demokratycznym państwem prawnym, urzeczywistniającym zasady sprawiedliwości społecznej""
Rafał Trzaskowski jest jedynym kandydatem, który bez udawania może wypełnić ten przepis. 
Głosuj 👇
#Trzaskowski2025 
#ObywateleNaprzód https://t.co/G0IYjvdUVT",Thu Apr 10 07:23:37 +0000 2025,5,129,694
18,Arturo Gavito,"Rafał to wybór, który zmieni Polskę na lepszą! #Trzaskowski2025 https://t.co/u3h1Xp14vw",Mon Apr 07 17:56:01 +0000 2025,11,148,990
19,Kamila Gasiuk-Pihowicz,"""Rafał"". Drugie wydanie będzie miało tytuł ""Prezydent Rafał"" 💪🏼 Czytamy! 📖 #Trzaskowski2025 https://t.co/E6Rfa12uxj",Tue Apr 08 17:58:56 +0000 2025,755,912,29035
20,Evita Polka i Europejka,Rafał Trzaskowski 😁 do poczytania #Trzaskowski2025.                               #Trzaskowskiwygra.                           😀👍🏻🌷🌹 https://t.co/ixggPjeTpY,Wed Apr 09 21:49:33 +0000 2025,0,1,7
21,Pyśka 😀,"Cześć Bążury ‼️
#Trzaskowski2025, nie chodzi o to, by dzielić, tylko by łączyć.
@trzaskowski_ wierzy w rodzinę, uczciwą pracę i sprawiedliwe państwo.
Nie podważa dorobku ostatnich lat — ale wie, że Polska potrzebuje teraz spokoju, kompetencji i współpracy.
#TrzaskamyPierwsząTurę https://t.co/0yLKUWk6S2",Mon Apr 07 04:50:42 +0000 2025,14,264,1219
22,Mariusz Witczak,"Rafał Trzaskowski w Kaliszu!!!
Zapraszamy na spotkanie mieszkańców miasta, okolicznych powiatów, całej aglomeracji kalisko-ostrowskiej. Czwartek, plac Świętego Józefa, godz. 13.30. Do zwycięstwa! #Trzaskowski2025 #Kalisz https://t.co/8i15xeCTVx",Sun Apr 06 11:20:17 +0000 2025,40,337,9604
23,TomDziki,"Dziś Kalisz i Wieluń‼️
Panie Prezydencie @trzaskowski_ DO ZWYCIĘSTWA‼️  
#Trzaskowski2025 ✌️✌️✌️ https://t.co/k0fTvwYVO0",Thu Apr 10 06:54:14 +0000 2025,1,13,340
24,Pradawny,"Trzaskamy od rana!
Tylko Rafał!
Tego nam Trza!
#Trzaskowski2025",Mon Apr 07 05:34:12 +0000 2025,5,199,1478
25,ROBERT 102071,"Silny prezydent to nie ten, który krzyczy najgłośniej. To ten, który łączy, a nie dzieli. Rafał Trzaskowski pokazuje, że można mieć klasę i charakter jednocześnie. #Trzaskowski2025 https://t.co/mCfvSd0AuX",Tue Apr 08 21:47:54 +0000 2025,0,7,100
26,Zdzisław Gawlik,"Wieszamy banery Rafał .@trzaskowski_ 🇵🇱✌️

Pracujemy, aby nasz kandydat wygrał w pierwszej turze! Wczoraj powiesiłem pierwszy baner Rafała Trzaskowskiego w gminie Pilzno. 😃

#Trzaskowski2025 https://t.co/dxpwE5geY6",Wed Apr 09 04:30:19 +0000 2025,71,372,3035
27,Basia Bielska⚡🇵🇱🇪🇺🇬🇧,"Kochani nie widzę Trzaskow, czyżby już po wyborach było? Do roboty, bo Nawrocki szaleje. Trzaskamy. Liczy się tylko Rafał 💙#Trzaskowski2025 #Trzaskowski2025 #Trzaskowski2025#Trzaskowski2025 #PierwszaTuraDlaBążura #SnaW",Sun Apr 06 17:06:36 +0000 2025,103,1014,12542
28,Nowa Generacja Świętokrzyskie,"📢 Już jutro akcja #ObywateleNaprzod w Końskich i Stąporkowie!

O 20:00 debata Rafał Trzaskowski w Końskich.
Pokażmy nasze wsparcie! Bądźcie z nami 💪

#Trzaskowski2025 #debata https://t.co/5sPBb9h3Ac",Thu Apr 10 14:13:52 +0000 2025,0,4,100
29,Krzysztof Grabczuk,"Już jutro - 11 kwietnia o 20:00 Debata prezydencka! 🇵🇱 

@trzaskowski_  💪

#Trzaskowski2025 
#CalaPolskaNaprzód 
#TrzaskowskiTeam https://t.co/EMFdb3m0E4",Thu Apr 10 19:05:14 +0000 2025,0,7,108
30,Dawid Albowicz,"📢 Już jutro akcja #ObywateleNaprzod w Końskich i Stąporkowie!  

O 20:00 debata Rafał Trzaskowski w Końskich. Pokażmy nasze wsparcie! Bądźcie z nami 💪 
#Trzaskowski2025 #debata https://t.co/40GYKwBeXS",Thu Apr 10 10:18:38 +0000 2025,2,97,1250
31,eL jak Elżbieta 🇪🇺 🇵🇱,"Powiem tak... piszony wyją, konfa wyje 🤣
Co by nie powiedział Rafał zawsze skłamią!
I dlatego, zróbmy wszystko by Rafał wygrał w pierwszej turze! 
Rafał był zawsze za kobietami, to teraz #KobietyZTrzaskiem  i za Trzaskiem! ❤️
#Trzaskowski2025 https://t.co/diy2Jc3udE",Sun Apr 06 10:40:13 +0000 2025,55,383,3214
32,Helutka II konto -sierpień 2024,"Zdjęcie symbol ✌️✌️✌️ 
Rafał Trzaskowski 📢 łączy ludzi ‼️‼️
Rafał Trzaskowski gwarantem 
👉 Równości 
👉 Sprawiedliwości 
👉 Normalności 
👉 Stabilności 
👉 Bezpieczeństwa 
#Trzaskowski2025
#TrzaskamyPierwsząTurę https://t.co/OIPtDAnod5",Sun Apr 06 07:34:46 +0000 2025,110,596,5490
33,Damian Firlej,"Pomimo wietrznej pogody, z przyjaciółmi z @pobialoleka, #TrzaskamyBanery dla Rafał Trzaskowski 🇵🇱✌️

#Trzaskowski2025 #CałaPolskaNaprzód #Trza2025 @magda_roguska https://t.co/CXg4szYZaR",Sun Apr 06 09:11:02 +0000 2025,5,302,5050
34,Ark.B,"Zanim sen ogarnie nas, pora trzasnąć jeszcze raz. Tylko Rafał Trzaskowski Prezydentem Polski ✌✌✌
#Trzaskowski2025 Dobranoc https://t.co/6Qhhtqg7VG",Thu Apr 10 20:26:37 +0000 2025,4,87,434
35,Betta🇵🇱🇪🇺🇺🇦,"Ave ✌️✌️✌️
Maksimus Rafałus Trzask
#Trzaskowski2025 
#TrzaskamyPierwsząTurę 
#TrzaskowskiTeam https://t.co/ChstLMVAMY",Tue Apr 08 07:14:50 +0000 2025,242,376,7027
36,Przemysław Wajman,"#Rafał @trzaskowski_ dołączył do towarzystwa 🤓😉😉

 #Trzaskowski2025 ✌️ https://t.co/tE4yh7rkjr",Wed Apr 09 14:09:26 +0000 2025,0,5,88
37,Kabanka28 #Trzaskowsk2025 #SnaW,"Przyszły Prezydent z byłym Premierem.
Obaj zawsze po dobrej stronie mocy.
Spotkanie podczas premiery ksiązki-wywiadu ""Rafał""💪
#Trzaskowski2025 
#debata https://t.co/JN9o4HmT3B",Wed Apr 09 09:59:50 +0000 2025,0,24,156
38,Ark.B,"Środa się kończy, otula ją noc, więc trzaśnij wraz ze mną, nim wskoczysz pod koc. Dobranoc. 
Tylko Rafał Trzaskowski Prezydentem Polski
#Trzaskowski2025 https://t.co/T9MTykAs4w",Wed Apr 09 20:22:02 +0000 2025,2,26,256
39,Dominik Jaśkowiec,"Dwa najnowsze sondaże potwierdzają wzrost poparcia dla @trzaskowski_ Czy jest to efekt #JarkuSiadaj jak myślicie? 🤔

#Trzaskowski2025
#CalaPolskaNaprzód
#TrzaskamyPierwsząTurę 
#TrzaskowskiTeam https://t.co/Rb9SAZVNns",Tue Apr 08 07:17:02 +0000 2025,19,105,2920
40,Mariusz Witczak,"Jutro Rafał Trzaskowski w Kaliszu!!!
Zapraszamy na spotkanie! 
Czwartek, plac Świętego Józefa, godz. 13.30. Do zwycięstwa! #Trzaskowski2025 #Kalisz https://t.co/A1bDbpgi67",Wed Apr 09 19:04:27 +0000 2025,38,417,5067
41,Lendzian - imię moje to Polska. #Polska #PolExit,#Smoleńsk - od początku Tusk ukrywa prawdę. #TrzaskamyPierwsząTurę #RuszamZTrzaskiem #TrzaskowskiWygra #Trzaskowski2025 #TrzaskowskiTeam #NormalnaPolska #Rafał #Trzaskowski #Prezydent2025 #SnaW https://t.co/IV0MVdWyH0,Thu Apr 10 08:39:54 +0000 2025,1,0,35
42,Lendzian - imię moje to Polska. #Polska #PolExit,Zamachowcy. #TrzaskamyPierwsząTurę #RuszamZTrzaskiem #TrzaskowskiWygra #Trzaskowski2025 #SnaW #WybierzPolskie #KobietyZaTrzaskowskim #SiecNaWybory #SnaWygrywa #ZdrowyRozsądek #JedzmyRazemPrincePolo #TrzaskowskiTeam #NormalnaPolska #Rafał #Trzaskowski #Prezydent2025 https://t.co/nlM8ZlvXRl,Thu Apr 10 08:00:29 +0000 2025,0,0,22
43,Mariusz Witczak,"Dziś Rafał Trzaskowski w Kaliszu. Wybierzmy prezydenta, który gwarantuje stabilizację, spokój i mądrą politykę międzynarodową. Cała naprzód! #Trzaskowski2025 #Kalisz https://t.co/YA0bYBQNeV",Thu Apr 10 17:10:22 +0000 2025,6,43,3188
44,Lendzian - imię moje to Polska. #Polska #PolExit,Zamachowcy tańczą nad zwłokami. #TrzaskamyPierwsząTurę #RuszamZTrzaskiem #TrzaskowskiWygra #Trzaskowski2025 #TrzaskowskiTeam #NormalnaPolska #Rafał #Trzaskowski  #SnaW #SnaWygrywa https://t.co/k7WdfV2TDu,Thu Apr 10 08:52:53 +0000 2025,0,1,8
45,Instytut Monitorowania Mediów,".@trzaskowski_ prowadzi w rankingu medialności.
@MagdaBiejat dogania @SlawomirMentzen w l. wyświetleń na TikToku.🔗Cały raport: https://t.co/SbJVpBLF4S

 #trzaskowski2025 #nawrocki2025 #Mentzen2025 #holownia2025 #Biejat2025 #zandberg2025 #braun2025 #jakubiak2025
@Holownia2025 https://t.co/5MFsWKx4kV",Thu Apr 10 13:58:41 +0000 2025,0,15,4153
46,Beata,"#Trzaskowski2025 zadeklarował, że jako prezydent będzie chciał wsłuchiwać się w propozycje rozwiązań przedstawiane przez kobiety. Podkreślił, że czynił tak jako prezydent Warszawy, wprowadzając https://t.co/SMN5dspwbn. program darmowych żłobków.
ZA: 
https://t.co/oprE4yKXGj https://t.co/Pum50KWwzU",Thu Apr 10 11:25:35 +0000 2025,1,186,970
47,Anna Wojciechowska,"Wróciłam właśnie ze spotkań w Łomży i Zambrowie w ramach akcji #KobietyZTrzaskiem.
Świetna frekwencja, dużo ważnych rozmów i konkretne pytania. Wszystkie uwagi zostały zanotowane i przekażemy je @trzaskowski_.
#KobietyNaWybory #Trzaskowski2025 https://t.co/FH8VY40hMj",Wed Apr 09 19:10:26 +0000 2025,0,16,384
48,Hirek123,"Tylko Rafał ✌️✌️✌️
#Trzaskowski2025 https://t.co/YGGCHqmrNn",Wed Apr 09 17:29:17 +0000 2025,0,17,204
49,Elżbieta Anna Polak,"Dołączyło już do naszej Samorządowej Drużyny Poparcia ⁦@trzaskowski_⁩ ponad 16 tys. samorządowców. Dziękujemy❤️
Cały czas możesz do nas jeszcze dołączyć na https://t.co/iBPS1HTJQi
#Trzaskiwskinaprzod
#Trzaskowski2025
#Obywatelenaprzod https://t.co/jzKvrYATpo",Thu Apr 10 06:44:57 +0000 2025,7,110,767
50,Pieter,"Nawrocki/Batyr...fifarafa
Idę na debatę...
Ale Karol nie masz argumentów, Rafał ma...
Lekko koloryzowane😁

#Trzaskowski2025 https://t.co/m4R4Rpwc3U",Thu Apr 10 18:00:51 +0000 2025,0,94,23676
