No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Jan,"@Ismetremy @trzaskowski_ Ta ktoś dostała nobla, jprdle",Mon Jun 09 23:59:13 +0000 2025,0,0,77
2,XO,"@ReynoldsNavier @rafalhubert @GiertychRoman @trzaskowski_ @szymon_holownia Giertych przygotowuje wariant rumunski. Na zlecenie Najwiekszego Sojusznika. 

Nawrocki obecnie 70% szans na zaprzysiezenie. Nie zapominaj, ze Holownia to sa emeryci PL inCIA. Jak bedzie trzeba - zamkna Sejm ""do remontu""",Mon Jun 09 23:58:14 +0000 2025,1,4,151
3,Krzysztof Szarlej,"@GiertychRoman Nawet Zandberg miał 4, a Trzaskowski tylko 3. Ludzie wstydzili się reprezentować komitet kandydata, który chciał bronić Polski na linii Wisły, bo ""chuj z Polską Wschodnią"".",Mon Jun 09 23:57:47 +0000 2025,5,892,5602
4,Psuj,"@MartaLokje @rafalhubert @GiertychRoman @trzaskowski_ @szymon_holownia Znaczy, jak trzepnie trzy browary, w tym jednego bezalkoholowego?",Mon Jun 09 23:56:59 +0000 2025,0,1,82
5,XO,"@ReynoldsNavier @rafalhubert @GiertychRoman @trzaskowski_ @szymon_holownia US zrobiki rachunek bez Izraela. A obecnie mamy 2 ambasadorow IZR w RP. Jednego z TViv drugiego z Brooklyn. Dodatkowo jest temat UA. Jezeli dojdzie do porozumienia RU/US - Nawrocki jest zbyteczny.

Nawrocki jest w zawieszeniu.",Mon Jun 09 23:55:44 +0000 2025,2,3,109
6,Raging Bull,"@ewa_c @DawidWildstein Dziwne, że to Trzaskowski wygrał w Rosji i na Białorusi.",Mon Jun 09 23:55:05 +0000 2025,0,0,3
7,amilka,"@aszka_jo @PiotrWiel @trzaskowski_ @NawrockiKn Ale nie ma chyba takiej możliwości w polskim prawie. Można najwyżej powtórzyć wybory, jeśli są ku temu przesłanki. Zignorować, to bańka, nikt poważny się tym nie przejmuje. Już wszyscy żyją lewandowskim.",Mon Jun 09 23:53:08 +0000 2025,1,1,17
8,Fmitw,"@klaudiushek @AndrzejDuda No jak - przecież wspierający demokrację KO ""stary komunista"" Kwaśniewski stwierdził, że wybory były absolutnie transparentne co każdy widział!
No i, że Przegrany Trzaskowski zaakceptowałby porażkę bez protestu, to Nawrocki jeśli przegra będzie wraz z PiS podważał decyzje ludzi! https://t.co/n45OszN6Qj",Mon Jun 09 23:51:12 +0000 2025,0,0,20
9,tomzaj3007,"@GiertychRoman Tusk i Trzaskowski nic o przeliczaniu na nowo nie mówią. Wiedzą, że wtedy przewaga Nawrockiego będzie jeszcze większa.",Mon Jun 09 23:50:54 +0000 2025,0,1,11
10,WildRock,"@wsamraz Nawrocki to wojna z Rosja, Trzaskowski to dalsze pchanie LGBT.",Mon Jun 09 23:50:40 +0000 2025,0,0,33
