No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,R⚡R Ukarywator,@PasekPola13924 @szkolaszpiegow @TeDeKrk @KhazAkar @Platforma_org @radeksikorski @donaldtusk @trzaskowski_ @MateuszCieslak4 @sikorskiradek W życi my som,Mon May 19 23:59:49 +0000 2025,0,4,26
2,Rafal Jonca,@K_Stanowski Mogła napisać Durzy Obuż.,Mon May 19 23:59:39 +0000 2025,0,0,119
3,AnkaMH🌱🇪🇺🇵🇱🇳🇱,@Ver_balist @normalny88 tu chodziło o pewnego polityka...,Mon May 19 23:59:33 +0000 2025,0,0,3
4,Something Beautiful,@ulapanka @trzaskowski_ Frasyniuk powinien siedzieć.,Mon May 19 23:59:31 +0000 2025,0,0,2
5,Jared_Storm,@ZielonyRycerz @9_pas_Nostromo @fck_U_X @PPolityce @PiotrWiel @pisorgpl @NASK_pl @MorawieckiM śnij gamoniu dalej,Mon May 19 23:59:11 +0000 2025,0,1,12
6,MakowskiMateusz,"@D_Stackhaus @CDzwoni Każdy głosuje. Ten co zostaje w domu też. On głosuje wybierzcie za mnie. Można się obrażać na rzeczywistość, ale ona się od tego nie zmieni. Jest dwóch kandydatów i nie są sobie równi. O Nawrocki wiem mało, ale gorszy niż Trzaskowski nie będzie, nie da się.",Mon May 19 23:59:09 +0000 2025,0,5,105
7,Mike Torch 🇺🇸🇵🇱,@TomaszSiemoniak @trzaskowski_ @KosiniakKamysz Pojdzie w błoto razem z Trzaskowskim i Tuskiem. Tam jest ich miejsce!,Mon May 19 23:59:00 +0000 2025,0,0,
8,Politicalmeme 🇵🇱,"@PiotrekPiotr666 @MVPjeff9 @OficjalneZero Takim sposobem, przegraliście już na starcie wybory. Nawrocki i jego środowisko nie ma takiej pogardy co wy, Hołownia i Trzaskowski obaj mają taką dziwną wyższość, która gubi. W sumie to dobrze :)",Mon May 19 23:58:56 +0000 2025,1,1,25
9,Luk #NawRocky,@__Lewica @trzaskowski_ @NawrockiKn Nic się nie uda wam zrobić bo wy nic nie robicie taka prawda...,Mon May 19 23:58:46 +0000 2025,0,0,4
10,ALEKS #SILNIRAZEM #WYBORY 2027 #TUSK KO WYGRAMY,"@Milenn_ele @_Afraniusz @waldemar_buda W trzech najbardziej zniszczonych miejscowościach, Stroniu, Ladku i Kłodzku wyraźnie wygrywa Trzaskowski.
To najlepszy dowód że obecna władza dobrze wykonuje swoje obowiązki pomocy poszkodowanych w klęsce powodziowej.",Mon May 19 23:58:31 +0000 2025,1,10,83
11,Pablita Moralita / Zosia SnaW🇵🇱#Trzaskowski2025,"@KasiaLipp @trzaskowski_ Chcecie Powtórki❓
Kobiety, nie jesteśmy przecież Masochistkami❗
Szanujmy się i bądźmy, mądrzejsze przed szkodą ❗ https://t.co/zTUG426qm3",Mon May 19 23:57:56 +0000 2025,0,7,73
12,Adamas_w_trasie,@5Commando @marian_baczal @trzaskowski_ @NawrockiKn @Pies_Sworzen Pewnie coś koło tego,Mon May 19 23:57:55 +0000 2025,0,1,7
