No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Krzysztof Jakubik,@MichalSzczerba @Trzaskowski2O25 @trzaskowski_ @Platforma_org @ko_klub @WiolaPaprocka @M_K_Blonska @donaldtusk @AndrzejHalicki @KrzysztofLisek Scerba  zostało  mało czasu  zarejestruj się  do odpowiedniego   specjalisty medycznego.Stan twego zdrowia pogarsza się.WIN56.,Tue May 13 23:59:47 +0000 2025,0,0,4
2,Rafał,"@Podhalanka_ @alojjola No ale jak? Dagmara od Guzików specjalistka od mowy ciała pisała co innego. Że przywódca, pewny, mąż stanu itd i to tylko po rozbieganych oczach przeanalizowała 😂😂",Tue May 13 23:59:31 +0000 2025,0,0,10
3,Urszula Bogulas-Janota,"@JagnaMarczulajt @trzaskowski_ TCHÓRZU trzaskowski robi tylko głupie miny,a PAN NAWROCKI JUŻ ZAŁATWIŁ COFNIĘCIE OGRANICZEŃ Z DONALDEM TRAMPEM",Tue May 13 23:59:30 +0000 2025,0,1,10
4,tomasz cywiński,"Rafał Trzaskowski
Uczył się w Szkole Podstawowej nr 158 im. Jana Kilińskiego w Warszawie. Przed wyborami w 1989, będąc uczniem XI Liceum Ogólnokształcącego im. Mikołaja Reja w Warszawie, zgłosił się jako wolontariusz do pomocy w biurze stołecznego Komitetu Obywatelskiego w",Tue May 13 23:59:18 +0000 2025,5,59,2072
5,#LiczymyJeszczeRaz ***** ***,@micha1985575 @Ten_Psycholog @WiolaPaprocka @trzaskowski_ Tak i właśnie o tym napisałem. Mamy te same myśli.,Tue May 13 23:58:47 +0000 2025,0,0,6
6,Barbara Chmielewska,@MorawieckiM co ty piepszysz oszuście.Trzaskowski to człowiek o wielkiej klasie tylko on nadaje się na prezydenta.,Tue May 13 23:58:14 +0000 2025,0,0,1
7,Rafał,@viola1381 @16Zosiaa Od kiedy pamiętam był ale pytanie dlaczego nie w neotuskvp w likwidacji.,Tue May 13 23:58:06 +0000 2025,0,0,9
8,Albert Trojan,"@k_marcinkiewicz @Trzaskowski2O25 Ohhh jej Rafał i Małgosia przeszli przez rynek,a Krzysiowi w majtkach mokro się zrobiło ty kurwa durniu ty.",Tue May 13 23:57:59 +0000 2025,0,0,38
9,Magda S,"@marcinwarchol @trzaskowski_ I bardzo dobrze nie należy im się to mieszkanie , cwaniaków trzeba nauczyć. Dziwię się, że rodzice są tak nieodpowiedzialni i teraz grają dzieckiem wstyd",Tue May 13 23:57:18 +0000 2025,0,0,6
10,Tamerlan,@PulawskaSM @trzaskowski_ Od Madalińskiego do Rakowieckiej zawsze sie kitowało. Tylko kiedyś były dwa światła a teraz jest bodajże 5 na tym samym odcinku. Kretynizm jest nieuleczalny.,Tue May 13 23:56:29 +0000 2025,0,1,11
11,Rafał,@R__o__h_ Nie chce się wpychać przed kropiwnickiego,Tue May 13 23:56:29 +0000 2025,0,0,21
12,Sobieski the 3rd,"@barbaraanowacka @trzaskowski_ @Trzaskowski2O25 O czym ty Tępa idiotko pleciesz , Rafau jedzie na LSD lub innych stymulatorach które mu nawet nie pomagają ..",Tue May 13 23:56:00 +0000 2025,0,1,6
13,Joanna,"@trzaskowski_ @WiolaPaprocka 
Prossoliście o wyjaśnienia:-) Oto one👇
Razem pokonamy to zlo, PO❤️🇵🇱💪",Tue May 13 23:55:56 +0000 2025,0,0,8
14,Pawel Mat,@Macierewicz_A @trzaskowski_ szach i mat.,Tue May 13 23:55:42 +0000 2025,0,1,11
15,Halina,@Trzaskowski2O25 @trzaskowski_ Więc przestań w końcu kłamać https://t.co/YMsLJYFyUC,Tue May 13 23:55:41 +0000 2025,0,0,6
16,rowerator,"@trzaskowski_ Niezłe zagranie odjebałeś wariacie, w tym twoim sztabie to chyba sami geniusze są",Tue May 13 23:55:27 +0000 2025,0,0,10
17,piotr nowak,"Trzaskowski przegrał i nie domknie systemu dla Tuska,nasi żołnierze zostaną w domu!!",Tue May 13 23:55:26 +0000 2025,0,0,2
18,Halina,@Trzaskowski2O25 @trzaskowski_ Załatwiałeś sprawy kumpli? https://t.co/xBBAXVxJYD,Tue May 13 23:55:05 +0000 2025,0,3,9
19,Olgierd,"@UrszulaMatusze3 @WiolaPaprocka @trzaskowski_ Miałabyś złotówkę, ale za durną literówkę tylko 50 groszy, próbuj dalej.",Tue May 13 23:54:40 +0000 2025,0,1,6
20,Pedrowski,@o_1052 @cezarykrysztopa @trzaskowski_ Każdy z partii systemowej/ telewizyjnej.,Tue May 13 23:54:36 +0000 2025,0,0,20
