No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Rafał Trzaskowski,"Kolejny punkt za nami! Skarżysko-Kamienna to miasto, w którym w 2020 roku nie udało mi się wygrać ani w I, ani w II turze. We wczorajszym głosowaniu byłem tu pierwszy. Za co podziękowałem dziś mieszkankom i mieszkańcom osobiście.

Dziękuję za tę I turę - i proszę o więcej. https://t.co/iZ6w66G89d",Mon May 19 10:21:54 +0000 2025,270,2743,108231
2,Rafał Trzaskowski,"Pod biało-czerwoną zmieścimy się wszyscy! 🇵🇱

#Trzaskowski2025 #WygraCałaPolska https://t.co/sYlp9H4D6P",Fri May 16 19:20:35 +0000 2025,517,2066,95378
3,Rafał Trzaskowski,WYGRA CAŁA POLSKA 🇵🇱 #Trzaskowski2025 #WygraCałaPolska https://t.co/0WYj9DE08Z,Fri May 16 21:42:09 +0000 2025,203,1187,36606
4,Rafał Trzaskowski,"Nie tracimy ani chwili - od rana działamy na pełnych obrotach! 

Poniedziałkowy poranek wśród mieszkanek i mieszkańców Kielc. Dziękuję za Wasze zaufanie w I turze. A teraz pełna mobilizacja! Bijemy się o przyszłość Polski - i ja tej walki nie odpuszczę!

#WygraCałaPolska https://t.co/KMcmL27fPM",Mon May 19 06:31:01 +0000 2025,812,4526,245857
5,Krzysztof Mulawa,"‼️ Szanowni Państwo, mamy do czynienia z gigantycznym SKANDALEM. NASK wprowadza opinię publiczną w błąd! 

W swoim komunikacie przemilczano KLUCZOWY fakt: beneficjentem kampanii finansowanej kwotą 400 TYSIĘCY ZŁOTYCH był RAFAŁ TRZASKOWSKI.

👉🏻 Tymczasem oczerniani byli kandydaci https://t.co/EmE2nNY6Qx",Thu May 15 16:07:04 +0000 2025,26,581,9732
6,Michał Sztybel,"Porównajcie sami: Rafał Trzaskowski w Bydgoszczy vs. Karol Nawrocki w Bydgoszczy — ten drugi się spóźnił i kilkanaście minut mówił po czym szybko wyjechał.

1 czerwca nie oddajmy Polski tym, którzy przez 8 lat ją niszczyli. 
#Trzaskowski2O25 #WygraCałaPolska https://t.co/kv6NRdLdFU",Mon May 19 15:44:57 +0000 2025,223,732,36156
7,Święty Polaczek,#Wybory2025 Trzaskowski musi wygrać aby polska była polską,Mon May 19 23:15:37 +0000 2025,0,0,25
8,Adrián Caracán,"siemanko witam w mojej k-

-urwa Rafał Trzaskowski był nielegalnie wspierany za pieniądze z zagranicy i powinien zostać wykluczony z wyborów prezydenckich, a opinia publiczna ma to w dupie i przyzwala na oszustwa wyborcze https://t.co/4aUi3Es4TO",Mon May 19 20:48:01 +0000 2025,2,556,9092
9,Rafał Trzaskowski,"Międzyborów ❤️

To już ostatnie godziny kampanii - dziękuję, że jesteście ze mną! Idziemy po zwycięstwo! 🇵🇱

#Trzaskowski2025 #WygraCałaPolska https://t.co/kzhHURVKHl",Fri May 16 20:27:37 +0000 2025,208,1342,49297
10,Rafał Trzaskowski,Międzyborów. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/Su4g7yZqxE,Fri May 16 19:30:28 +0000 2025,82,736,91050
11,APrawdaWasWyzwoli,"Szmalcownicy, złodziejstwo, przekręty, reprywatyzacja, przejęcie kamienicy przez Walz'ów i @trzaskowski_, motający się jak 💩 w betoniarce, aby tego bronić...

Jak tam Rafał? Pogadamy o mieszkaniach?

#ByleNieTrzaskowski https://t.co/sQB1ynIIwx",Mon May 19 14:13:44 +0000 2025,12,1139,44853
12,Tygodnik POLITYKA,"""Nie dam się zamknąć w Pałacu i zamierzam nadal być bardzo aktywnym człowiekiem. Taki po prostu mam charakter. Zresztą żona by mi nie pozwoliła na bierność, bo ona też ma swoje pomysły na wykorzystanie możliwości pierwszej damy""
- mówi Rafał Trzaskowski.
https://t.co/5VZgFrDcsW https://t.co/8NqzZbHm2t",Thu May 15 08:25:05 +0000 2025,8,203,4827
13,Bꓭambo,"Rafał Trzaskowski
vs
Karol Nawrocki

Narcyz Rafał Trzaskowski dziękuje żonie, a Karol Nawrocki Polakom.

Znajdź różnicę. https://t.co/WWZFd7Y0zE",Sun May 18 20:01:12 +0000 2025,10,742,28235
14,John Bingham,"Stronie Śląskie.
Trzaskowski Rafał Kazimierz – 39,82%
Nawrocki Karol Tadeusz – 24,98% https://t.co/shxLF9VXFn",Mon May 19 04:33:43 +0000 2025,595,6953,279662
15,Trzaskowski Naprzód,"W Radomiu trwa konferencja prasowa #ObywateleNaprzod: @Gasiuk_Pihowicz: Rafał Trzaskowski szanuje seniorów, myśli o młodych ludziach, edukacji, zapewni rozwój gospodarki. Dziś potrzebujemy prezydenta, który potrafi budować jedność! Dziś potrzebujemy #Trzaskowski2025 https://t.co/mQ9GqMOEGl",Thu May 15 06:57:26 +0000 2025,40,199,2259
16,Katarzyna Kamila K,Białystok lubi Rafała 🥰 @trzaskowski_ ✌️🇵🇱❤️ 18 maja  #TrzaskamyPierwsząTurę  #Trzaskowski2025 https://t.co/K0zDdSOrC0,Thu May 15 08:18:32 +0000 2025,12,200,1149
17,Rafał Trzaskowski,"Szukajmy tego, co łączy. A wtedy wygra cała Polska! 🇵🇱

@KosiniakKamysz, @nowePSL - dziękuję za Wasze poparcie!

#Trzaskowski2025 https://t.co/SOKIfPoj5E",Mon May 19 12:21:21 +0000 2025,1090,5770,240472
18,Michal,"Trzaskowski powinien obiecać że jak wygra wybory przeprowadzi podwodnego live z walki z rekinami! 
#KazdybylenieTrzaskowski 
#Trzaskowski2025 
#TrzaskNASK 
#Trzaskowski",Mon May 19 23:41:44 +0000 2025,0,0,17
19,Jagoda #SilniRazem🇵🇱🇪🇺🇺🇦,"Ależ to żenujące,żeby człowiek pokroju Rafała Trzaskowskiego...kultura, umiar, kompetencje i przyzwoitość, musiał  walczyć o prezydenturę z alfonsem,przyjacielem sutenerów z półświatka i kiboli oraz oszustem.
To nawet wstyd robić takie porównanie😡",Sun May 18 19:19:22 +0000 2025,599,5373,103077
20,Zygmunt J. 🇵🇱#SnaW🇪🇺,"Szczecin już wie, że Nawrocki
jest na dnie. #NawrockiLichwiarz.
Tylko Rafał, #Trzaskowski2025, może zostać głową, PAŃSTWA POLSKIEGO. https://t.co/Z6d9DPHjYn",Thu May 15 17:39:05 +0000 2025,10,217,1091
21,Connor MacLeod,"Rafał musi zawalczyć o tych, którzy nie poszli na wybory.
To jedyny elektorat, który jest do zdobycia.
Każdy, kto głosował na kandydatów K15X ma obywatelski obowiązek poprzeć Trzaska.
Tyle👊",Sun May 18 19:46:21 +0000 2025,7,225,1575
22,Otwarta Konserwa,"NASK najwyraźniej chciał wmówić nam, że Rafał Trzaskowski także jest ofiarą hejterskich spotów wyborczych, które od tygodni zalewały internet. No ale najwyraźniej coś poszło nie tak... 🤨 https://t.co/S6vd4Cvadq",Thu May 15 21:33:47 +0000 2025,2,221,4779
23,Konserwatywny liberał,"RAFAŁ TRZASKOWSKI NIELEGALNIE FINANSOWAŁ KAMPANIĘ WYBORCZĄ. 
To powinien być news dnia we wszystkich mediach.",Thu May 15 11:31:41 +0000 2025,67,6723,95390
24,APrawdaWasWyzwoli,"‼️Byle nie Trzaskowski‼️
A dlaczego nie, wyjaśni osobiście Rafał!

Mój głos oddam na @NawrockiKn, aby mógł patrzeć tej zdemoralizowanej tuskowej władzy na ręce😎‼️ 
P.s. Częstujcie się tym filmikiem i rozsyłacie, RT! https://t.co/eQuz6ASv5o",Thu May 15 18:57:40 +0000 2025,27,541,10561
25,Wiola Paprocka,"Tarnobrzeg na Podkarpaciu. Pierwsze miejsce spotkania z wyborcami w II turze. Rafał Trzaskowski wygrywa tu 33.93%. Dziękujemy! 🤍❤️
#Trzaskowski2025 https://t.co/zCoERN2Bpz",Sun May 18 23:11:06 +0000 2025,113,823,17942
26,e-Janusz Ch. 🛷,"@trzaskowski_ Rafał czy masz związki z Akcją Demokracja która wykupywała reklamy szkalujące Mentzena i Nawrockiego,  chwalące Ciebie, za setki tysięcy złotych niewiadomego pochodzenia?
#TrzaskNASK https://t.co/B8ooH45NZT",Thu May 15 09:49:43 +0000 2025,10,496,12394
27,Adam Czarnecki,"Trzaskowski mówi, że afera #TrzaskNASK to wynik rosyjskiej propagandy, a nie Jego kolesi z @AkcjaDemokracja 🤡

A w ogóle to 400 tys. zł wydane na nielegalne promowanie @trzaskowski_ i obrzucanie błotem Jego kontrkandydatów to szachy 5D Putina

Ma tupet.

 https://t.co/J0ggsHwplu",Thu May 15 16:30:45 +0000 2025,181,2727,100746
28,Otwarta Konserwa,"Rafała Trzaskowskiego sztabowcy trzymają w bańce, tymczasem @OficjalnyJK... obrażał Karola Nawrockiego ‼️

Takie niedyskrecje tylko od @JMiziolek, tylko w ""Śniadaniu wyborczym"" u @KZiemiec 

Całość w linku poniżej 👇🏻 https://t.co/8DNoterNrN",Mon May 19 12:47:41 +0000 2025,24,985,157571
29,Paweł Rybicki,"Afera #TrzaskNASK tliła się, aż w końcu wybuchła z pełną siłą. Skala nieprawidłowości jest dużo większa, niż w Rumunii, gdzie unieważniono wybory. Może najprościej byłoby, gdyby Trzaskowski wycofał się z wyborów sam? https://t.co/nXwn8NS6wX",Thu May 15 10:10:10 +0000 2025,72,1748,44088
