No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Rafał Trzaskowski,"Bąbel - jest ✅️
Kawa - jest ✅️
Trzaskobus - w trasie ✅️

A o 11 widzimy się w Płocku!

#WygraCałaPolska #Trzaskowski2025 https://t.co/9N41fUMmGF",Sun May 11 08:01:09 +0000 2025,835,5391,204416
2,Rafał Trzaskowski,"Moi konkurenci chętnie używają wielkich słów. Ale cała sztuka polega nie na tym, żeby pięknie mówić. Ani nawet na tym, żeby zasypiać z Biblią pod poduszką. Chodzi o to, żeby na co dzień postępować zgodnie z najważniejszymi wartościami. Takimi jak uczciwość. Jak odpowiedzialność. https://t.co/b7oXaJU0oU",Sat May 10 16:53:34 +0000 2025,939,4053,107712
3,Rafał Trzaskowski,"#NoweCentrumWarszawy w budowie.

@MSN_Warszawa ✅️
Plac Centralny 🔜
Teatr TR 🏗 https://t.co/QdLiPPd5wj",Mon May 12 09:39:32 +0000 2025,404,2808,78963
4,Rafał Obłuski #Trzaskowski2025,Rafał Trzaskowski brawo👍🤜🤛👌💪 #CałaPolskaNaprzód 🇵🇱 #WygraCałaPolska 🇵🇱 #Trzaskowski2025 🇵🇱 https://t.co/lmX1RSmB7C,Mon May 12 19:34:34 +0000 2025,72,618,4872
5,Rafał Obłuski #Trzaskowski2025,Brawo Rafał Trzaskowski 💪👌🤜🤛👍 #WygraCałaPolska 🇵🇱 #CałaPolskaNaprzód 🇵🇱 #Trzaskowski2025 🇵🇱 https://t.co/qxplR8x6jt,Mon May 12 19:55:29 +0000 2025,29,557,3508
6,Aneta ObserwatorXY,"Rafał Trzaskowski m. in. o kwestii bezpieczeństwa, języku śląskim i tabletce 'dzień po'.
#Trzaskowski2025 https://t.co/JnArYY7han",Mon May 12 18:13:47 +0000 2025,13,734,10147
7,Michelle 🇩🇪🇪🇺,"Wspaniały występ Rafała❤️ widziałam w jego oczach bardzo duże zmęczenie,Rafale już parę dni i otworzysz drzwi pałacu , życzę wytrwałości ❤️❤️✌️jesteś wspaniały @Trzaskowski2O25 https://t.co/xvK9Q3vQ6F",Mon May 12 21:50:44 +0000 2025,4,2333,16889
8,Leszek Kraskowski Reporterzy Online,"TVN zrobił materiał o tym, że Karol Nawrocki zna jakiegoś gangstera, a ja - że Rafał Trzaskowski zgodził się, aby jego zastępcą w warszawskim ratuszu został Paweł Rabiej, który pracował w latach 90. dla mafii pruszkowskiej. 
Nie rozumiem w związku z tym obelg ze strony https://t.co/QqAAVNXULV",Mon May 12 09:11:07 +0000 2025,88,4087,64115
9,Helutka II konto -sierpień 2024,"Kraków ‼️‼️‼️ 
Rafał Trzaskowski -
""najważniejsza jest uczciwość,ludzka przyzwoitość i bezinteresowność ""📣📣📢📢
Cała Polska Naprzód 🇵🇱 🇵🇱 🇵🇱 📢 📣 
#WygraCałaPolska

#Trzaskowski2025 https://t.co/FX5CXt29I7",Tue May 13 15:50:11 +0000 2025,39,528,4514
10,Rafał Trzaskowski,"Kraków. Moje drugie miasto. Spędziłem tu mnóstwo czasu w dzieciństwie i jako młody chłopak. Tata - Krakus z krwi i kości, mój brat, wszyscy moi przyjaciele z Krakowa zawsze mieli silne kręgosłupy. Wartości są tu najważniejsze. Tak jak w mojej Warszawie i w całej Polsce. Chcę tym https://t.co/NWGpCKsoaa",Tue May 13 19:09:45 +0000 2025,658,4151,122491
11,#Nawrocki2025,Jest pan skuteczniejszy niż mafia reprywatyzacyjna - Karol Nawrocki nokautuje Rafała Trzaskowskiego. 🔥 #Nawrocki2025 https://t.co/E3UBXYkPNM,Tue May 13 06:00:05 +0000 2025,226,1940,49366
12,Betta🇵🇱🇪🇺🇺🇦,"Wybór jest jeden🤍❤️
Tylko Rafał🤍❤️🤍❤️
#Trzaskowski2025 
#TrzaskamyPierwsząTurę https://t.co/7jFVrKZLlk",Sun May 11 09:36:52 +0000 2025,47,330,3472
13,Monika Rosa,"Rafał Trzaskowski jasno o prawie kobiet do decydowania o sobie, o prawie Ślązaków do swojego języka. Najlepszy wybór! #WygraCałaPolska #trzaskowski2025",Mon May 12 18:15:25 +0000 2025,128,1083,19521
14,Krysia,"POLSKA CAŁA 🇵🇱
NA RAFAŁA✌️
#TRZASKOWSKI WYGRA !✌️ https://t.co/ysyJyVcCqF",Sat May 10 14:08:57 +0000 2025,11,233,1704
15,Rafał,"Oglądam Copa Sudamericana. Przysięgam, że już nigdy nie będę narzekał na 3 ligę polską.",Tue May 13 23:40:58 +0000 2025,0,0,9
16,ɢʀᴇɢᴏʀ,Rafał Trzaskowski wygrał pojedynek z pewnym agresywnym kimś 😁💪 https://t.co/SHMtPYX48u,Sun May 11 14:01:01 +0000 2025,102,3814,173868
17,Ludwik Pęzioł,Rafał Trzaskowski po kawce ze Stano vs Karol Nawrocki po pięciu dniach mordobicia przez służby specjalne. https://t.co/SgIfADt8Y7,Fri May 09 18:33:37 +0000 2025,61,2799,47442
18,Rafał Trzaskowski,"Ostatnia debata przed I turą wyborów za nami. To, co było dla mnie szczególnie istotne, to przypomnienie, jak ważne są wartości. Solidarność. Empatia. Odpowiedzialność. A przede wszystkim - uczciwość. 

Nie tracimy ani sekundy - prosto z debaty ruszamy w trasę ✌️

Dziękuję, że https://t.co/ef9v55ya1h",Mon May 12 22:35:43 +0000 2025,1429,6431,323024
19,Ula #Trza❣️,"To co wyprawia sztab Batyra wygląda jak sabotaż 😁
Pożar w burdelu, który stale rozpala sam Batyr 🤣 Mistrzowie 😂

Wybór jest prosty: uczciwy, kompetentny prezydent Polski to Rafał Trzaskowski ❣️ 
#Trzaskowski2O25",Tue May 13 23:28:18 +0000 2025,3,23,108
20,🦋💙 The Gene®@l™ 💙🦋,"(1/3)
Przykazanie Nowe Daję Wam:
Byście Wzajemnie Wszyscy wyTRZASKali‼️
Wszystkie konta, budujcie zasięgi i łączcie się w TRZASKości‼️ #Trzaskowski2025 #TrzaskamyPierwsząTurę  #DrużynaRafała
Warunki poniżej: https://t.co/ede5PsMlCw",Fri May 09 14:56:44 +0000 2025,30,356,5447
21,#Nawrocki2025,Mocny nokaut Karola Nawrockiego na Rafale Trzaskowskim! 🔥 #Nawrocki2025 https://t.co/fN7jmvp99F,Mon May 12 19:43:31 +0000 2025,396,2670,135388
22,Błażej Poboży,"Rafał Trzaskowski. Zmęczony, zrezygnowany, przegrany. Jedynym jego sukcesem było to, że ustał przy swoim pulpicie. 

Karol Nawrocki. Silny, zdecydowany, zwycięski. Po trzech godzinach wygląda jakby się dopiero rozgrzewał. 

Wybieram @NawrockiKn! Wygrał dziś, wygra w niedzielę! 🇵🇱",Mon May 12 21:43:26 +0000 2025,31,288,2890
23,Rafał Obłuski #Trzaskowski2025,Ostatnie kilka dni przed ciszą wyborczą 🇵🇱 Trzaskamy na spcer 🇵🇱🤝💪👊👍🤜🤛🇵🇱 #WygraCałaPolska 🇵🇱 #CałaPolskaNaprzód 🇵🇱 #Trszaskowski2025 🇵🇱 https://t.co/BJZ0AEgC0u,Mon May 12 11:17:31 +0000 2025,17,375,2014
24,Trzaskowski Naprzód,"Jesteśmy w Krośnie – sercu Podkarpacia!
Rozmawiamy z mieszkańcami o Polsce otwartej, uczciwej i nowoczesnej.
#ObywateleNaprzod – czas na zmianę, czas na Rafała Trzaskowskiego!
#Trzaskowski2025 https://t.co/oGF9db33jC",Tue May 13 09:04:07 +0000 2025,17,229,4537
25,Trzaskowski Naprzód,"Dziś zaczynamy w Zakopanem! Pod Tatrami widać jedno: Polska chce zmiany, a @Trzaskowski2O25 to realna nadzieja na lepsze jutro! #ObywateleNaprzod https://t.co/3XRH6G0Dq4",Sun May 11 09:01:48 +0000 2025,18,238,3437
26,Popieram Karola Nawrockiego 🇵🇱,"Rafał Trzaskowski? To ten, który przez lata prowadził politykę pełną chaosu w Warszawie! Jeśli nie radził sobie z miastem, to jak chce rządzić całym krajem? #TuskDoDymisji #Nawrocki2025 https://t.co/g4yEYpT4WK",Fri May 09 08:45:03 +0000 2025,25,248,1585
27,kasiatom #SnaW,"Dziewczyny‼️To już za moment‼️GLOSUJEMY NA RAFAŁA ‼️🙋‍♀️🙋‍♀️
#Trzaskowski2025 https://t.co/DewLU8YPGK",Mon May 12 08:27:19 +0000 2025,1,259,1115
28,🦋💙 The Gene®@l™ 💙🦋,"Kochana Rodzinko w TRZASKości Jedyna‼️
Wystarczy, że wszyscy za tydzień zagłosujemy i mamy to‼️ Kończmy ten haniebny, zjep-any epizod w historii NASZEGO, WSPANIAŁEGO KRAJU‼️
#TrzaskamyPierwsząTurę #Trzaskowski2025 #DrużynaRafała https://t.co/08yAKs1yz3",Sun May 11 09:17:05 +0000 2025,21,255,3422
29,Trzaskowski Naprzód,"W Lublinie trwa konferencja prasowa #ObywateleNaprzod: @WcisloMarta123: Obywatele Naprzód dziś w lubelskim! Przekonujemy mieszkańców, że warto głosować na Rafała Trzaskowskiego! https://t.co/CQQ64lkYrX",Mon May 12 10:33:49 +0000 2025,19,282,5751
30,Trzaskowski Naprzód,Sanok – dziękujemy za niesamowitą energię! #ObywateleNaprzód ruszają dalej w Podkarpacie! #Trzaskowski2025 https://t.co/dGq9BBiJUz,Tue May 13 11:45:51 +0000 2025,21,213,3348
31,Dziad 🇵🇱🇸🇪,Rafał Trzaskowski opie*dala Nowogrodzkiego jak zwykłego uczniaka. Nowogrodzki dzisiaj błyszczy jak chrząstka w salcesonie. https://t.co/9Vtmo8vwV7,Mon May 12 20:21:14 +0000 2025,35,288,2211
32,Trzaskowski Naprzód,"Nowy Targ pokazał serce! Rozmawiamy z mieszkańcami i słuchamy ich głosów. 
Z takim zaangażowaniem wygramy! #ObywateleNaprzod #Trzaskowski2025 https://t.co/8fpLAUOvKB",Sun May 11 10:25:52 +0000 2025,22,255,9138
33,APrawdaWasWyzwoli,"Patrzcie na minę Rafałka, nie spodziewał się, a tu trzask-prask i dupiarz-gorseciarz Trzaskowski zalicza deski! 

👏👏👏 @NawrockiKn, takiego Prezydenta chcę, takiego, który potrafi walczyć o siebie, o prawdę, o Polskę! #Nawrocki2025💪🇵🇱 https://t.co/sX8AqRNVdx",Mon May 12 19:16:02 +0000 2025,44,1440,41842
34,Antoni Macierewicz,"Pan @trzaskowski_ albo jest osobą z którą lepiej zgubić niż znaleźć, albo po 20 latach w PO uwierzył klakierom że jest mądry piękny nieomylny. Rafał żyjesz w Matrixie stanowisz zagrożenie nie tylko dla Polski, ale i dla samego siebie. Łyknij niebieską tabletkę-rzeczywistość czeka https://t.co/NcPEEAt4Rm",Fri May 09 07:01:54 +0000 2025,389,552,20662
35,Paweł Grabowski,"Czy zdjęcie Rafała po wczorajszej debacie dostanie „lajka” i podanie dalej? 😁😁😁

Zwycięski Rafał‼️

To już ostatnie dni przed 1 turą. Niech Rafałowi się wiedzie‼️

#Trzaskowski2025 #DebataTVP #TrzaskamyPierwsząTurę #TrzaskowskiWygra #WygraCałaPolska https://t.co/XyipfQ741r",Tue May 13 06:25:38 +0000 2025,156,3511,31425
36,🇵🇱 MARCIN EDO,"Jaka była wczoraj kondycja przyszłego Prezydenta @NawrockiKn, widzieliśmy gołym okiem.
Niezmordowany nawet po czterech godzinach paradebaty, z której pytania dostrzec można było już przed nią.
Po drugiej stronie, wystraszony, przerażony, przedawkowany prochami Rafał Trzaskowski. https://t.co/I7B2DcpgT4",Tue May 13 05:36:43 +0000 2025,10,389,8619
37,Marzena Nykiel 🇵🇱,"Okazuje się, że i ""szczęśliwą 13"" można przestrzelić. Rechot nad ofiarami reprywatyzacji i koncentracja na @NawrockiKn w finale to totalna porażka @trzaskowski_ .Zamiast energetycznego, sympatycznego Rafała, wystąpił poirytowany buc. I najwyraźniej przekazał swój głos @Nawrocki25 https://t.co/YedQH4QKRr",Mon May 12 21:56:03 +0000 2025,17,217,2378
38,Jasiu Wiśniewski 🇵🇱CK,Jedyne miejsce gdzie Rafał Trzaskowski dobrze wypadł. https://t.co/QngswXRUAJ,Sat May 10 12:33:15 +0000 2025,4,206,1978
39,🇵🇱 MARCIN EDO,"Jest pan skuteczniejszy niż mafia reprywatyzacyjna...
Trzaskowski dostał kolejny strzał od świetnie przygotowanego, wyjątkowo opanowanego @NawrockiKn✌️
A tak na marginesie, gdyby przed debatą przeprowadzono badania toksykologiczne na zawartość niedozwolonych substancji w https://t.co/kyb7PNCXEi",Mon May 12 19:22:49 +0000 2025,9,705,10533
