No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,הכידון,@tvp_info @trzaskowski_ @donaldtusk Czaskoski byłby prezydentem przegranej wojny o wolną Polskę ☠️,Tue May 20 23:59:48 +0000 2025,0,0,6
2,Niepoprawnie prawdziwy v1,@KarolinaMrozow2 @misiafisiaa @SlawomirMentzen @trzaskowski_ Czym?,Tue May 20 23:59:44 +0000 2025,1,0,58
3,zemoł,"@Tony33736878682 @prezes_z_lasu Szanowny Panie, bardzo mnie zaciekawiło Pana zdanie – czy mógłby Pan grzecznie wyjaśnić, skąd przekonanie, że Rafał Trzaskowski będzie zależny od Brukseli? Chętnie poznam szczegóły.",Tue May 20 23:59:41 +0000 2025,0,0,7
4,Młodzi Wykształceni Konserwatywni.,@NocnaZ TVN szkodzi.,Tue May 20 23:59:31 +0000 2025,0,0,4
5,Wito,@gregor_konop Za mocne...,Tue May 20 23:59:26 +0000 2025,0,0,10
6,Thavmiel,"@Franciszek21621 @trzaskowski_ Pomyliłeś się, to nie post nowogrodzkiego",Tue May 20 23:59:25 +0000 2025,0,0,10
7,Danielli,"@_Boreyko_ @Crisstov @MarekWojtaszek @szacki O to to. Trzaskowski jako prezydent osłabi Konfę i pozwoli umocnić się Tuskowi. W polityce trzeba kuć żelazo póki gorące, dwa i pół roku to szmat czasu.",Tue May 20 23:59:22 +0000 2025,0,1,9
8,𝔹𝕖𝕒𝕥𝕒,@SlawomirMentzen @trzaskowski_ „Cóż szkodzi obiecać”. https://t.co/2sfUKDaJC6,Tue May 20 23:59:19 +0000 2025,0,1,21
9,rddvl 🇵🇱,"Tusk i Trzaskowski to kłamcy? Stare, znałem",Tue May 20 23:59:17 +0000 2025,0,0,9
10,Aneta,@PaEdyta @trzaskowski_ Karol Nawrocki!🇵🇱🇵🇱🇵🇱🇵🇱,Tue May 20 23:59:14 +0000 2025,0,0,3
11,Prawoskrzydły 🇵🇱,"@SoyOlaaaa Jeśli wygra Trzaskowski, to Tusk domknie system, media już w sumie przejął i aktywnie wspiera lewackie brednie o neokomunistycznej utopii ograniczającej znaczenie Polski w regionie i na świecie. Chyba jednak wolę tę drugą stronę barykady.",Tue May 20 23:59:08 +0000 2025,0,8,169
12,Jarek Romanowski,"@DanielMomot_ @trzaskowski_ Posłowie i europosłowie platformy obywatelskiej robią wszystko żeby Rafał Trzaskowski nie wygrał wyborów prezydenckich, Nawrocki powinien im podziękować że sabotują kampanię Trzaskowskiego",Tue May 20 23:58:19 +0000 2025,0,1,11
13,KKowal,@Wipler1978 No cóż.. Chłop wyartykułował w sumie to co myśli jakieś 95% polityków. I dokładnie takie podejście mają.,Tue May 20 23:58:14 +0000 2025,0,8,668
14,seth19791121,@WZembaczynski @trzaskowski_ @adamSzlapka Członek weź już przestań 🤣🤣🤣🤣,Tue May 20 23:57:52 +0000 2025,0,0,3
15,Wojtek,@CichonAlicja @trzaskowski_ Po kut te żłobki jak chcecie się skrobać !?,Tue May 20 23:57:39 +0000 2025,0,14,248
16,Martunia Dudek,@Trzaskowski2O25 @MichalSzczerba @trzaskowski_ Wasze manipulacje to działają tylko na was POjeby🤣🤣🤣,Tue May 20 23:57:37 +0000 2025,0,0,2
17,Don Carlos,@ulapanka @trzaskowski_ Ile wychlał w tym więzieniu? Więcej niż Bolek? 😆😆,Tue May 20 23:57:25 +0000 2025,0,0,2
18,Tomasz Zieliński 🇵🇱💯,@adijas628 @MateuszPluta02 @trzaskowski_ Mobilizacja jakich sił? 🤣🤣🤣,Tue May 20 23:57:18 +0000 2025,0,0,5
19,e-Koneser Serka Wiejskiego,"Już widzę jak za kilka lat Rafał będzie biegł do Republiki tak jak Kaziu Marcinkiewicz do tvn i będzie się żalił, że po przegranych wyborach Dolan zabrał mu wiceprzewodniczącego i całkowicie wypchnął go z polityki XDDD
#ByleNieTrzaskowski #Wybory2025 https://t.co/FvMKBT42aO",Tue May 20 23:57:16 +0000 2025,5,45,1803
20,RenataAnna,@MichalOleksyn @paat_trick Bzdury do potegi entej! Jedziecie z tym durnym przekazem od rana bo Braun z Konfa maja 20% i mowia ze kazdy aby nie Trzaskowski. Czy wy mancie Nas Polakow za idiotow takimi jak wy jestescie?!,Tue May 20 23:57:12 +0000 2025,0,1,55
21,Kacper Kamiński,"„Cóż szkodzi obiecać” ~ Koalicja Obywatelska

Coraz bardziej przekonuje się definitywnie do oddania nieważnego głosu, bo na Nawrockiego nie wyobrażam sobie zagłosować. Trzaskowskiego rozważam, ale jeśli on jest wiceprzewodniczącym partii, która się na każdym kroku kompromituje… https://t.co/NMkX8XUacU",Tue May 20 23:57:09 +0000 2025,0,1,55
22,trojanka,"@CTomczyk No, to mu pomógł! Trzaskowski chyba wniebowziety",Tue May 20 23:56:44 +0000 2025,0,0,9
23,whifyxx,@PrawaStronaa @SlawomirMentzen @trzaskowski_ Co za dzban XD czas największej oglądalności na YT hahahahahaha,Tue May 20 23:56:34 +0000 2025,0,2,2501
24,Grzegorz Gorczyca,@Adamowicz_Magda Co szkodzi obiecać.,Tue May 20 23:56:23 +0000 2025,0,0,15
25,s4lw,@PolsatNewsPL @donaldtusk Niech jeszcze coś obieca. Co mu szkodzi,Tue May 20 23:56:07 +0000 2025,0,0,5
