No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Marta,"@ArkadiuszSzczu2 55 nieruchomości a 1 lokal lub dwa bo zaraz czepicie znowu Nawrockiego 😂to jak nic wychodzi, że Rafał wygrywa w tym wyścigu no chociaż takie mu pozostaje pocieszenie...😂
https://t.co/QnpbEm5k7L",Thu May 15 23:59:57 +0000 2025,0,0,3
2,Magda Andrea 🇵🇱,"@barbaraanowacka @trzaskowski_ @Trzaskowski2O25 18 maja kobiety głosują na Karola Nawrockiego!
#KobietyZaNawrockim ❤️🇵🇱👍💪✌️🤍❤️
#KobietyNaWybory 
#IdziemyNaWybory 
#Nawrocki2025 https://t.co/KZ1OP9YKsD",Thu May 15 23:59:49 +0000 2025,0,32,205
3,Jurek 🇵🇱PL#Nawrocki2025,@barbaraanowacka @trzaskowski_ @Trzaskowski2O25 To ja pisałem rezolucje żeby  UE nie dawała kasy z KPO. Powiedział wasz kandydat Rafał Trzaskowski,Thu May 15 23:59:38 +0000 2025,0,6,31
4,Nina #Pyra,"Zapamiętajcie ten głupi, nieszczery, szyderczy 😏śmiech...który nijak ma się ma do śmiechu rodaków i i ich zadowolenia. 
Cóż znaczy ten ""głupi"" wyraz twarzy?Tylko małość, nikczemność podłość. ,Nic więcej. 
MAŁY, podły człowiek-przestępca, wytwór wyobraźni Kaczyńskiego i przygłup! https://t.co/WGndLhMZVe",Thu May 15 23:59:33 +0000 2025,0,0,19
5,Drwal ciemnoty,"@trzaskowski_ Tylko stare dziady dają się ""na wnuczka""",Thu May 15 23:59:26 +0000 2025,0,0,11
6,Piotr Woźniak Senator RP,"Nie chcę, aby ktokolwiek zza granicy ingerował w wybory Prezydenta RP w Polsce. To Polki i Polacy mają wybrać Prezydenta! Nie ktoś z zewnętrz. Mamy własny rozum, a próby ingerencji spoza Polski są niedopuszczalne. @wyróżnienie 
Źródło: Debata Gozdyry Polsat News https://t.co/Cs6HmDjquv",Thu May 15 23:59:09 +0000 2025,6,1,63
7,manek1117,"@RottenKrieg może Trzaskowski chował tęczową flagę na debacie ale za to podczas wiecu w Krakowie, także schowano tęczowe flagi xD https://t.co/UpFpidwTLD",Thu May 15 23:59:03 +0000 2025,0,2,24
8,Mateusz 🇵🇱🇵🇱,@Koloproktologi1 Trzaskowski również!,Thu May 15 23:59:00 +0000 2025,0,0,5
9,Elżbieta,Tylko Trzaskowski - mój prezydent https://t.co/arHYcu7h5F,Thu May 15 23:58:58 +0000 2025,0,1,91
10,Kasia Johanik,@waldemar_buda @trzaskowski_ To wierutne kłamstwa I manipulacja.  Nie pomoże alfonsowi,Thu May 15 23:58:56 +0000 2025,0,0,3
11,Tadek Limonka 🤓,"@59Jpiech Może zadaj pytanie @trzaskowski_ dlaczego jest takim ujowym kandydatem, którego choćby ktoś kochał KO nie da się poprzeć - oczywiście zakładając, że ma się IQ powyżej 90 i brak posadki u Bonżura",Thu May 15 23:58:44 +0000 2025,1,0,413
12,aduderinho,"@RJedrysiak2001 @trzaskowski_ @Platforma_org @Trzaskowski2O25 to ten pejs jest właśnie zakłamany. dziś udaje normalsa konserwatywnego, a w Yale srał na Marsz Niepodległości w Warszawie, bo mu ""zasyfiają stolicę"" i krzyże w urzędach ściąga.",Thu May 15 23:58:19 +0000 2025,0,1,23
13,Daniel Gebski,@tvp_info @trzaskowski_ @CTomczyk No i sprawa się rypla !!! Tomczyk Franco chyba Ci nie pyklo !!! Ty i ta zjebana platforma jesteście zwykłymi złamasami,Thu May 15 23:58:11 +0000 2025,0,0,8
14,Jurek 🇵🇱PL#Nawrocki2025,@OklaDrewnowicz Trzaskowski uważa seniorów tylko tych z forsą. Duża forsa.,Thu May 15 23:58:02 +0000 2025,0,0,8
15,Grom Szeptu,"@jjjrodman @czardam @trzaskowski_ Tak długo, jak im to było na rękę to milczeli. AŻ dwa dni temu się od tego odcięli (pewnie ze względu na pojawienie się pytań od redaktorów WP).

Tego typu spoty frekwencyjne to przecież już modus operandi tej partii.

PiS ma swoje za uszami, a KO to obecnie przebija.",Thu May 15 23:57:59 +0000 2025,0,0,7
