No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Rafał Trzaskowski,"My już zagłosowaliśmy 🇵🇱 A Wy? 🙂

Macie czas do 21.00! https://t.co/tRl3RiMb9T",Sun May 18 10:56:56 +0000 2025,1434,12230,669247
2,Rafał Trzaskowski,"Kochani, dziękuję za dziś, za każdy głos! To dobry punkt wyjścia. A teraz pełna mobilizacja! Idziemy po zwycięstwo. Wygra cała Polska! 🇵🇱

#Trzaskowski2025 https://t.co/1ghD6LtzIK",Sun May 18 19:54:54 +0000 2025,1403,11402,458029
3,Rafał Trzaskowski,"Szybka akcja na trasie - Pani Halina i Pan Kazimierz potrzebowali nowego baneru. No to… służę pomocą! :) Dziękuję za spotkanie i poparcie!

Nie zmarnujemy ani chwili na ostatniej prostej kampanii! 💪

#Trzaskowski2025 #WygraCałaPolska https://t.co/zFdlr6PGPh",Fri May 16 13:57:57 +0000 2025,318,1816,53223
4,Rafał Trzaskowski,"Pani Halino, Panie Kazimierzu - to była przyjemność :)

#Trzaskowski2025 #WygraCałaPolska https://t.co/t8qHevZdfs",Fri May 16 15:33:46 +0000 2025,316,2907,156533
5,Rafał Trzaskowski,"Za mną miesiące kampanii. Setki, tysiące rozmów i spotkań w całej Polsce, podczas których słucham Waszych historii. Na rynkach, na ulicach. O Waszych marzeniach. O lękach. O nadziei. 

A gdybyśmy wspólnie napisali nową, wspólną historię? O Polsce, która nas łączy. O Polsce, która https://t.co/Wvcna7vyDh",Fri May 16 21:50:41 +0000 2025,682,4698,259873
6,Tomasz Janusz,"🇯🇵 Polonia w Japonii - wyniki wyborów

TRZASKOWSKI 35,95%
ZANDBERG 22,54%
BIEJAT 11,20%
MENTZEN 10,31%
NAWROCKI 6,87%
HOŁOWNIA 5,57%
BRAUN 2,96%
SENYSZYN 2,96%

Reszta poniżej 1%
Liczba głosów: 1 455 https://t.co/bwMnNci2RV",Sun May 18 23:40:34 +0000 2025,89,13035,269465
7,Rafał Trzaskowski,"Pod biało-czerwoną zmieścimy się wszyscy! 🇵🇱

#Trzaskowski2025 #WygraCałaPolska https://t.co/sYlp9H4D6P",Fri May 16 19:20:35 +0000 2025,517,2065,95397
8,Rafał Trzaskowski,"Koło ❤️ Razem z Wami - po prostu najlepiej! 

#Trzaskowski2025 #WygraCałaPolska https://t.co/MHGCrJ5R03",Fri May 16 15:59:55 +0000 2025,166,1181,27772
9,Kamil🦫,RAFAŁ TRZASKOWSKI NIE BYŁ MOIM KANDYDATEM NA PREZYDENTA ALE W DRUGIE TURZE ZAGŁOSUJE NA NIEGO BEZ MRUGNIĘCIA OKIEM,Sun May 18 19:15:11 +0000 2025,222,11424,204666
10,Rafał Trzaskowski,"To już ostatnia prosta kampanii - o 17 widzimy się na żywo na moim YouTube! Do zobaczenia! 👋

#Trzaskowski2025 #WygraCałaPolska https://t.co/gq55ajjgrl",Fri May 16 13:15:36 +0000 2025,167,989,37280
11,Rafał Trzaskowski,"Wierzę w Polskę pewną siebie. Otwartą. Odważną. Nowoczesną. Uczciwą. 

Polskę, która dba o wszystkich. Która stwarza możliwości młodemu pokoleniu, młodym rodzinom, troszczy się o seniorki i seniorów. Polskę, która przegania świat w nowych technologiach, inwestuje w ludzi. Polskę, https://t.co/4jIt8b7tQx",Thu May 15 19:45:37 +0000 2025,751,4485,133699
12,Jacek Gursz,"Ta Pani jest urocza i autentyczna ❤️ Takich ludzi przyciagą Rafał. On lubi być wśród ludzi. Autentycznie. Nie na pokaz. Wśród ludzi ma największą energię, bo oni mu ją przekazują. #Trzaskowsk2025 dla ludzi 💪❤️
#WygraCałaPolska https://t.co/j7S4QtDqb5",Thu May 15 05:42:03 +0000 2025,68,256,2401
13,Rafał Trzaskowski,O 19:55 będę gościem w programie #PytanieDnia w TVP1 i @tvp_info. Do zobaczenia! https://t.co/8fDsBQ9gPJ,Fri May 16 16:34:04 +0000 2025,349,1176,91036
14,Rafał Trzaskowski,Międzyborów. Na żywo. Bądźcie z nami. Cała Polska naprzód! #Trzaskowski2025 #WygraCałaPolska https://t.co/Su4g7yZqxE,Fri May 16 19:30:28 +0000 2025,82,736,91061
15,mati!!,jak trzaskowski przegra to spierdalam z polski pociągami do włoch i zostaje z kolega,Sun May 18 23:14:04 +0000 2025,0,0,14
