No.,Username,Text,Created_At,Replies,Favourite_Count,View_Count
1,Salon24,"Która grupa wyborców przechyliła szalę zwycięstwa na korzyść Karola Nawrockiego? W najnowszym odcinku podcastu ""Salon Pokoleń"" @ProtasiewiczJ analizuje zaskakujące decyzje wyborców
Cały odcinek na YouTube Salon24: https://t.co/NljnNJOsj1 #podcast #Wybory #polityka #salon24 https://t.co/mTP2bKOcpC",Sun Jun 08 14:01:37 +0000 2025,0,6,2878
2,Karol Nawrocki - popieramy,"Nasz Prezydent 😃😎🇵🇱 
Serce się raduje !
#Wybory https://t.co/MS0ErMLyyt",Tue Jun 03 19:43:48 +0000 2025,102,2534,39655
3,Filip Frąckowiak,"Jak głosowało Wojsko Polskie? Zobaczmy wyniki z Kosowa gdzie była jedna komisja wyborcza - w bazie wojskowej sił KFOR NATO. Stacjonuje około 300 polskich żołnierzy i właśnie tyle oddano głosów. WYNIKI:
- KAROL NAWROCKI 74,41%
- RAFAŁ TRZASKOWSKI 25,59%
#Wybory https://t.co/ZgkBIMWwZR",Mon Jun 02 16:57:40 +0000 2025,0,12,405
4,m,"Rafał Trzaskowski po przegranej w wyborach:  

#wybory2025 #Trzaskowski #WyboryPrezydenckie2025 #Wybory https://t.co/cAanvm8pJj",Tue Jun 03 21:31:52 +0000 2025,0,0,74
5,Karol Nawrocki - popieramy,"Na ten moment czekaliśmy 😎👏🇵🇱 Polska będzie bezpieczna przez następne 5 lat 😎💪
#Wybory https://t.co/ZrQnTEwcfM",Tue Jun 03 20:25:07 +0000 2025,140,3625,38189
6,Bożena Lisowska,"🇵🇱Rafale, dzękujemy! 
Teraz wracamy do pracy! 
Bo Polska jest jedna!

#wybory 
#trzaskowski 
#Sejm https://t.co/lcRFQ0csdm",Wed Jun 04 12:46:17 +0000 2025,5,29,538
7,ewybory.eu,"🗳️ Gdyby w Polsce obowiązywał system elektorski, zwycięzcą wyborów prezydenckich byłby @trzaskowski_. Przy założonych proporcjach wygrałby w stosunku 193:94

Oficjalne wyniki głosowania 🔗 https://t.co/gQ0d7nWt3q

#Wybory2025 #WyboryPrezydenckie2025 #wybory #WyboryPrezydenckie https://t.co/VmUQ3LoMN4",Mon Jun 02 19:49:18 +0000 2025,329,898,168126
8,Radio Republika,"#PoranekRadiaRepublika | Tusk w opałach❗ Wygrana Nawrockiego może wywrócić układ władzy. | @FilipMemches 

🎧 https://t.co/dZe2xwYkb1

#RadioRepublika #Radio #Republika #TVRepublika #DomWolnegoSłowa #WłączPrawdę #FilipMemches #Rząd #Tusk #DonaldTusk #Nawrocki #Prezydnet #Wybory https://t.co/suQok6f4r3",Tue Jun 03 08:23:00 +0000 2025,5,50,3300
9,Radoslaw Szafarz,"W Rumunii🇷🇴🇪🇺 powtórzono wybory ze względu na ruską🇷🇺 kampanię na TikToku.

Tu- Wolni Obywatele🇵🇱🇪🇺 żądają przeliczenia głosów. 
W Demokracji- wyborcy muszą mieć pewność, że ich głosy policzono prawidłowo. Obecnie- tej pewności na 100% nie ma...

#Wybory
#Cuda 
#PrzeliczyćGłosy https://t.co/vLRn2ie3gV",Sat Jun 07 06:43:19 +0000 2025,326,3002,67680
10,Karol Nawrocki - popieramy,"Takich gratulacji Rafał Trzaskowski się nie spodziewał 😎😁
#Wybory https://t.co/DMjxuqwO49",Wed Jun 04 12:03:54 +0000 2025,7,137,3379
11,Olanta ‼️☝️,"Po wyborach 💥

Kolejny odcinek Polskiej Gry o Tron
Polecam film ✅😽👌

#Wybory2025 #wybory 
#NawrockiPrezydent2025 https://t.co/FA8HmaF9w7",Wed Jun 04 11:09:08 +0000 2025,8,137,6798
12,Radio Maryja,"Andrzej Duda: Razem z prezydentem-elektem Karolem Nawrockim modliliśmy się w  kaplicy prezydenckiej.

więcej na https://t.co/ELZ7mBGJT2

TAGI: #radiomaryja, #tvtrwam, #prezydent, #kancelariaprezydenta, #modlitwa #wiara, #Polska, #wybory, #Nawrocki, #Duda https://t.co/HczlT0jeLV",Thu Jun 05 18:01:47 +0000 2025,68,594,8930
13,Onet,"Dni wolne w zamian za podpis  😮 ➡️ https://t.co/nC153jB6oo

#Trzaskowski #Wybory #Wojsko #Żołnierze #Czarne #ZbieraniePodpisów #KodeksWyborczy https://t.co/MxbENN2zxj",Sun Jun 08 06:16:33 +0000 2025,2,1,1145
